source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key
unist-node	github.com/syntax-tree/unist	spec	../unist/readme.md	102-219	base node contract	Every UNIST node has type; parents use children; literals use value	copy-no-standard:hybrid-owner:source-model
mdast-nodes	github.com/syntax-tree/mdast	spec	../mdast/readme.md	100-1035	Markdown node vocabulary	MDAST uses typed text/value, wrapper marks, heading depth, nested lists, and root node	copy-no-standard:hybrid-owner:source-model
pm-json	github.com/prosemirror/prosemirror-model	source	../prosemirror-model/src/node.ts	319-395	serialized node contract	JSON uses type, attrs, content, marks, text; schema validates attributes	properties:flat-schema-owned-fields:source-model
pm-schema	github.com/prosemirror/prosemirror-model	source	../prosemirror-model/src/schema.ts	371-565	schema contract	NodeSpec owns content expressions, attrs, editing behavior, and validation	heading:one-type-level:source-model
pm-heading	official/prosemirror/schema-basic	source	../prosemirror-schema-basic/src/schema-basic.ts	39-67	heading/code defaults	One heading type with level; code block is text content with code behavior	heading:one-type-level:source-model
lexical-base	github.com/facebook/lexical	source	../lexical/packages/lexical/src/LexicalNode.ts	91-104	serialized base	Every serialized node has type and per-node version; comment discourages version use	identity:document-version-not-node-version:source-model
lexical-shapes	github.com/facebook/lexical	source	../lexical/packages/lexical/src/nodes/LexicalElementNode.ts	63-79	element/text contract	Serialized elements use children plus flat layout fields; text uses flat text/format/style	properties:flat-schema-owned-fields:source-model
lexical-heading	github.com/facebook/lexical	source	../lexical/packages/lexical-rich-text/src/index.ts	141-150,308-340	heading model	One heading node type with an h1-h6 tag field	heading:one-type-level:source-model
lexical-table	github.com/facebook/lexical	source	../lexical/packages/lexical-table/src/LexicalTableCellNode.ts	43-52	table fields	Uses backgroundColor, colSpan, rowSpan, headerState, width, verticalAlign	table:semantic-field-names:source-model
slate-base	github.com/ianstormtaylor/slate	source	../slate-official/packages/slate/src/interfaces/element.ts	17-21	Plate lineage	Elements are open children objects; text leaves are text objects; app supplies discriminators	base-tree:type-children-text:source-model
blocknote-block	github.com/typecellos/blocknote	source	../BlockNote/packages/core/src/schema/blocks/types.ts	404-444	app-facing block JSON	Block uses id, type, props, content, children; clearer separation but heavier traversal	properties:flat-schema-owned-fields:source-model
blocknote-heading	github.com/typecellos/blocknote	source	../BlockNote/packages/core/src/blocks/Heading/block.ts	11-60	heading model	One heading type with validated level property	heading:one-type-level:source-model
blocknote-code	github.com/typecellos/blocknote	source	../BlockNote/packages/core/src/blocks/Code/block.ts	11-35	code field	Code block persists language, not lang	code:language-field:source-model
portabletext-model	github.com/portabletext/portabletext	spec	../portabletext-spec/README.md	16-185	portable rich-text model	Blocks use _type/style; spans use marks arrays and markDefs; lists use flat listItem/level	lists:flat-annotations:source-model
editorjs-output	github.com/codex-team/editor.js	source	../editor.js/types/data-formats/output-data.d.ts	11-45	block output	Blocks are id/type/data tool bags; no recursive typed rich-text grammar	copy-no-standard:hybrid-owner:source-model
quill-delta	github.com/slab/quill	docs	../quill/packages/website/content/docs/delta.mdx	5-95	linear document model	Documents are insert operations with attributes; line semantics live on newline attributes	copy-no-standard:hybrid-owner:source-model
plate-heading	local/plate-2	source	packages/basic-nodes/src/lib/BaseHeadingPlugins.ts	1-211	current heading owner	Six near-identical descriptors and codecs persist h1-h6 identities	heading:one-type-level:source-model
plate-code	local/plate-2	source	packages/code-block/src/lib/BaseCodeBlockPlugin.ts	64-207	current code owner	Editable codeLine structure is strong; persisted field is lang while code calls it language	code:language-field:source-model
plate-list	local/plate-2	source	packages/list/src/lib/BaseListPlugin.ts	80-247	current list owner	Flat list annotations support marker styles, restarts, and checks without structural wrappers	lists:flat-annotations:source-model
plate-table	local/plate-2	source	packages/table/src/lib/BaseTablePlugin.ts	394-570	current table owner	Cell size means width, row size means height, background means color, colSizes means widths	table:semantic-field-names:source-model
plate-media	local/plate-2	source	packages/media/src/lib/image/BaseImagePlugin.ts	33-105	current image fields	Captions are children; initial dimensions only enter HTML/input persistence	media:direct-caption-intrinsic-dimensions:source-model
slate-unist-4378	github.com/ianstormtaylor/slate	issue	https://github.com/ianstormtaylor/slate/issues/4378	body and all comments	verify remembered UNIST proposal	Proposal required text-to-value and typed text; configuration poisoned DX; no PR landed	slate-unist:text-value-type:proposal
slate-text-1486	github.com/ianstormtaylor/slate	issue	https://github.com/ianstormtaylor/slate/issues/1486	body and final decision comments	verify MDAST-style proposal	MDAST nested mark nodes were considered; Slate retained self-contained split leaves	slate-mdast:nested-mark-nodes:proposal
slate-portable-3482	github.com/ianstormtaylor/slate	issue	https://github.com/ianstormtaylor/slate/issues/3482	body and model comments	verify Portable Text native-value attempt	Portable Text marks worked, but void/inline selection required Slate children/text invariants	slate-portabletext:native-value:proposal
slate-portable-5253	github.com/ianstormtaylor/slate	issue	https://github.com/ianstormtaylor/slate/issues/5253	body	current Portable Text request	Open request asks for parsing Portable Text, not changing Slate's canonical model	slate-portabletext:native-value:proposal
