lead_key	packet_id	slate_owner	test_or_benchmark	verification_command	decision
diff:content-continuity:composite-effects	P01	Best API / Plite Plan	plan-packet; F36	future: bun test packages/plitejs/src/diff; extend current native change/schema tests for F36	keep requirement in existing plan; no production proof claimed
diff:three-way-review:branch-contributions	P02	Best API / native authored	plan-packet; F35	bun docs/plite/research/2026-09-10-structural-diff-oss/sources/semantic-probe.mjs (upstream witness only); future: authored/diff production cases	keep requirement in existing plan; no production proof claimed
diff:history-is-not-presentation:provenance	P03	Plite change/authored / Testing	test-packet; F19,F43	future: bun test packages/plitejs/src/diff; extend current native change/schema tests for F19,F43	keep requirement in existing plan; no production proof claimed
diff:exact-baseline:atomic-import	P04	Native authored / Testing	test-packet; F21,F22	bun docs/plite/research/2026-09-10-structural-diff-oss/sources/semantic-probe.mjs (upstream witness only); future: authored/diff production cases	keep requirement in existing plan; no production proof claimed
diff:readable-output:quality-corpus	P05	Verify Plate / Benchmark	test-packet; F39,F40	future: pnpm --filter plite test:plite-browser:chromium --grep 'structural diff'; requires registered F37-F40 cases	keep requirement in existing plan; no production proof claimed
diff:schema-semantics:logical-structure	P06	Plite schema / Plite Plan	plan-packet; F06,F15,F41	future: bun test packages/plitejs/src/diff; extend current native change/schema tests for F06,F15,F41	keep requirement in existing plan; no production proof claimed
diff:native-moves:concurrent-continuity	P07	Plite change / Yjs / Testing	test-packet; F20,F42	future: bun test packages/plitejs/src/diff; extend current native change/schema tests for F20,F42	keep requirement in existing plan; no production proof claimed
diff:exact-payload:rendered-alternatives	P08	Schema / formats / Verify Plate	test-packet; F13,F14,F27,F41	future: bun test packages/plitejs/src/diff; extend current native change/schema tests for F13,F14,F27,F41	keep requirement in existing plan; no production proof claimed
diff:presentation:granularity-count-filter	P09	Plate UI / native authored	plan-packet; F37,F38	future: pnpm --filter plite test:plite-browser:chromium --grep 'structural diff'; requires registered F37-F40 cases	keep requirement in existing plan; no production proof claimed
diff:bounded-work:quality-preserving-fallback	P10	Benchmark	benchmark-packet; F18,F28,F29,F39	future: substitute production compare in docs/plans/artifacts/structural-document-diff/model-probe.mjs and run F28-F30 through Benchmark	keep requirement in existing plan; no production proof claimed
diff:topology-conflicts:preserve-order	P11	Plite Plan / schema / Testing	plan-packet; F32,F41	future: bun test packages/plitejs/src/diff; extend current native change/schema tests for F32,F41	keep requirement in existing plan; no production proof claimed
