lead_key	repo_key	source_ref	topic	claim	evidence_grade	novelty	applicability	proof_owner	next_action	status	impact	proofability	risk	priority_total
diff:content-continuity:composite-effects	github.com/gumtreediff/gumtree	dc2088281765e456b3574d230881c5a25ff93481:core/src/main/java/com/github/gumtreediff/matchers/MappingStore.java	structural diff	Move, split/merge, wrapper changes and text/property edits must compose on span correspondence rather than compete for one node-kind tag.	A	3	3	Best API / Plite Plan	plan-packet P01; F36	promoted design/proof requirement; production unimplemented	3	3	1	11
diff:three-way-review:branch-contributions	github.com/bhousel/node-diff3	8226c27e074909241d72276c21215505a931665f:src/diff3.mjs	structural diff	Retain both branch deltas and all three alternatives before resolution, including clean deletions and shared edits.	A	3	3	Best API / native authored	plan-packet P02; F35	promoted design/proof requirement; production unimplemented	3	3	1	11
diff:history-is-not-presentation:provenance	github.com/prosemirror/prosemirror-changeset	e215757276357b64cf74f536552f3a5ef292fa1a:src/changeset.ts	structural diff	Native recorded identity and historical attribution cannot depend on inferred display simplification or update batching.	A	1	3	Plite change/authored / Testing	test-packet P03; F19,F43	promoted design/proof requirement; production unimplemented	3	3	0	10
diff:exact-baseline:atomic-import	github.com/benjamine/jsondiffpatch	a60db8a232f92ee4b987c14f43f77402885d1a5a:packages/jsondiffpatch/src/filters/arrays.ts	structural diff	Matching IDs or fuzzy patch success cannot authorize changes on a different content/frontier baseline.	A	1	3	Native authored / Testing	test-packet P04; F21,F22	promoted design/proof requirement; production unimplemented	3	3	0	10
diff:readable-output:quality-corpus	github.com/wilfred/difftastic	274d0a8f57291477cfbfb27bace0d82395d15c97:src/diff/shortest_path.rs	structural diff	Exact reconstruction alone cannot certify readable change markup; require the combined structural quality scenarios and ambiguous-wrapper examples.	A	3	3	Verify Plate / Benchmark	test-packet P05; F39,F40	promoted design/proof requirement; production unimplemented	3	3	1	11
diff:schema-semantics:logical-structure	codeberg.org/mergiraf/mergiraf	b9a78df83d48a89961310dde67898dd1b355690e:src/matching.rs	structural diff	Matching and topology validation need schema-owned structural meaning; generic tree shape or commutative-order defaults are insufficient.	A	2	3	Plite schema / Plite Plan	plan-packet P06; F06,F15,F41	promoted design/proof requirement; production unimplemented	3	3	1	10
diff:native-moves:concurrent-continuity	github.com/loro-dev/loro	d5da57dd2a91d735656808cbbe2a3f1c755c2441:crates/loro/src/lib.rs	structural diff	Move identity must survive competing placements, ancestor deletion, edits, serialization and reload; delete/insert simulation is not sufficient.	A	2	3	Plite change / Yjs / Testing	test-packet P07; F20,F42	promoted design/proof requirement; production unimplemented	3	3	2	9
diff:exact-payload:rendered-alternatives	github.com/slab/delta	dc17ca03e1d68ee729c8cd1ff790ebf96eb0fbec:src/Delta.ts	structural diff	Preserve formatting, atom payloads, real text sentinels and lossless coordinates; validate each rendered/resolved alternative against its source meaning.	A	2	3	Schema / formats / Verify Plate	test-packet P08; F13,F14,F27,F41	promoted design/proof requirement; production unimplemented	3	3	1	10
diff:presentation:granularity-count-filter	github.com/prosemirror/prosemirror-changeset	e215757276357b64cf74f536552f3a5ef292fa1a:src/changeset.ts	structural diff	Presentation granularity and counts must retain exact effects, stable review IDs and full dependency selections.	A	2	3	Plate UI / native authored	plan-packet P09; F37,F38	promoted design/proof requirement; production unimplemented	2	3	0	10
diff:bounded-work:quality-preserving-fallback	github.com/wilfred/difftastic	274d0a8f57291477cfbfb27bace0d82395d15c97:src/diff/shortest_path.rs	structural diff	Measure candidate growth, alignment, canonical construction and rendering with explicit precision loss; source-code thresholds cannot define document semantics.	A	1	3	Benchmark	benchmark-packet P10; F18,F28,F29,F39	promoted design/proof requirement; production unimplemented	3	3	1	9
diff:topology-conflicts:preserve-order	github.com/assert-kth/spork	c1b35d81c44d61d883da7ca91ae0088b6b8f3f2f:src/main/kotlin/se/kth/spork/base3dm/TdmMerge.kt	structural diff	Content compatibility does not establish valid ordering or ancestry; conflicting placement and schema constraints require explicit decisions.	A	2	3	Plite Plan / schema / Testing	plan-packet P11; F32,F41	promoted design/proof requirement; production unimplemented	3	3	1	10
