check	issue	state	relevant	closureKind	disposition	cluster	matrixKey	owner	proofKind	exactTest	command	title	url	reason
[x]	1	CLOSED	yes	test-written	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	Slate-v2 browser drag/drop affordance owner	cross-browser block-void dragover drop-position visual proof	.tmp/slate-v2/playwright/integration/examples/images.test.ts:423 "shows a drop cursor when dragging over an image void"; .tmp/slate-v2/packages/slate-react/src/components/editable.tsx:254 getEditableDropCursorRect; .tmp/slate-v2/packages/slate-react/src/components/editable.tsx:509 onDragOver	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/images.test.ts --project=chromium --project=firefox --project=webkit --grep "shows a drop cursor when dragging over an image void"	Show drop position when dragging over the editor	https://github.com/ProseMirror/prosemirror/issues/1	ProseMirror #1 asks for a visible drop-position cursor while dragging over the editor. Slate-v2 now renders root-owned drop cursor chrome during dragover over a block image void, clears it on dragend/drop/leave, and the browser oracle verifies top and bottom placement against the void box across Chromium, Firefox, and WebKit. Full Chromium images coverage also passed.
[x]	2	CLOSED	yes	test-written	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	Slate-v2 beforeinput/model delete owner	focused browser beforeinput target-range proof	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:1513 "applies delete target ranges over multi-code-unit graphemes exactly"; fix .tmp/slate-v2/packages/slate-react/src/editable/mutation-controller.ts:1330	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "applies deleteWord target ranges over tab whitespace exactly|applies delete target ranges over multi-code-unit graphemes exactly"	Make cursor-motion code aware of multi-word UTF16 code points	https://github.com/ProseMirror/prosemirror/issues/2	Portable UTF-16/grapheme deletion invariant. Fresh Slate-v2 browser regression failed first, then passed after delete-fragment uses the explicit imported beforeinput range instead of rediscovering selection through a nested fragment delete.
[x]	3	CLOSED	no	invalid-skip	skip	plate-plugin-policy	Product/plugin policy above Slate core	N/A	invalid-skip product/plugin request		N/A: skipped as product/plugin feature request outside Slate-v2 core closure.	syntax highlighting for code blocks?	https://github.com/ProseMirror/prosemirror/issues/3	Code syntax highlighting after markdown fences is an application/plugin feature request, not a portable Slate-v2 editor correctness invariant for this ledger pass.
[x]	5	CLOSED	yes	covered-by-existing-test	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	Slate-v2 IME/model input owner	focused Slate React unit IME composition delete proof	.tmp/slate-v2/packages/slate-react/test/model-input-strategy-contract.test.ts:912 "deletes expanded CJK composition selection once"	(cd packages/slate-react && bun test:vitest -- test/model-input-strategy-contract.test.ts -t "deletes expanded CJK composition selection once")	nodeBefore() is not defined	https://github.com/ProseMirror/prosemirror/issues/5	The ProseMirror helper-name bug is obsolete, but the portable invariant is IME cleanup/composition deletion over model ranges without crashing or double-deleting. Existing Slate-v2 focused unit covers that invariant and passed.
[x]	6	CLOSED	no	invalid-skip	skip	support-question	Skip: support-question	N/A	N/A		N/A	Consider joining forces with quilljs?	https://github.com/ProseMirror/prosemirror/issues/6	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
[x]	7	CLOSED	yes	deferred-with-owner	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser selection affordance owner	raw iOS selection-menu/browser visual proof required		deferred: requires raw iOS/browser proof, not desktop Playwright or semantic mobile viewport.	Tooltip inline menu fights with iOS selection menu	https://github.com/ProseMirror/prosemirror/issues/7	Relevant mobile selection-affordance pressure, but the issue is specifically iOS native selection menu versus floating toolbar. Current machine lane cannot close it without raw iOS proof or a dedicated mobile visual oracle.
[x]	8	CLOSED	no	invalid-skip	skip	support-question	Skip: support-question	N/A	N/A		N/A	Suggested way to save the content	https://github.com/ProseMirror/prosemirror/issues/8	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
[x]	9	CLOSED	no	invalid-skip	skip	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	N/A	invalid-skip product import/export request		N/A: skipped as product import/export workflow request outside Slate-v2 core closure.	export/import from git	https://github.com/ProseMirror/prosemirror/issues/9	Saving/loading Markdown through git is a product integration workflow, not a portable Slate-v2 editor behavior invariant.
[x]	10	CLOSED	no	invalid-skip	skip	collaboration-rebase	Collaboration, remote steps, shared history, rebasing	N/A	invalid-skip obsolete demo/browser-layout bug		N/A: skipped; body reports a Firefox 40 ProseMirror demo textarea collapse, not collaboration data corruption.	Collaborative demo occasionally corrupts documents	https://github.com/ProseMirror/prosemirror/issues/10	Despite the title, the body is an obsolete ProseMirror demo layout/browser bug. It does not describe a portable Slate-v2 collaboration invariant to test.
[x]	11	CLOSED	no	invalid-skip	skip	support-question	Skip: support-question	N/A	N/A		N/A	ProseMirror AngularJs directive	https://github.com/ProseMirror/prosemirror/issues/11	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
[x]	12	CLOSED	yes	test-written	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	Slate-v2 browser drag/drop affordance owner	cross-browser inline-void dragover drop-position visual proof	.tmp/slate-v2/playwright/integration/examples/mentions.test.ts:988 "shows a drop cursor when dragging over an inline mention void"; .tmp/slate-v2/packages/slate-react/src/components/editable.tsx:256 getEditableDropCursorRect; .tmp/slate-v2/packages/slate-react/src/components/editable.tsx:500 onDragOver	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/mentions.test.ts --project=chromium --project=firefox --project=webkit --grep "shows a drop cursor when dragging over an inline mention void"	When dragging and dropping inline images, show a cursor for exact destination while dropping 	https://github.com/ProseMirror/prosemirror/issues/12	ProseMirror #12 asks for an exact destination cursor while dragging inline images. Slate-v2's portable inline-void analogue is the markable inline mention atom. A fresh browser oracle drags over the left and right edge of an inline mention void, verifies the rendered drop cursor geometry against the void box, and proves cleanup on dragend across Chromium, Firefox, and WebKit. Full Chromium mentions coverage also passed.
[x]	13	CLOSED	no	invalid-skip	skip	support-question	Skip: support-question	N/A	N/A		N/A	Org-mode support	https://github.com/ProseMirror/prosemirror/issues/13	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
[x]	14	CLOSED	no	invalid-skip	skip	support-question	Skip: support-question	N/A	N/A		N/A	Publish prosemirror to the npm registry	https://github.com/ProseMirror/prosemirror/issues/14	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
[x]	15	CLOSED	yes	covered-by-existing-test	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	Slate-v2 richtext normalization owner	focused browser delete-all/normalization proof	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts:571 "normalizes select-all Backspace to one empty paragraph"	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "normalizes select-all Backspace to one empty paragraph"	Deleting all content crashes editor with `docFormat` of "markdown"	https://github.com/ProseMirror/prosemirror/issues/15	Portable delete-all normalization invariant. Existing Slate-v2 browser test proves deleting all rich text leaves a valid empty paragraph and passed focused verification.
[x]	16	CLOSED	no	invalid-skip	skip	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	N/A	invalid-skip product/media feature request		N/A: skipped as media plugin/product support request outside Slate-v2 core closure.	Drag and Drop Images	https://github.com/ProseMirror/prosemirror/issues/16	Drag-and-drop image support is a product/media plugin capability request. Slate-v2 core closure tracks editor invariants; app-level image insertion UX belongs to a media plugin/examples owner.
[x]	17	CLOSED	yes	deferred-with-owner	defer	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	Plate markdown/link serialization owner	Plate markdown round-trip proof required outside Slate-v2-only runtime patch scope		deferred: add or link Plate markdown link round-trip proof outside Slate-v2-only edits	Link rendering inconsistency with `docFormat` set to "markdown"	https://github.com/ProseMirror/prosemirror/issues/17	Relevant serialization pressure, but Slate-v2 core has no markdown docFormat mode. Existing Slate-v2 link HTML paste tests do not prove markdown toggling preserves link marks, so this is a Plate serialization defer.
[x]	18	CLOSED	no	invalid-skip	skip	table-grid-editing	Tables, cells, rows, columns, grid selection	N/A	invalid-skip broad product/domain feature request		N/A: skipped as broad LaTeX/table/scientific editor feature request.	LaTeX and Table Support	https://github.com/ProseMirror/prosemirror/issues/18	LaTeX and table support is a broad product/domain feature request, not a concrete portable editor regression to close in Slate-v2.
[x]	19	CLOSED	yes	deferred-with-owner	defer	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	Plate markdown/whitespace serialization owner	Plate markdown round-trip whitespace proof required outside Slate-v2-only runtime patch scope		deferred: add or link Plate markdown whitespace round-trip proof outside Slate-v2-only edits	Switching to markdown and back changes the text	https://github.com/ProseMirror/prosemirror/issues/19	Relevant serialization pressure around markdown round-trip preserving leading whitespace, but Slate-v2 core has no markdown docFormat toggle. This belongs to a Plate markdown serialization proof, not Slate-v2 runtime code.
[x]	20	CLOSED	no	invalid-skip	skip	support-question	Skip: support-question	N/A	N/A		N/A	Nesting lists	https://github.com/ProseMirror/prosemirror/issues/20	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
