source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key
slate-v2-mentions-row	local/slate-v2	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/mentions.test.ts	175-201	Map current failure signature.	Select-all replacement over mentions is green on Chromium/WebKit but scoped out on Firefox because the route crashes after native insertion.	inline-void-expanded-replacement
slate-v2-mention-render	local/slate-v2	source	/Users/zbeyens/git/plate-2/.tmp/slate-v2/site/examples/ts/mentions.tsx	246-330	Map Slate v2 mention shape.	Mention is declared `markable-inline`; renderVoid returns a display span for the mention body through the v2 void renderer.	inline-void-expanded-replacement
pm-selection-atom-import	github/prosemirror/prosemirror-view	source	/Users/zbeyens/git/prosemirror-view/src/selection.ts	9-47	Check native selection import around atom nodes.	Selection import handles atom nodes, multi-range native selections, and selectionBetween bias instead of blindly trusting one DOM endpoint.	atom-aware-selection-import
pm-selection-cefalse-export	github/prosemirror/prosemirror-view	source	/Users/zbeyens/git/prosemirror-view/src/selection.ts	55-115	Check selection export around non-editable boundaries.	Selection export has browser-specific handling for selections between non-editable nodes.	atom-aware-selection-import
pm-domchange-default-insert	github/prosemirror/prosemirror-view	source	/Users/zbeyens/git/prosemirror-view/src/domchange.ts	260-277	Check replacement default path.	Single-text-node DOM replacement has a direct insertText path, while complex changes dispatch the parsed DOM change rather than crashing.	inline-void-expanded-replacement
pm-select-all	github/prosemirror/prosemirror-commands	source	/Users/zbeyens/git/prosemirror-commands/src/commands.ts	432-435	Check select-all model command shape.	Select-all maps to an AllSelection over the full document.	inline-void-expanded-replacement
pm-inline-atom-ranges	github/prosemirror/prosemirror-commands	source	/Users/zbeyens/git/prosemirror-commands/src/commands.ts	578-600	Check inline atom command range handling.	Mark commands can skip or split inline atom content ranges rather than treating atoms as ordinary text.	atom-aware-selection-import
cm-atomic-selection-import	github/codemirror/view	source	/Users/zbeyens/git/codemirror-view/src/domchange.ts	174-180	Check selection update after DOM changes.	Recent pointer selections are passed through `skipAtomsForSelection` before dispatch.	atomic-pointer-selection
cm-domchange-default-insert	github/codemirror/view	source	/Users/zbeyens/git/codemirror-view/src/domchange.ts	187-218	Check DOM change replacement ownership.	DOM changes become transactions through a default insert path with composition and atomic-range guards.	inline-void-expanded-replacement
cm-pointer-atomic-skip	github/codemirror/view	source	/Users/zbeyens/git/codemirror-view/src/input.ts	347-358	Check pointer selection lifecycle.	Pointer mouseup finalizes or prevents native selection and clears mouse selection state; selection was already routed through atomic ranges.	atomic-pointer-selection
wpt-expanded-atomic-target-range	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/input-events/input-events-get-target-ranges-non-collapsed-selection.tentative.html	238-256	Check expanded input target ranges across atomic content.	Non-collapsed ranges around an atomic element are preserved as text endpoints around the atom for replacement.	inline-void-expanded-replacement
wpt-cefalse-select-all-delete	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/editing/other/cefalse-boundaries-deletion.html	13-59	Check select-all delete through non-editable boundary nodes.	Select-all delete removes cE=false elements at beginning, end, and both boundaries of an editing host.	select-all-cefalse-removal
upstream-slate-mention-wrapper	github/ianstormtaylor/slate	source	/Users/zbeyens/git/slate/site/examples/ts/mentions.tsx	263-280	Check upstream mention void rendering pressure.	Upstream Slate wraps the mention with `contentEditable=false` and an inner cE=false element for IME/caret stability.	upstream-slate-mention-wrapper
