issue_number	number	kind	state	merged	title	url	created_at	updated_at	delta_kind	classification	owner	status	reason	linked_prs	upstream_test_provenance	local_coverage	local_test	verification_command	last_checked_at	next_action
3556	3556	issue	closed	false	Unable to find the path for Slate node:	https://github.com/ianstormtaylor/slate/issues/3556	2020-03-21T08:41:59Z	2026-07-02T19:49:24Z	materially-updated-after-baseline	portable-dom-resolution	slate-v2	covered-by-existing-test	Merged PR #6080 made target-range path lookup recoverable; Plite already separates nullable bridge recovery from strict APIs.	6080	PR #6080 changed Editable and slate-dom resolution without adding a test.	Exact nullable-versus-strict DOM bridge contract.	packages/plite-dom/test/bridge.ts:411	pnpm --filter @platejs/plite-dom exec bun test --preload ../../config/plite-source-test-setup.ts ./test/bridge.ts --test-name-pattern 'resolves recoverable DOM bridge gaps'	2026-08-14T11:21:25.836091Z	Keep the resolver contract; no transplant.
5130	5130	issue	open	false	Android Predictive typing broken - Firefox	https://github.com/ianstormtaylor/slate/issues/5130	2022-09-21T11:11:37Z	2026-06-01T11:48:06Z	materially-updated-after-baseline	portable-mobile-ime	slate-v2	needs-repro	Firefox Android predictive typing is device and IME specific; synthetic Android contracts cannot close the raw-device claim.		No linked merged PR or upstream regression test.	Adjacent synthetic Android input-manager coverage only.	packages/plite-react/test/android-input-manager-contract.test.ts	bun test:mobile-device-proof:raw	2026-08-14T11:21:25.836091Z	Reproduce on a real Firefox Android device before choosing a fix.
5801	5801	pull_request	closed	false	Update to React 19	https://github.com/ianstormtaylor/slate/pull/5801	2025-01-27T22:12:32Z	2026-07-19T05:15:45Z	materially-updated-after-baseline	tooling-non-behavior	docs-support-release	invalid-skip	tooling maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	No editor audit action.
5869	5869	pull_request	closed	false	chore(deps): bump elliptic from 6.5.4 to 6.6.1	https://github.com/ianstormtaylor/slate/pull/5869	2025-05-14T14:22:31Z	2026-07-09T21:42:52Z	materially-updated-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
5974	5974	issue	closed	false	chrome devtools emulator iPhone devices can't input Chinese charaters.	https://github.com/ianstormtaylor/slate/issues/5974	2025-11-19T11:25:58Z	2026-06-22T04:00:12Z	materially-updated-after-baseline	portable-mobile-ime	slate-v2	needs-repro	The issue closed without a merged fix; an emulator report and a commenter workaround do not prove current behavior.		No linked merged PR or durable upstream test.	Composition contracts are adjacent, not an iPhone-emulator Chinese-input reproduction.	packages/plite-react/test/composition-state-contract.test.ts	bun test:mobile-device-proof:raw	2026-08-14T11:21:25.836091Z	Reproduce only if mobile composition enters the selected work queue.
5987	5987	issue	closed	false	Caret jumps to wrong position when decorate callback changes from async state update	https://github.com/ianstormtaylor/slate/issues/5987	2025-12-09T21:40:37Z	2026-06-30T17:27:13Z	materially-updated-after-baseline	portable-decoration-selection	slate-v2	covered-by-existing-test	Merged PR #6033 adds the async-decoration caret regression and Plite has the same browser behavior row.	6033	playwright/integration/examples/code-highlighting.test.ts in PR #6033.	Exact async decoration caret and composition browser proof.	apps/plite/tests/plite-browser/donor/examples/decorations-async.test.ts	pnpm --filter plite test:plite-browser:chromium tests/plite-browser/donor/examples/decorations-async.test.ts	2026-08-14T11:21:25.836091Z	Keep the existing browser row.
6003	6003	pull_request	open	false	Fix and Type Tests (and some type errors I found along the way)	https://github.com/ianstormtaylor/slate/pull/6003	2026-01-19T20:22:41Z	2026-06-27T20:26:51Z	materially-updated-after-baseline	broad-type-surface	needs-plan	deferred-with-owner	The still-open 167-file PR mixes type tests and unrelated corrections; it is not a decision-atomic portable test slice.		PR files and checks hydrated; no merged authority.	Plite type inference is owned by its public API contracts, not this bulk patch.			2026-08-14T11:21:25.836091Z	Split into atomic API questions before any best-api review.
6025	6025	pull_request	closed	false	chore(deps): bump flatted from 3.2.6 to 3.4.2	https://github.com/ianstormtaylor/slate/pull/6025	2026-03-20T16:10:44Z	2026-07-09T21:42:30Z	materially-updated-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6031	6031	pull_request	closed	false	chore(deps): bump picomatch from 2.3.0 to 2.3.2	https://github.com/ianstormtaylor/slate/pull/6031	2026-03-25T22:06:11Z	2026-07-09T21:42:31Z	materially-updated-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6032	6032	pull_request	closed	false	chore(deps): bump handlebars from 4.7.8 to 4.7.9	https://github.com/ianstormtaylor/slate/pull/6032	2026-03-26T22:59:13Z	2026-07-09T21:42:32Z	materially-updated-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6033	6033	pull_request	closed	true	Fix caret jumping to wrong position when decorations restructure DOM #5987	https://github.com/ianstormtaylor/slate/pull/6033	2026-03-27T07:21:25Z	2026-06-30T17:27:12Z	materially-updated-after-baseline	portable-decoration-selection	slate-v2	covered-by-existing-test	Merged async-decoration caret fix maps exactly to Plite browser proof.	6033	playwright/integration/examples/code-highlighting.test.ts.	Exact async decoration caret and composition browser proof.	apps/plite/tests/plite-browser/donor/examples/decorations-async.test.ts	pnpm --filter plite test:plite-browser:chromium tests/plite-browser/donor/examples/decorations-async.test.ts	2026-08-14T11:21:25.836091Z	Keep the current browser row.
6037	6037	pull_request	closed	false	chore(deps): update lodash to version 4.17.23 across all packages to fix prototype pollution issue	https://github.com/ianstormtaylor/slate/pull/6037	2026-03-30T15:16:36Z	2026-07-09T21:42:23Z	materially-updated-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6039	6039	pull_request	closed	false	perf: add a batch-aware apply engine	https://github.com/ianstormtaylor/slate/pull/6039	2026-03-31T13:37:28Z	2026-06-20T02:18:04Z	materially-updated-after-baseline	fork-specific-batching-architecture	needs-plan	deferred-with-owner	Closed unmerged fork batching engine is the source of the remembered legacy audit, not current upstream Slate law.	6039	Closed unmerged PR with a 109-file branch-specific patch.	Plite has transactions and rollback, but no benchmark proves this engine is the right base.			2026-08-14T11:21:25.836091Z	Require a benchmarked architecture packet before reconsidering mutable batching.
6041	6041	pull_request	closed	false	chore(deps): bump lodash from 4.17.21 to 4.18.1	https://github.com/ianstormtaylor/slate/pull/6041	2026-04-02T10:06:21Z	2026-07-09T21:42:33Z	materially-updated-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6049	6049	pull_request	closed	false	chore(deps): bump follow-redirects from 1.15.6 to 1.16.0	https://github.com/ianstormtaylor/slate/pull/6049	2026-04-14T01:16:57Z	2026-07-09T21:42:33Z	materially-updated-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6050	6050	pull_request	open	false	Basic mutable batching with minimal overhead.	https://github.com/ianstormtaylor/slate/pull/6050	2026-04-15T01:52:35Z	2026-06-26T14:54:18Z	materially-updated-after-baseline	mutable-batching-architecture	needs-plan	deferred-with-owner	Open mutable-batching proposal changes ownership and runtime cost; isolated tests cannot settle adoption.		Open PR; hydrated files, commits, checks, and review threads.	Plite transaction laws cover atomicity, not this mutable representation.			2026-08-14T11:21:25.836091Z	Benchmark against Plite transactions before architecture review.
6053	6053	issue	closed	false	useSelected error when remove myself	https://github.com/ianstormtaylor/slate/issues/6053	2026-04-20T07:59:52Z	2026-07-09T16:33:21Z	materially-updated-after-baseline	portable-react-selection	slate-v2	covered-by-existing-test	Merged PR #6073 prevents selected-element removal from throwing; Plite has exact removal and unmount contracts.	6073	packages/slate-react/test/use-selected.spec.tsx in PR #6073.	Exact selected element removal and explicit watched-path removal.	packages/plite-react/test/use-element-selected.test.tsx:218	pnpm --filter @platejs/plite-react test -- use-element-selected.test.tsx	2026-08-14T11:21:25.836091Z	Keep the current hook contract.
6057	6057	pull_request	closed	false	chore(deps): bump axios from 1.7.4 to 1.16.0	https://github.com/ianstormtaylor/slate/pull/6057	2026-05-06T21:31:29Z	2026-06-17T06:55:24Z	materially-updated-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6058	6058	pull_request	closed	false	chore(deps): bump @babel/plugin-transform-modules-systemjs from 7.23.0 to 7.29.4	https://github.com/ianstormtaylor/slate/pull/6058	2026-05-09T09:18:33Z	2026-07-09T21:42:35Z	materially-updated-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6060	6060	pull_request	closed	false	chore(deps-dev): bump next from 14.2.35 to 15.5.18	https://github.com/ianstormtaylor/slate/pull/6060	2026-05-14T05:31:07Z	2026-07-09T21:42:34Z	materially-updated-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6062	6062	pull_request	closed	true	chore(deps): bump @tootallnate/once from 1.1.2 to 2.0.1	https://github.com/ianstormtaylor/slate/pull/6062	2026-05-21T16:58:47Z	2026-06-17T06:53:40Z	materially-updated-after-baseline	security-non-behavior	docs-support-release	invalid-skip	security maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	Leave dependency and advisory handling to the security/release lane.
6063	6063	pull_request	open	false	fix: wrap history withMerging, withNewBatch, and withoutMerging in try/finally to ensure state cleanup on error	https://github.com/ianstormtaylor/slate/pull/6063	2026-05-24T18:11:35Z	2026-05-31T20:05:19Z	created-after-baseline	portable-history-rollback	slate-v2	covered-by-existing-test	The open try/finally cleanup proposal expresses rollback law already enforced by Plite transactions and History.		Open PR changes history helpers; no merged authority.	Exact History redo-discard rollback contract.	packages/plite-history/test/history-contract.ts:1294	pnpm --filter @platejs/plite-history exec bun test --preload ../../config/plite-source-test-setup.ts ./test/history-contract.ts --test-name-pattern 'discards the redo branch'	2026-08-14T11:21:25.836091Z	Keep transaction-owned cleanup.
6065	6065	pull_request	closed	true	Introduce `HyperscriptPointRef` and `HyperscriptRangeRef`	https://github.com/ianstormtaylor/slate/pull/6065	2026-05-29T13:30:45Z	2026-05-29T20:58:00Z	created-after-baseline	portable-hyperscript-harness	slate-v2	deferred-with-owner	Merged PointRef and RangeRef hyperscript helpers are useful test ergonomics, but Plite hyperscript has no equivalent owner.	6065	packages/slate-hyperscript/test fixtures and parser changes in PR #6065.	No PointRef or RangeRef hyperscript mapping found.			2026-08-14T11:21:25.836091Z	Add only when a selected Plite test needs ref-valued hyperscript fixtures.
6066	6066	pull_request	closed	true	Version Packages	https://github.com/ianstormtaylor/slate/pull/6066	2026-05-29T21:01:11Z	2026-05-30T13:49:56Z	created-after-baseline	release-non-behavior	docs-support-release	invalid-skip	release maintenance does not define a portable editor-behavior regression.		Hydrated PR metadata and file list show no decision-atomic editor behavior test.	N/A: outside editor behavior harvest.			2026-08-14T11:21:25.836091Z	No editor audit action.
