lead_key	repo_key	source_ref	topic	claim	evidence_grade	novelty	applicability	proof_owner	next_action	status	impact	proofability	risk	score	scope_id	review_id	source_revision	source_fingerprint	checked_at
rendering:explicit-omission:contract	local/plate-2	mode-default	rendering	Ordinary rendering must not silently drop document DOM; permission covers nested viewport windows	A	1	3	best-api	plan-packet	promoted	3	3	1	9	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
rendering:stable-active-dom:identity	local/plate-2	mode-host;group-keys	rendering	Preserve native active descendant identity as well as host identity	A	2	3	plite-plan	test-packet	promoted	3	3	1	10	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
coverage:committed-materialization:lifecycle	local/plate-2	coverage-owner;boundary-component	coverage	Handler acceptance cannot stand in for committed mounted DOM	A	1	3	plite-plan	test-packet	promoted	3	2	2	7	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
coverage:mixed-copy-policies:clipboard	local/plate-2	clipboard-runtime;public-coverage-doc	coverage	Mixed model/exclude copy currently includes excluded text; specify policy composition before adoption	A	2	3	best-api	plan-packet	promoted	3	3	1	10	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
pagination:one-canvas:projection	local/plate-2	page-runtime;virtual-plan	pagination	Remove the second viewport projection and keep one page canvas coordinate system	A	3	3	plite-plan	plan-packet	promoted	3	3	2	10	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
pagination:explicit-unit-window:coverage	local/plate-2	page-runtime;page-renderer	pagination	Default/full pagination can filter table units without an explicit viewport choice	A	2	3	plite-plan	test-packet	promoted	3	3	1	10	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
packaging:honest-virtual-dependency:artifact	local/plate-2	runtime-build-config;package-manifest	packaging	Optional TanStack peer is statically required by ordinary React import	A	2	3	best-api	plan-packet	promoted	2	3	1	9	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
rendering:first-window:hydration	local/plate-2	mode-default;runtime-build-config	rendering	Replace staged SSR fallback with a deliberate initial-render contract; compare full and bounded window	A	2	3	benchmark	benchmark-packet	promoted	3	2	2	8	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
native-coverage:service-proof:browser	local/plate-2	csswg-current-draft;codemirror-view:src/domobserver.ts	native-coverage	Native Find, print, accessibility, IME and model search need separate proof and ownership	A local source + C draft	1	3	verify-plate	test-packet	promoted	3	2	2	7	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
virtualization:surviving-scan:measurement	local/plate-2	prior-virtualization;page-mount-plan	virtualization	Measure the surviving page/fragment scan before adding an index or store	A	0	2	benchmark	no-code-decision	deferred	2	2	3	3	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
coverage:metrics-not-capabilities:diagnostics	local/plate-2	metrics-truth	coverage	Mount counts and nativeSurfaceComplete do not certify browser capability	A	1	3	best-api	plan-packet	promoted	2	3	1	8	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
coverage:delete-find-metadata:api	local/plate-2	public-coverage-doc;coverage-owner	coverage	Delete findPolicy; existing search owner performs search	A	1	3	best-api	plan-packet	promoted	2	3	1	8	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
