dedupe_key	repo_key	lead_key	reason	reopen_condition
tree-node-bijection-as-entire-model	github.com/gumtreediff/gumtree	diff:content-continuity:composite-effects	rejected: node matching alone cannot express span splits/joins and combined effects	Complete span/native laws are proven with a simpler retained model.
json-patch-library-as-native-owner	github.com/benjamine/jsondiffpatch	diff:exact-baseline:atomic-import	rejected: same-array identity callbacks and index patches do not own authored/anchor/collaboration laws	A replacement proves the full native contract with less permanent complexity.
difftastic-as-complete-richtext-engine	github.com/wilfred/difftastic	diff:readable-output:quality-corpus	rejected: syntax/display research does not establish complete move/review/patch capability	Source-backed rich-text span/native capability with matching proof appears.
delta-as-whole-tree-model	github.com/slab/delta	diff:exact-payload:rendered-alternatives	rejected: flat rich-text algebra is not whole structural correspondence	A simpler model preserves tree/root/grid/native laws.
fuzzy-partial-native-application	github.com/google/diff-match-patch	diff:exact-baseline:atomic-import	rejected: fuzzy application can succeed on a different baseline and allows per-patch failure	Separately requested best-effort text repair; never authoritative proposal import.
merge-first-review-result	github.com/bhousel/node-diff3	diff:three-way-review:branch-contributions	rejected: merged text alone drops clean branch origins and deleted review content	Complete contributions and alternatives survive in the comparison.
mandatory-public-crdt-graph	github.com/loro-dev/loro	diff:native-moves:concurrent-continuity	rejected: native identity is required but mandatory CRDT/public graph replacement is not established	A concrete failed native law and lower-cost whole-model alternative appear.
diff-global-manager	local/plate-2	diff:presentation:granularity-count-filter	rejected: immutable operation results and existing native stores cover current lifetimes	Independent current subscription/lifetime job cannot fit an existing owner.
exclusive-compared-change-kind	local/plate-2	diff:content-continuity:composite-effects	rejected: one move/split/merge tag cannot encode simultaneous structure/interior effects	Composable effects preserve all correspondence and changes.
json-move-support	github.com/benjamine/jsondiffpatch	diff:content-continuity:composite-effects	merged: move-plus-edit support for existing continuity lead	New span/proof family.
mergiraf-node-correspondence	codeberg.org/mergiraf/mergiraf	diff:content-continuity:composite-effects	merged: second node-bijection source supports the span-boundary decision	Different cardinality semantics.
automerge-recorded-vs-inferred	github.com/automerge/automerge	diff:history-is-not-presentation:provenance	merged: native capture/snapshot inference supports existing provenance lead	New causal/retention proof family.
fuzzy-baseline-support	github.com/google/diff-match-patch	diff:exact-baseline:atomic-import	merged: fuzzy success supplies exact-baseline adversarial witness	Distinct application law.
vscode-move-budget-support	github.com/microsoft/vscode	diff:bounded-work:quality-preserving-fallback	merged: move heuristics support bounded work and domain-specific thresholds	New rich-text calibration/proof family.
mergiraf-topology-support	codeberg.org/mergiraf/mergiraf	diff:topology-conflicts:preserve-order	merged: rendered-tree validation and order semantics strengthen topology lead	New schema/conflict invariant.
