repo_key	url	host	license	stars_or_signal	last_activity	topic_tags	local_path	status	score	notes
github.com/syntax-tree/unist	https://github.com/syntax-tree/unist	github.com	CC-BY-4.0	universal syntax-tree specification	2026-06-01	base-node,json	../unist	read	n/a	commit 8b10b6113c1463113b879f423d605547e04efd0d
github.com/syntax-tree/mdast	https://github.com/syntax-tree/mdast	github.com	MIT	Markdown AST specification	2026-02-04	markdown,unist,interchange	../mdast	read	n/a	commit c034ec9ddb8ca2ab16de90d668433624bdd92179
github.com/prosemirror/prosemirror-model	https://github.com/ProseMirror/prosemirror-model	github.com	MIT	ProseMirror schema/model core	2026-04-01	schema,attrs,marks	../prosemirror-model	read	n/a	commit 6264de069d8439131e88f8ba06973551916184e4
official/prosemirror/schema-basic	https://code.haverbeke.berlin/prosemirror/prosemirror-schema-basic.git	other	MIT	ProseMirror canonical basic schema	2026-04-01	heading,code,image	../prosemirror-schema-basic	read	n/a	commit 6daea265c3983a04f272f510b99493868919d374
github.com/facebook/lexical	https://github.com/facebook/lexical	github.com	MIT	major rich-text editor	2026-07-27	serialized-nodes,heading,table	../lexical	read	n/a	commit dd5c41b13193efa9ab1574234d8593d2c9e4f988
github.com/ianstormtaylor/slate	https://github.com/ianstormtaylor/slate	github.com	MIT	Plate lineage and structural editor model	2026-08-07	element,text,children	../slate-official	read	n/a	commit ec793483ada7f7e21ebc82c2b3aa9ea674605ce3
github.com/typecellos/blocknote	https://github.com/TypeCellOS/BlockNote	github.com	MPL-2.0	application-facing block editor	2026-08-17	blocks,props,heading,code	../BlockNote	read	n/a	commit 1e26f1c5e1cd7df81df9d4ab2a853bf1b298b163
github.com/portabletext/portabletext	https://github.com/portabletext/portabletext	github.com	MIT	portable rich-text specification	2025-06-30	blocks,spans,marks,lists	../portabletext-spec	read	n/a	commit d17f7289b7063d805c7e39d8620f5e89029d395e
github.com/codex-team/editor.js	https://github.com/codex-team/editor.js	github.com	Apache-2.0	block-tool output model	2026-08-04	blocks,data-bag	../editor.js	read	n/a	commit 5f45dabbe5690b7033b2f9047d3985add5045fdd
github.com/slab/quill	https://github.com/slab/quill	github.com	BSD-3-Clause	Delta linear document model	2025-07-25	delta,attributes,ot	../quill	read	n/a	commit 539cbffd0a13b18e9c65eb84dd35e6596e403158
github.com/blockprotocol/blockprotocol	https://github.com/blockprotocol/blockprotocol	github.com	MIT OR Apache-2.0	open block embedding protocol	2026-08-07	blocks,embedding,graph,hooks	../blockprotocol	read	n/a	commit 7acf45e35c529f5a2a89c1eefda8e42faad27ea6
github.com/bustlelabs/mobiledoc-kit	https://github.com/bustlelabs/mobiledoc-kit	github.com	MIT	versioned portable article format	2024-11-14	mobiledoc,sections,cards,atoms	../mobiledoc-kit	read	n/a	commit 62d8fcb314007aabedc43f33ff443772eba16bfe
github.com/contentful/rich-text	https://github.com/contentful/rich-text	github.com	MIT	vendor rich-text AST and renderers	2026-08-16	contentful,ast,closed-vocabulary	../contentful-rich-text	read	n/a	commit 36f9d2ab52c0ee8a92fc10fe41bc572efc20a036
github.com/ottypes/rich-text	https://github.com/ottypes/rich-text	github.com	MIT	ShareJS rich-text OT type	2020-04-02	ot,delta,collaboration	../rich-text	read	n/a	commit b53cd97690804e544370423ce27c6d852abb2c7f
