lead_key	repo_key	source_ref	topic	claim	evidence_grade	novelty	applicability	proof_owner	next_action	status
E01	local/plate-2	packages/plitejs/src/react/context.tsx	plite.react-components	Where does full-DOM mount spend its additional 474 ms versus ProseKit at 10k?	High problem; low cause	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Pursue	pursue
E02	local/plate-2	packages/plitejs/src/react/components/editable-dom-commit-fence.tsx	plite.react-commit	Which model, publication, React and DOM work explains the 10k split and marked-typing gap?	High problem; low cause	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Pursue	pursue
E03	local/plate-2	packages/platejs/src/features/code-block/lib/BaseCodeBlockPlugin.ts	plate.code-block	Can the highlighter consume a bounded change without rebuilding the complete block?	Medium	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Pursue	pursue
E04	local/plate-2	packages/platejs/src/features/table/lib/BaseTablePlugin.ts	plate.table	Which remaining table-selection work survives the adopted coordinate-cache change?	Medium, from prior exact tests	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Pursue	pursue
E05	local/plate-2	packages/platejs/src/code-drawing/lib/renderers.ts	plate.code-drawing	Can rendering follow preview/export demand without degrading either action?	High source; export tradeoff open	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Pursue	pursue
E06	local/plate-2	packages/plitejs/src/react/hooks/use-generic-selector.tsx	plite.react-subscriptions	Is the generic selector adapter material after the current Compiler and fanout controls?	Medium mechanism; unproven attribution	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E07	local/plate-2	packages/platejs/src/ai/react/useAIChat.ts	plate.ai	Does complete Markdown reparse dominate generation-mode preview settlement?	High source; unmeasured route	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E08	local/plate-2	packages/platejs/src/excalidraw/react/useExcalidrawSync.ts	plate.excalidraw	Is whole-scene serialization material in the actual Excalidraw callback path?	High source; unmeasured scene	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E09	local/plate-2	packages/platejs/src/emoji/lib/createEmojiSearch.ts	plate.emoji	Is actual emoji search cheap enough to remove the debounce safely?	High source; unmeasured route	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E10	local/plate-2	packages/platejs/src/features/find/lib/BaseFindPlugin.ts	plate.find	Can one owner remove both rescan and match-publication cost?	Prior complete experiments failed	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E11	local/plate-2	packages/plitejs/src/core/public-state.ts	plite.transactions	Which current subscribed consumer still performs work proportional to unrelated nodes?	Medium	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E12	local/plate-2	packages/plitejs/src/core/facet.ts	plite.facets	Do not build a facet fast path from a microbenchmark without a real hot caller.	High negative search	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Stop	stop
E13	local/plate-2	packages/plitejs/src/core/representation.ts	plite.document	Scattered edit-only wins disappear when every edit materializes the full string.	Measured probe	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Stop	stop
E14	local/plate-2	packages/plitejs/src/react/editable/external-text-runtime.ts	plite.text-rendering	Do not replace native rich-text layout/input/accessibility with a universal GPU renderer.	High source constraints	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Stop	stop
E15	local/plate-2	packages/platejs/tsdown.config.mts	tooling.package-build	Is Oxc output equivalent and materially faster for our real package and copied-source builds?	Current official lead	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E16	local/plate-2	packages/platejs/src/core.tsx	plate.packaging	Which configured-feature-equivalent consumer bundle retains unnecessary code?	Medium	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E17	local/plate-2	packages/plitejs/src/history/history-merge-policy.ts	plite.history	Which retained object graph grows after history truncation and view teardown?	Current owner benchmarks	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E18	local/plate-2	packages/plitejs/src/dom/plugin/dom-geometry.ts	plite.dom-coordinates	Are repeated same-revision geometry reads material after the DOM scheduler?	Medium	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E19	local/plate-2	packages/plitejs/src/react/dom-strategy/use-virtualized-root-plan.ts	plite.virtualization	Can missing-range boundary payloads use endpoint keys without slicing every hidden key?	High source; tiny target	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Pursue	pursue
E20	local/plate-2	packages/plitejs/src/pagination/page-mount-plan.ts	plite.pagination	Is the page-plan full scan material in real forward and backward scrolling?	Medium	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E21	local/plate-2	packages/plitejs/src/react/components/editable-root-groups.ts	plite.staged-rendering	Which content-visibility cohort passes Find, print, selection and overlay behavior?	Established technique; local parity open	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E22	local/plate-2	packages/plitejs/src/react/dom-strategy/use-virtualized-root-plan.ts	plite.virtualization	Does viewport omission remain useful after materialization and native-service costs?	Current experimental implementation	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E23	local/plate-2	packages/plitejs/src/react/dom-strategy/use-virtualized-root-plan.ts	plite.virtualization	Can one immutable window snapshot replace repeated mutable reads without stale geometry?	Medium	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E24	local/plate-2	packages/plitejs/src/react/editable/selection-reconciler.ts	plite.native-selection	Does primary pointer entry into a nested editor clear inactive selection before mousedown?	Exact donor proof gap	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Pursue	pursue
E25	local/plate-2	packages/platejs/src/features/basic-styles/lib/BaseStylePlugins.ts	plate.basic-styles	Which explicit local text-direction contract is required beyond native bidi navigation?	Current source gap	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Defer	defer
E26	local/plate-2	packages/plitejs/src/internal/view/view-source.ts	plite.view-sources	Why does provider/bucket setup exceed mount and update budgets while reads and cleanup pass?	Fresh isolated owner benchmark	Fresh evidence reconciled with prior iteration	Current named user job	docs/plite/research/2026-09-09-editor-performance-iteration-2/experiments.md	Pursue	pursue
