dedupe_key	repo_key	lead_key	reason	reopen_condition	scope_id	review_id	source_revision	source_fingerprint	checked_at
annotation:global-marker-collection	github.com/ckeditor/ckeditor5	annotation:mapping-kernel:collection	Global scans and one live observer per marker regress high-cardinality work; CKEditor itself recommends few markers.	A collection candidate beats targeted routing in matched scale proof without weakening semantics.	annotations	2026-09-21-annotations-oss-validation	88b9d8b04d1322a4ec62aae26d341eefa3d0da09	88b9d8b04d1322a4ec62aae26d341eefa3d0da09	2026-09-21
annotation:document-marks-default	github.com/facebook/lexical;tiptap-comments-docs;github.com/automerge/automerge	annotation:ownership:four-lifetimes	Document marks put attachment identity in document history and serialization while Plate Comments owns external thread lifetime.	A product requires collaborative attachment identity to be document state and accepts the history/import contract.	annotations	2026-09-21-annotations-oss-validation	mixed	mixed	2026-09-21
annotation:merge-target-index-paint	multiple; see read-log.tsv	annotation:ownership:four-lifetimes	Semantic target, collection index and DOM paint have different owners and lifetimes.	Never reopen as one object; reuse smaller private helpers when evidence supports them.	annotations	2026-09-21-annotations-oss-validation	mixed	mixed	2026-09-21
annotation:shared-projected-index	multiple; see read-log.tsv	annotation:view:exact-index	The same target resolves differently in accepted and proposed views.	Only reopen if all simultaneous views are proven projection-identical.	annotations	2026-09-21-annotations-oss-validation	mixed	mixed	2026-09-21
annotation:second-model-for-review-pane	github.com/udecode/plate	annotation:topology:one-model-many-views	A copied model creates synchronization, mirror-anchor and selection-reset machinery for a same-document view.	A real independent revision, transport or write authority is selected as a product requirement.	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
annotation:replace-anchors-with-rangeset	github.com/codemirror/state;github.com/microsoft/vscode	annotation:mapping-kernel:collection	Flat mapped ranges do not own roots, tree identity, authored projections, save/restore or terminal policy.	A prototype preserves every semantic law and wins matched scale proof materially.	annotations	2026-09-21-annotations-oss-validation	mixed	mixed	2026-09-21
annotation:add-resolve-many-public	github.com/yjs/yjs;github.com/udecode/plate	annotation:mapping-kernel:batch	Arbitrary borrowed targets need only scalar resolve; a backend batching capability would burden adapters and expose implementation strategy.	Multiple external target backends prove a shared public batch job.	annotations	2026-09-21-annotations-oss-validation	mixed	mixed	2026-09-21
annotation:drop-as-crdt-protocol	github.com/yjs/yjs;github.com/automerge/automerge	annotation:deletion:policy	CRDT positions move to surviving boundaries and Yjs local undo following can diverge after synchronization.	A persisted collaborative terminal target carries explicit replicated tombstone state and has a current consumer.	annotations	2026-09-21-annotations-oss-validation	mixed	mixed	2026-09-21
annotation:rename-drop-to-exact-now	multiple; see read-log.tsv	annotation:deletion:policy	No current consumer needs temporarily unavailable exact identity; Comments uses nearest and transient callers need terminal invalidation.	A current feature requires recoverable absence distinct from nearest and terminal drop.	annotations	2026-09-21-annotations-oss-validation	mixed	mixed	2026-09-21
annotation:delete-persistent-trie-by-aesthetics	github.com/udecode/plate	annotation:snapshot-kernel:benchmark	The trie has bounded-copy evidence; complexity alone does not prove a simpler snapshot is faster or smaller.	Matched wall-time and retained-heap proof selects a simpler candidate.	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
annotation:generic-provider-and-diagnostics	github.com/udecode/plate	annotation:api:minimal-reader	Generic context erases data types and public diagnostics/lifecycle authority lack independent React reader jobs.	A typed reusable provider or operational diagnostics consumer is demonstrated.	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
annotation:flat-delta-offset-owner	github.com/slab/quill	annotation:replacement:flat-offsets	Flat transformed offsets cannot express Plite tree roots or exact authored views.	Never reopen as the semantic owner; flat offsets may remain a codec boundary.	annotations	2026-09-21-annotations-oss-validation	539cbffd0a13b18e9c65eb84dd35e6596e403158	539cbffd0a13b18e9c65eb84dd35e6596e403158	2026-09-21
