source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key
pm-input-paste-composition	github/prosemirror/prosemirror-view	source	/Users/zbeyens/git/prosemirror-view/src/input.ts	590-667	Find paste event behavior and composition guard.	ProseMirror skips JS paste handling while composing outside Android, then otherwise parses clipboard and dispatches paste transactions.	clipboard:paste-during-composition:native-ime-oracle
pm-clipboard-slice	github/prosemirror/prosemirror-view	source	/Users/zbeyens/git/prosemirror-view/src/clipboard.ts	1-260	Inspect rich paste metadata and table wrappers.	`data-pm-slice`, context, WebKit space restoration, and wrapper map prove fragment semantics are explicit, not ad hoc.	clipboard:rich-fragment-metadata:future-table-proof
cm-input-paste	github/codemirror/view	source	/Users/zbeyens/git/codemirror-view/src/input.ts	440-500,695-770	Inspect paste fallback and observer timing.	CodeMirror flushes observed DOM before paste, reads plain/uri-list data, and carries linewise paste state.	clipboard:dom-flush-before-paste:harness-lesson
lexical-events-paste	github/facebook/lexical	source	/Users/zbeyens/git/lexical/packages/lexical/src/LexicalEvents.ts	633-870,1418-1460	Inspect beforeinput and paste command routing.	Lexical routes paste through a command boundary and separates native beforeinput composition handling.	clipboard:command-boundary:data-transfer-priority
lexical-clipboard-rich	github/facebook/lexical	source	/Users/zbeyens/git/lexical/packages/lexical-clipboard/src/clipboard.ts	101-200,420-588	Inspect DataTransfer read/write priority.	Lexical prefers editor JSON, then HTML, then plain text, and guards iOS Safari plain text/HTML equality.	clipboard:command-boundary:data-transfer-priority
slate-paste-handler	local/slate-v2	source	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/src/editable/clipboard-input-strategy.ts	688-753	Map current paste handler.	Slate handles partial DOM backed paste, WebKit/plain-text fallback, materialization boundaries, and insert-data commands.	clipboard:slate-existing-coverage:covered
slate-browser-paste-helper	local/slate-v2	source	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-browser/src/playwright/index.ts	3497-3555,7108-7185	Map test harness paste paths.	`pasteText` can use real clipboard shortcut with fallback; direct `navigator.clipboard.writeText` plus root shortcut is better for this native IME oracle.	clipboard:paste-during-composition:native-ime-oracle
slate-hidden-staged-coverage	local/slate-v2	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/dom-coverage-native-bridge-contract.test.ts	253-725	Check existing hidden/staged paste coverage.	Hidden and staged selection paste materialization are package-covered already.	clipboard:slate-existing-coverage:covered
slate-richtext-ime-paste	local/slate-v2	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/richtext.test.ts	1970-2038	Promoted native browser proof.	Native Chromium composition plus real clipboard paste at the composition point stays coherent and asserts model selection.	clipboard:paste-during-composition:native-ime-oracle
slate-paste-html-pm-table-row	local/slate-v2	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts	1592-1624	Promoted ProseMirror table fragment proof.	ProseMirror `data-pm-slice` table row wrapper imports as a table and does not expose slice metadata.	clipboard:rich-fragment-metadata:future-table-proof
