number	state	disposition	cluster	matrixKey	owner	proofKind	action	command	title	url	reason
1	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Show drop position when dragging over the editor	https://github.com/ProseMirror/prosemirror/issues/1	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
2	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Make cursor-motion code aware of multi-word UTF16 code points	https://github.com/ProseMirror/prosemirror/issues/2	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
3	CLOSED	plate-owned	plate-plugin-policy	Product/plugin policy above Slate core	Plate plugin/package/docs/example owner	Plate package/example proof; deferred under Slate-v2-only scope	plate-owned-defer	select Plate package/example owner before applying outside Slate-v2-only run	syntax highlighting for code blocks?	https://github.com/ProseMirror/prosemirror/issues/3	Kept for Product/plugin policy above Slate core; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
5	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	nodeBefore() is not defined	https://github.com/ProseMirror/prosemirror/issues/5	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
6	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Consider joining forces with quilljs?	https://github.com/ProseMirror/prosemirror/issues/6	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
7	CLOSED	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser proof owner	raw Android/iOS/mobile browser proof required	defer-raw-device	bun test:mobile-device-proof:raw or add a focused raw-device/platform browser target	Tooltip inline menu fights with iOS selection menu	https://github.com/ProseMirror/prosemirror/issues/7	Kept for Raw mobile, touch, Android, iOS; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
8	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Suggested way to save the content	https://github.com/ProseMirror/prosemirror/issues/8	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
9	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	export/import from git	https://github.com/ProseMirror/prosemirror/issues/9	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
10	CLOSED	keep-portable	collaboration-rebase	Collaboration, remote steps, shared history, rebasing	.tmp/slate-v2/packages/slate/test/collab-history-runtime-contract.ts; future yjs/browser collaboration lane	package remote-edit/history proof; browser/provider proof when transport matters	create-new/defer-collab-browser	bun test ./packages/slate/test/collab-history-runtime-contract.ts --test-name-pattern "remote|selection|history|collab"	Collaborative demo occasionally corrupts documents	https://github.com/ProseMirror/prosemirror/issues/10	Kept for Collaboration, remote steps, shared history, rebasing; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
11	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	ProseMirror AngularJs directive	https://github.com/ProseMirror/prosemirror/issues/11	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
