rank	package	package_score	hot_files_7_plus	candidate_files	mean_line_cov_pct	top_files
1	markdown	50	34	34	91.97	10:packages/markdown/src/lib/deserializer/utils/customMdxDeserialize.ts | 10:packages/markdown/src/lib/rules/columnRules.ts | 10:packages/markdown/src/lib/MarkdownPlugin.ts | 10:packages/markdown/src/lib/rules/defaultRules.ts | 10:packages/markdown/src/lib/serializer/convertNodesSerialize.ts
2	yjs	50	9	9	0.00	10:packages/yjs/src/lib/BaseYjsPlugin.ts | 10:packages/yjs/src/lib/providers/hocuspocus-provider.ts | 10:packages/yjs/src/lib/providers/webrtc-provider.ts | 10:packages/yjs/src/lib/withPlateYjs.ts | 10:packages/yjs/src/utils/slateToDeterministicYjsState.ts
3	media	49	15	19	45.53	10:packages/media/src/lib/media-embed/transforms/insertMediaEmbed.ts | 10:packages/media/src/lib/media/insertMedia.ts | 10:packages/media/src/lib/placeholder/transforms/insertPlaceholder.ts | 10:packages/media/src/lib/image/BaseImagePlugin.ts | 9:packages/media/src/lib/placeholder/transforms/setMediaNode.ts
4	autoformat	48	14	18	23.24	10:packages/autoformat/src/lib/transforms/autoformatBlock.ts | 10:packages/autoformat/src/lib/transforms/autoformatMark.ts | 10:packages/autoformat/src/lib/transforms/autoformatText.ts | 9:packages/autoformat/src/lib/rules/math/autoformatFraction.ts | 9:packages/autoformat/src/lib/rules/math/autoformatSuperscript.ts
5	docx-io	46	17	30	79.41	10:packages/docx-io/src/lib/html-to-docx/utils/image-dimensions.ts | 9:packages/docx-io/src/lib/html-to-docx/utils/image-to-base64.ts | 9:packages/docx-io/src/lib/docx-export-plugin.tsx | 9:packages/docx-io/src/lib/html-to-docx/helpers/xml-builder.ts | 9:packages/docx-io/src/lib/html-to-docx/html-to-docx.ts
6	docx	45	15	31	67.33	9:packages/docx/src/lib/docx-cleaner/utils/getVShapeSpid.ts | 9:packages/docx/src/lib/docx-cleaner/utils/cleanDocxListElementsToList.ts | 9:packages/docx/src/lib/docx-cleaner/utils/getRtfImageHex.ts | 9:packages/docx/src/lib/docx-cleaner/utils/getRtfImageMimeType.ts | 9:packages/docx/src/lib/docx-cleaner/utils/getRtfImagesMap.ts
7	table	44	28	68	61.04	10:packages/table/src/lib/merge/deleteRow.ts | 9:packages/table/src/lib/withSetFragmentDataTable.ts | 9:packages/table/src/lib/BaseTablePlugin.ts | 8:packages/table/src/lib/queries/getTableColumnIndex.ts | 8:packages/table/src/lib/merge/getSelectionWidth.ts
8	list-classic	44	15	36	66.79	9:packages/list-classic/src/lib/transforms/insertListItem.ts | 9:packages/list-classic/src/lib/transforms/insertTodoListItem.ts | 9:packages/list-classic/src/lib/withDeleteFragmentList.ts | 9:packages/list-classic/src/lib/BaseTodoListPlugin.ts | 8:packages/list-classic/src/lib/queries/getTodoListItemEntry.ts
9	dnd	44	5	6	20.79	9:packages/dnd/src/queries/getBlocksWithId.ts | 9:packages/dnd/src/transforms/removeBlocksAndFocus.ts | 9:packages/dnd/src/transforms/focusBlockStartById.ts | 9:packages/dnd/src/transforms/selectBlockById.ts | 8:packages/dnd/src/utils/getNewDirection.ts
10	suggestion	43	11	22	62.86	9:packages/suggestion/src/lib/diffToSuggestions.ts | 9:packages/suggestion/src/lib/utils/getActiveSuggestionDescriptions.ts | 9:packages/suggestion/src/lib/BaseSuggestionPlugin.ts | 8:packages/suggestion/src/lib/transforms/getSuggestionProps.ts | 8:packages/suggestion/src/lib/transforms/insertFragmentSuggestion.ts
