source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key	scope_id	review_id	source_revision	source_fingerprint	checked_at
mammoth:README.md	mammoth	local-source	/Users/zbeyens/git/mammoth.js/README.md	1-41;323-340;525-548	Strongest relevant source for scoped DOCX comparison	Declared semantic HTML goal, comment-reference conversion and external-file default; declaration only.	semantic-projection	documents	2026-09-14-documents-oss-fidelity-review	71fe5daa50f85939efc9ea546ac588c4dba56d4c	c35813ebd8cc6b8d6f1769242117eb81d958ceef8dc8785ebc58ad780015d430	2026-09-14
mammoth:lib/docx/body-reader.js	mammoth	local-source	/Users/zbeyens/git/mammoth.js/lib/docx/body-reader.js	37-70;267-278;437-461;699-740	Strongest relevant source for scoped DOCX comparison	Actual readers unwrap insertions, discard deletions and comment range boundaries; known ignored elements bypass generic warnings.	semantic-projection	documents	2026-09-14-documents-oss-fidelity-review	71fe5daa50f85939efc9ea546ac588c4dba56d4c	f1470d5abbd44f60bb15d0e90112de3234de3528e891943d2c9420cd479c5f4c	2026-09-14
mammoth:test/docx/body-reader.tests.js	mammoth	local-source	/Users/zbeyens/git/mammoth.js/test/docx/body-reader.tests.js	1888-1925	Strongest relevant source for scoped DOCX comparison	Assertions cover comment references, unknown-element warnings and intentional silent ignores; read, not run.	semantic-projection	documents	2026-09-14-documents-oss-fidelity-review	71fe5daa50f85939efc9ea546ac588c4dba56d4c	61ef3222ed44e1a77913056cbb5114792da5ff44973f7ec3b05370e4eb418d55	2026-09-14
mammoth:LICENSE	mammoth	local-source	/Users/zbeyens/git/mammoth.js/LICENSE	1-22	Strongest relevant source for scoped DOCX comparison	License conditions read; no copied source.	semantic-projection	documents	2026-09-14-documents-oss-fidelity-review	71fe5daa50f85939efc9ea546ac588c4dba56d4c	6663bbd049205d38a496ccacb412a151980b444627d38de218b3b809aef330f1	2026-09-14
html-to-docx:package.json	html-to-docx	local-source	/Users/zbeyens/git/html-to-docx/package.json	1-213	Strongest relevant source for scoped DOCX comparison	Current browser/node export conditions and converter dependencies inspected.	projection-not-preservation	documents	2026-09-14-documents-oss-fidelity-review	571d2e471f005a88b4af74fa5a49154fc8dd7b56	ecfbe5a05afd16341186eba6f45467342d66c7bfa1a6c052ce8acd074b9df686	2026-09-14
html-to-docx:src/html-to-docx.js	html-to-docx	local-source	/Users/zbeyens/git/html-to-docx/src/html-to-docx.js	60-143	Strongest relevant source for scoped DOCX comparison	Generates Word parts, relationships, styles and numbering from document instance; not an input-package preservation mechanism.	projection-not-preservation	documents	2026-09-14-documents-oss-fidelity-review	571d2e471f005a88b4af74fa5a49154fc8dd7b56	55bdab445c90b5fceb71a57a8e1f1ed33dad584f65dcc5c8b1937932660b253d	2026-09-14
html-to-docx:src/helpers/render-document-file.js	html-to-docx	local-source	/Users/zbeyens/git/html-to-docx/src/helpers/render-document-file.js	1-160;450-480	Strongest relevant source for scoped DOCX comparison	Builds HTML list ordering and run/paragraph representations; ins/del route through formatting builder.	projection-not-preservation	documents	2026-09-14-documents-oss-fidelity-review	571d2e471f005a88b4af74fa5a49154fc8dd7b56	1d227c9ad02504dbc6d80d2800c4b49e4e92791b855433bfb478abc9dfd0241e	2026-09-14
html-to-docx:src/helpers/xml-builder.js	html-to-docx	local-source	/Users/zbeyens/git/html-to-docx/src/helpers/xml-builder.js	712-744	Strongest relevant source for scoped DOCX comparison	HTML ins becomes underline; del becomes strike, not tracked-change identity.	projection-not-preservation	documents	2026-09-14-documents-oss-fidelity-review	571d2e471f005a88b4af74fa5a49154fc8dd7b56	851243de12509a40bb22cee4f04583a62e3ec40a53c0548977937a83df8189c3	2026-09-14
html-to-docx:src/utils/image.js	html-to-docx	local-source	/Users/zbeyens/git/html-to-docx/src/utils/image.js	284-319;435-490	Strongest relevant source for scoped DOCX comparison	Remote image downloader has timeout/size controls; buildImage catches failures and returns null after logging.	projection-not-preservation	documents	2026-09-14-documents-oss-fidelity-review	571d2e471f005a88b4af74fa5a49154fc8dd7b56	ded2dd1dbd62caf812290aba56c7fd8ff6efb23641a529c6b69a161560ca5083	2026-09-14
html-to-docx:tests/rpr-child-order.test.js	html-to-docx	local-source	/Users/zbeyens/git/html-to-docx/tests/rpr-child-order.test.js	1-95	Strongest relevant source for scoped DOCX comparison	OOXML element-order assertions are a useful artifact oracle; native rendering explanation is upstream claim, not replayed here.	projection-not-preservation	documents	2026-09-14-documents-oss-fidelity-review	571d2e471f005a88b4af74fa5a49154fc8dd7b56	6aaf318f7b7a201597650fd33967844f5e95286a4a5bf1a18f2e40a291eec92c	2026-09-14
