source	status	file
working-tree	M	.agents/AGENTS.md
working-tree	M	.agents/rules/continue.mdc
working-tree	D	.agents/rules/north-star.mdc
working-tree	M	.agents/rules/plate-plugin-creator.mdc
working-tree	M	.agents/rules/slate-auto.mdc
working-tree	A	.agents/rules/slate-migration.mdc
working-tree	D	.agents/rules/slate-north-star.mdc
working-tree	A	.agents/rules/sync-vision.mdc
working-tree	A	.agents/rules/vision.mdc
working-tree	M	AGENTS.md
working-tree	M	VISION.md
working-tree	M	docs/plans/2026-06-03-compile-slate-automation-taste-profile.md
working-tree	R066	docs/plans/2026-06-03-harden-vision-from-docs-and-sessions.md
working-tree	M	docs/plans/2026-06-03-lexical-all-issues-closure.md
working-tree	M	docs/plans/2026-06-03-lexical-all-state-issue-robustness-harvest.md
working-tree	M	docs/plans/2026-06-03-lexical-full-all-issues-robustness-harvest.md
working-tree	R069	docs/plans/2026-06-03-polish-vision-from-decision-docs.md
working-tree	M	docs/plans/2026-06-03-resolve-slate-issue-12-partial-selection-undo.md
working-tree	M	docs/plans/2026-06-03-slate-automation-one-hour-stable-loop-2.md
working-tree	M	docs/plans/2026-06-03-slate-automation-one-hour-stable-loop.md
working-tree	M	docs/plans/2026-06-03-slate-automation-stable-feature-validation-loop-2.md
working-tree	M	docs/plans/2026-06-03-slate-automation-stable-feature-validation-resume.md
working-tree	M	docs/plans/2026-06-03-stable-slate-automation-batch.md
working-tree	M	docs/plans/2026-06-04-prosemirror-issue-by-issue-closure.md
working-tree	M	docs/plans/2026-06-04-prosemirror-issue-harvest-slate-v2.md
working-tree	M	docs/plans/2026-06-04-slate-v2-current-tree-stable-behavior.md
working-tree	M	docs/plans/2026-06-04-slate-v2-default-automation-continuation.md
working-tree	M	docs/plans/2026-06-04-slate-v2-docs-public-api-dx-parity.md
working-tree	M	docs/plans/2026-06-04-slate-v2-hard-cut-aliases.md
working-tree	M	docs/plans/2026-06-04-slate-v2-huge-document-correctness-perf-7h.md
working-tree	M	docs/plans/2026-06-05-huge-document-staged-behavior-perf-closure.md
working-tree	M	docs/plans/2026-06-05-slate-v2-full-confidence-automation-backlog.md
working-tree	M	docs/plans/2026-06-05-slate-v2-huge-doc-native-shift-down-parity.md
working-tree	M	docs/plans/2026-06-05-slate-v2-huge-doc-staged-selection-regression-new-video.md
working-tree	M	docs/plans/2026-06-05-slate-v2-huge-doc-vertical-shiftdown-closure.md
working-tree	M	docs/plans/2026-06-05-slate-v2-huge-doc-visible-shift-selection-latency.md
working-tree	M	docs/plans/2026-06-05-slate-v2-one-hour-continuation.md
working-tree	M	docs/plans/2026-06-05-slate-v2-two-hour-backlog-continuation.md
working-tree	M	docs/plans/2026-06-05-slate-v2-two-hour-staged-full-dom-experiments.md
working-tree	M	docs/plans/2026-06-05-staged-huge-document-selection-delete-stability.md
working-tree	M	docs/plans/2026-06-06-huge-document-all-lanes.md
working-tree	M	docs/plans/2026-06-06-perfect-slate-v2-autodidact-loop.md
working-tree	M	docs/plans/2026-06-06-slate-v2-scrollbar-behavior.md
working-tree	M	docs/plans/2026-06-07-slate-v2-8h-supervision.md
working-tree	M	docs/plans/2026-06-07-slate-v2-eight-hour-automation.md
working-tree	M	docs/plans/2026-06-09-yjs-package-architecture-cleanliness-5h.md
working-tree	M	docs/plans/2026-06-10-slate-v2-8h-automation.md
working-tree	M	docs/plans/2026-06-11-slate-v2-8h-automation.md
working-tree	M	docs/plans/2026-06-11-slate-v2-cleanup-8h.md
working-tree	M	docs/plans/2026-06-11-yjs-cleanup-8h-continuation.md
working-tree	M	docs/plans/2026-06-11-yjs-cleanup-8h.md
