source	categories	file	line	text
working-tree	vision,supervisor,api_dx,maintainer,proof	.agents/AGENTS.md	52	- `vision` to route agents to root `VISION.md` for unified Plate/Slate taste, public API doctrine, Slate-vs-Plate boundaries, proof standards, checkpoint-zero routing, and autonomous maintainer-fit decisions
working-tree	vision,supervisor,api_dx,research	.agents/AGENTS.md	53	- `sync-vision` for incremental `VISION.md` syncing from changed human/agent inputs, plans, docs, rules, research, and sync artifacts since the last recorded commit baseline; it updates or reaffirms reusable taste without rescanning the whole repo every run
working-tree	maintainer	.agents/AGENTS.md	54	- `openclaw-sync` for comparing latest local OpenClaw agent setup against this repo. It may update existing skills/rules or create a new skill only after the source row is read, the reusable invariant is named, no current owner fits, and product-specific OpenClaw plumbing is rejected.
working-tree	maintainer	.agents/AGENTS.md	55	- `clawsweeper` for Slate issue-ledger triage, duplicate/stale/invalid classification, small high-confidence issue processing, and exact claim sync
working-tree	api_dx,proof	.agents/AGENTS.md	61	- `slate-migration` for autonomous Slate v2 migration closure: Plate-to-Slate-v2 migration loops, stale Slate API audits, migration-guide repair, changeset repair, package/docs/examples/tests proof, and migration workflow self-repair
working-tree	vision	.agents/rules/continue.mdc	224	- the earliest progress gate for the vision claim
working-tree	vision	.agents/rules/plate-plugin-creator.mdc	11	surface, read [vision](../vision/SKILL.md) first. This skill is the
working-tree	vision	.agents/rules/plate-plugin-creator.mdc	19	## Vision Gate
working-tree	vision	.agents/rules/plate-plugin-creator.mdc	25	[vision](../vision/SKILL.md) first. Then include:
working-tree	vision	.agents/rules/plate-plugin-creator.mdc	26	- `VISION.md updated`
working-tree	vision	.agents/rules/plate-plugin-creator.mdc	27	- or `VISION.md reaffirmed: <section-name>`
working-tree	vision,api_dx	.agents/rules/plate-plugin-creator.mdc	34	| `vision` | doctrine, API shape, runtime boundaries, perf law |
working-tree	vision	.agents/rules/plate-plugin-creator.mdc	37	Do not restate long-form `vision` law, precedence, or anti-pattern prose
working-tree	vision	.agents/rules/plate-plugin-creator.mdc	41	Derived checklist from `vision`:
working-tree	vision,editor_behavior,proof	.agents/rules/slate-auto.mdc	124	from `vision`, the active plan, current repo evidence, Browser
working-tree	vision,api_dx	.agents/rules/slate-auto.mdc	175	- root `VISION.md` read/update state;
working-tree	vision,editor_behavior,proof	.agents/rules/slate-auto.mdc	215	Browser proof, benchmark evidence, or `vision`.
working-tree	vision,supervisor	.agents/rules/slate-auto.mdc	224	the `vision` skill as checkpoint zero, then read the active goal
working-tree	vision,api_dx	.agents/rules/slate-auto.mdc	225	plan and latest user request. If root `VISION.md` is missing or stale
working-tree	vision	.agents/rules/slate-auto.mdc	228	depends on user taste that `vision` does not cover. Record the
working-tree	vision,api_dx	.agents/rules/slate-auto.mdc	230	the answer is genuinely missing, then patch root `VISION.md` from the
working-tree	vision,supervisor	.agents/rules/slate-auto.mdc	350	1. reread `vision`, the active goal plan, and the latest handoff rows;
working-tree	research	.agents/rules/slate-auto.mdc	623	- when running packed/external-consumer package smoke, start from the live
working-tree	api_dx,proof	.agents/rules/slate-auto.mdc	625	`packages/slate/test/public-package-import-smoke.test.ts` and
working-tree	api_dx,proof	.agents/rules/slate-auto.mdc	626	`packages/slate/test/public-package-types-smoke.ts`. Do not invent public
working-tree	api_dx	.agents/rules/slate-auto.mdc	628	doing only tiny value references unless the package docs/source were just
working-tree	research	.agents/rules/slate-auto.mdc	630	- split external consumer type smoke by claim width. App-facing Slate packages
working-tree	editor_behavior,proof	.agents/rules/slate-auto.mdc	631	should compile with strict Slate declaration checking. `slate-browser`
working-tree	proof	.agents/rules/slate-auto.mdc	634	result. Record the split as proof scope, not as a product exemption;
working-tree	api_dx,proof	.agents/rules/slate-auto.mdc	643	- do not claim a root package test directory proved anything until its output
working-tree	api_dx,proof	.agents/rules/slate-auto.mdc	645	`*.test.*` by default, so root aggregate package tests must use
working-tree	proof	.agents/rules/slate-auto.mdc	646	`--path-ignore-patterns ''` when they intentionally cover `.test.*` contracts.
working-tree	editor_behavior,proof	.agents/rules/slate-auto.mdc	647	Package-local scripts such as `bun --filter slate-browser test:core` are also
working-tree	api_dx	.agents/rules/slate-auto.mdc	648	valid because they run under the package owner instead of the root ignore;
working-tree	supervisor	.agents/rules/slate-auto.mdc	677	by a broad noisy rerun is a supervisor bug, not harmless friction;
working-tree	vision,supervisor	.agents/rules/slate-auto.mdc	783	`vision` is the supervisor's taste profile. If the loop reaches a
working-tree	vision	.agents/rules/slate-auto.mdc	794	- owner: `vision`, another `.agents/rules/**` file, or non-reusable
working-tree	vision,api_dx,proof	.agents/rules/slate-auto.mdc	799	patch root `VISION.md`, verify the `vision` skill still routes there, and then
working-tree	vision	.agents/rules/slate-auto.mdc	848	`vision`, and resume the highest-value queued owner first.
working-tree	vision	.agents/rules/slate-auto.mdc	988	`vision` before resuming when the answer is reusable;
working-tree	vision,api_dx	.agents/rules/slate-auto.mdc	1213	in the plan, capture the user's answer, and patch root `VISION.md` when
working-tree	vision	.agents/rules/slate-auto.mdc	1239	- read the `vision` skill first;
working-tree	vision,supervisor,api_dx	.agents/rules/slate-auto.mdc	1246	At every stop or handoff, compare the reason against root `VISION.md`. If the
working-tree	vision	.agents/rules/slate-auto.mdc	1247	user's preference is missing and reusable, update `VISION.md` before
working-tree	vision	.agents/rules/slate-auto.mdc	1253	- `VISION.md` for reusable user taste, correction patterns, and
working-tree	vision	.agents/rules/slate-auto.mdc	1273	For "think like me" work, create or update compact `VISION.md` rules only after
working-tree	vision	.agents/rules/slate-auto.mdc	1275	skill. The skill should route to `VISION.md`, not carry doctrine in its own
working-tree	vision,api_dx	.agents/rules/slate-auto.mdc	1278	When the task is to improve root `VISION.md` itself, use numbered
working-tree	vision	.agents/rules/slate-auto.mdc	1296	- `vision` does not cover a taste or risk-tolerance decision needed
working-tree	vision	.agents/rules/slate-auto.mdc	1318	`vision` from the user's answer before more implementation.
working-tree	supervisor,api_dx,proof	.agents/rules/slate-migration.mdc	2	description: 'Slate v2 migration supervisor. Use for autonomous Slate/Plate migration work: Plate to Slate v2 migrations, API maps, stale Slate API removal, docs migration-guide repair, changeset repair, migration tests, examples, package DX proof, and self-repair of the migration workflow when gaps are found.'
working-tree	supervisor,api_dx	.agents/rules/slate-migration.mdc	3	argument-hint: <migration surface/objective> [full-loop | timed 1h|2h|overnight | batch-loop | repair <gap>]
working-tree	api_dx	.agents/rules/slate-migration.mdc	7	# Slate Migration
working-tree	supervisor,api_dx	.agents/rules/slate-migration.mdc	11	Use this when the user wants a full autonomous migration loop for Slate v2,
working-tree	api_dx	.agents/rules/slate-migration.mdc	12	especially when migrating Plate code, examples, docs, tests, public APIs, or
working-tree	supervisor,api_dx	.agents/rules/slate-migration.mdc	15	This is the migration lane. `slate-auto` supervises broad quality/perf loops;
working-tree	api_dx	.agents/rules/slate-migration.mdc	16	`slate-migration` owns migration closure: API mapping, stale symbol removal,
working-tree	api_dx,proof	.agents/rules/slate-migration.mdc	17	guide updates, changeset truth, package proof, examples, docs, and missed
working-tree	api_dx	.agents/rules/slate-migration.mdc	18	migration workflow repair.
working-tree	api_dx	.agents/rules/slate-migration.mdc	22	A migration is not done when code compiles.
working-tree	api_dx	.agents/rules/slate-migration.mdc	24	A migration is done when:
working-tree	api_dx	.agents/rules/slate-migration.mdc	27	inventory -> API map -> migrate one owner -> prove behavior/types/docs
working-tree	api_dx	.agents/rules/slate-migration.mdc	31	Every discovered migration gap updates the durable owner:
working-tree	proof	.agents/rules/slate-migration.mdc	34	- tests/oracles when proof is missing;
working-tree	api_dx	.agents/rules/slate-migration.mdc	35	- migration guide when users need a documented step;
working-tree	api_dx	.agents/rules/slate-migration.mdc	36	- changesets when package users need release-facing migration info;
working-tree	vision	.agents/rules/slate-migration.mdc	37	- `vision` when the gap is reusable taste;
working-tree	supervisor,api_dx	.agents/rules/slate-migration.mdc	38	- `.agents/rules/slate-migration.mdc` or its template when the loop missed a
working-tree	api_dx	.agents/rules/slate-migration.mdc	43	- The user invokes `slate-migration`.
working-tree	api_dx	.agents/rules/slate-migration.mdc	45	- Slate v2 migration docs or changesets are missing, stale, incomplete, or too
working-tree	api_dx	.agents/rules/slate-migration.mdc	47	- Public API removals, alias cuts, package moves, root/value shape changes,
working-tree	api_dx	.agents/rules/slate-migration.mdc	49	source-backed migration path.
working-tree	supervisor	.agents/rules/slate-migration.mdc	51	list/review-attention handoff.
working-tree	api_dx	.agents/rules/slate-migration.mdc	52	- A prior migration pass found a missing guide row, missing changeset, weak
working-tree	proof	.agents/rules/slate-migration.mdc	53	stale-symbol audit, or fake compile-only proof.
working-tree	api_dx	.agents/rules/slate-migration.mdc	58	- The user asks one architecture/API decision before migration: use
working-tree	api_dx	.agents/rules/slate-migration.mdc	60	- The user asks broad behavior/perf automation unrelated to migration closure:
working-tree	supervisor	.agents/rules/slate-migration.mdc	61	use `slate-auto`.
working-tree	api_dx	.agents/rules/slate-migration.mdc	64	- The work is only a docs page unrelated to migration: use `docs-creator`.
working-tree	supervisor	.agents/rules/slate-migration.mdc	68	Use the same mode semantics as `slate-auto`.
working-tree	supervisor	.agents/rules/slate-migration.mdc	70	- **Full-loop mode:** default when no duration is given. Run one complete
working-tree	supervisor,api_dx	.agents/rules/slate-migration.mdc	71	migration loop until a real stopping checkpoint or completion threshold.
working-tree	supervisor	.agents/rules/slate-migration.mdc	72	- **Timed mode:** when the user says `1h`, `2h`, `overnight`, or similar. Treat
working-tree	api_dx	.agents/rules/slate-migration.mdc	74	migration packet closed; switch to the next migration owner or supervision
working-tree	supervisor	.agents/rules/slate-migration.mdc	76	- **Batch-loop mode:** stack soft stopping checkpoints and continue through
working-tree	api_dx	.agents/rules/slate-migration.mdc	77	safe migration owners.
working-tree	api_dx	.agents/rules/slate-migration.mdc	79	migration workflow source owner so future runs catch the gap.
working-tree	supervisor,api_dx	.agents/rules/slate-migration.mdc	83	Use `autogoal` for non-trivial migration work.
working-tree	api_dx	.agents/rules/slate-migration.mdc	88	Migrate <surface> to Slate v2; done when API map, source/docs/changesets/tests,
working-tree	api_dx	.agents/rules/slate-migration.mdc	89	stale-symbol audit, and review gates pass; plan docs/plans/<path>.md.
working-tree	supervisor	.agents/rules/slate-migration.mdc	95	node .agents/skills/autogoal/scripts/create-goal-scratchpad.mjs \
working-tree	api_dx	.agents/rules/slate-migration.mdc	96	--template slate-migration \
working-tree	api_dx	.agents/rules/slate-migration.mdc	102	- `--with docs` for docs-heavy migration authoring;
working-tree	api_dx	.agents/rules/slate-migration.mdc	103	- `--with package-api` for public exports/package boundary changes;
working-tree	editor_behavior,proof	.agents/rules/slate-migration.mdc	104	- `--with browser` for examples or editor behavior routes;
working-tree	editor_behavior,api_dx	.agents/rules/slate-migration.mdc	105	- `--with agent-native` when the migration workflow skill/template changes.
working-tree	supervisor	.agents/rules/slate-migration.mdc	107	The first checkpoint must copy every explicit prompt requirement into the plan:
working-tree	proof	.agents/rules/slate-migration.mdc	108	scope, owners, non-goals, timing, stop rules, deliverables, verification,
working-tree	supervisor,api_dx	.agents/rules/slate-migration.mdc	109	changeset expectations, migration-guide expectations, and final handoff shape.
working-tree	api_dx	.agents/rules/slate-migration.mdc	113	For every migration run, read the smallest set that owns the current decision:
working-tree	vision	.agents/rules/slate-migration.mdc	116	- `vision`;
working-tree	api_dx	.agents/rules/slate-migration.mdc	117	- `.tmp/slate-v2/docs/migration/slate-v2.md`;
working-tree	api_dx	.agents/rules/slate-migration.mdc	118	- current Slate v2 public source under `.tmp/slate-v2/packages/**`;
working-tree	api_dx	.agents/rules/slate-migration.mdc	119	- target Plate package/example/docs owners under `packages/**`, `apps/**`,
working-tree	api_dx	.agents/rules/slate-migration.mdc	120	`docs/**`, or the named surface;
working-tree	api_dx	.agents/rules/slate-migration.mdc	122	- `.agents/rules/docs-creator.mdc` before repairing user-facing docs;
working-tree	research	.agents/rules/slate-migration.mdc	123	- relevant previous plans/research only when they are named or directly
working-tree	api_dx	.agents/rules/slate-migration.mdc	126	Current source beats memory, stale plans, generated docs, and old migration
working-tree	api_dx	.agents/rules/slate-migration.mdc	129	## Migration Checkpoints
working-tree	supervisor	.agents/rules/slate-migration.mdc	131	Each loop has one owner and one packet decision.
working-tree	api_dx	.agents/rules/slate-migration.mdc	133	1. **Inventory:** list packages, imports, docs, examples, tests, and changesets
working-tree	api_dx	.agents/rules/slate-migration.mdc	135	2. **API map:** map old symbols and public behavior to current Slate v2 source.
working-tree	api_dx	.agents/rules/slate-migration.mdc	136	3. **Stale-symbol audit:** scan target owners for old Slate API, alias,
working-tree	api_dx	.agents/rules/slate-migration.mdc	137	package, value-shape, root, hook, history, transform, and DOM/React patterns.
working-tree	editor_behavior,proof	.agents/rules/slate-migration.mdc	139	5. **Behavior/type proof:** run the narrow package, typecheck, test, Browser, or
working-tree	proof	.agents/rules/slate-migration.mdc	140	example proof that owns the migrated surface.
working-tree	api_dx	.agents/rules/slate-migration.mdc	141	6. **Guide repair:** update the migration guide when a user-facing migration step
working-tree	api_dx	.agents/rules/slate-migration.mdc	144	release-facing migration info. Use the `changeset` skill. Do not write
working-tree	api_dx	.agents/rules/slate-migration.mdc	145	changesets for docs-only, skill-only, or internal-only work.
working-tree	api_dx	.agents/rules/slate-migration.mdc	146	8. **Docs/API sync:** make current docs describe only the latest supported API,
working-tree	api_dx	.agents/rules/slate-migration.mdc	147	while migration docs may use before/after examples.
working-tree	supervisor,api_dx	.agents/rules/slate-migration.mdc	149	the migration loop missed a recurring checkpoint.
working-tree	supervisor	.agents/rules/slate-migration.mdc	150	10. **Review handoff:** update changed list, review-attention list, queued stop
working-tree	maintainer	.agents/rules/slate-migration.mdc	153	## Packet Ledger
working-tree	api_dx	.agents/rules/slate-migration.mdc	155	Every migration packet records:
working-tree	api_dx,proof	.agents/rules/slate-migration.mdc	157	- owner package/docs/example/test;
working-tree	api_dx	.agents/rules/slate-migration.mdc	158	- old API or gap signature;
working-tree	api_dx	.agents/rules/slate-migration.mdc	159	- current Slate v2 target API;
working-tree	proof	.agents/rules/slate-migration.mdc	163	- proof command and result;
working-tree	api_dx,proof	.agents/rules/slate-migration.mdc	167	Do not call a migration packet done with compile-only proof when the surface is
working-tree	editor_behavior,proof	.agents/rules/slate-migration.mdc	168	browser-visible or user-facing.
working-tree	api_dx	.agents/rules/slate-migration.mdc	170	## Migration Guide Repair
working-tree	api_dx	.agents/rules/slate-migration.mdc	172	Repair `.tmp/slate-v2/docs/migration/slate-v2.md` whenever a migration packet
working-tree	api_dx	.agents/rules/slate-migration.mdc	175	- a missing old-to-v2 API map;
working-tree	api_dx	.agents/rules/slate-migration.mdc	176	- a value/roots/state shape that users must understand;
working-tree	api_dx	.agents/rules/slate-migration.mdc	177	- a hook/render/event/DOM/history/hyperscript migration step;
working-tree	api_dx	.agents/rules/slate-migration.mdc	178	- a stale target API or fake alias;
working-tree	api_dx	.agents/rules/slate-migration.mdc	179	- a docs example that would not compile against current public exports;
working-tree	api_dx	.agents/rules/slate-migration.mdc	180	- a repeated Plate migration question that belongs in the guide.
working-tree	api_dx	.agents/rules/slate-migration.mdc	182	Migration docs can use before/after language. Normal latest-state docs should
working-tree	api_dx	.agents/rules/slate-migration.mdc	187	Changesets are migration truth for package consumers.
working-tree	api_dx	.agents/rules/slate-migration.mdc	193	- include migration steps only when users must change code;
working-tree	api_dx	.agents/rules/slate-migration.mdc	197	- do not write a changeset for docs-only, skill-only, template-only, or
working-tree	api_dx	.agents/rules/slate-migration.mdc	198	internal-only migration packets;
working-tree	maintainer	.agents/rules/slate-migration.mdc	200	reason in the packet ledger.
working-tree	supervisor	.agents/rules/slate-migration.mdc	202	If a changeset is incomplete, repair it before final handoff. If the right
working-tree	supervisor	.agents/rules/slate-migration.mdc	203	changeset depends on a user-only release decision, queue a stopping checkpoint.
working-tree	api_dx	.agents/rules/slate-migration.mdc	205	## Plate To Slate v2 Migration
working-tree	api_dx	.agents/rules/slate-migration.mdc	207	For Plate migration runs:
working-tree	api_dx	.agents/rules/slate-migration.mdc	209	- treat Plate packages, examples, docs, and tests as the target surface;
working-tree	api_dx	.agents/rules/slate-migration.mdc	212	- remove stale compat aliases instead of preserving bad API shape;
working-tree	api_dx	.agents/rules/slate-migration.mdc	213	- keep Plate docs latest-state except for explicit migration docs;
working-tree	supervisor,api_dx	.agents/rules/slate-migration.mdc	216	- update migration guide and changesets during the loop, not as afterthoughts.
working-tree	supervisor,api_dx	.agents/rules/slate-migration.mdc	220	If the migration loop misses a recurring expectation, patch the owner:
working-tree	supervisor,api_dx	.agents/rules/slate-migration.mdc	222	- missing migration guide checkpoint -> `.agents/rules/slate-migration.mdc` or
working-tree	api_dx	.agents/rules/slate-migration.mdc	223	`docs/plans/templates/slate-migration.md`;
working-tree	proof	.agents/rules/slate-migration.mdc	227	- weak proof command -> this skill or the owning package script;
working-tree	vision	.agents/rules/slate-migration.mdc	228	- stale taste rule -> `vision`;
working-tree	supervisor	.agents/rules/slate-migration.mdc	229	- generic goal lifecycle miss -> `autogoal repair`.
working-tree	proof	.agents/rules/slate-migration.mdc	231	After changing `.agents/rules/**`, run `pnpm install`, verify generated
