source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key
CodeMirror domobserver Android note	github/codemirror/view	source	../codemirror-view/src/domobserver.ts	288-322	Understand beforeinput handling boundaries.	CodeMirror treats beforeinput as a platform signal and separates platform delay policy from normal selection reading.	beforeinput-target-range:event-owned-selection-import
CodeMirror shadow target range	github/codemirror/view	source	../codemirror-view/src/domobserver.ts	500-518	Check target range use outside ordinary live selection.	Target range can be used as event-owned selection access when regular shadow-root selection is unreliable.	beforeinput-target-range:shadow-selection-access
CodeMirror replacement text	github/codemirror/view	source	../codemirror-view/src/input.ts	854-870	Check direct beforeinput range-to-model mapping.	Replacement text uses `event.getTargetRanges()` and maps StaticRange DOM endpoints to document positions.	beforeinput-target-range:event-owned-selection-import
Lexical target range getter	github/facebook/lexical	source	../lexical/packages/lexical/src/LexicalEvents.ts	578-587	Check target range read contract.	Lexical reads only available target ranges and treats empty ranges as absent.	beforeinput-target-range:event-owned-selection-import
Lexical beforeinput handler	github/facebook/lexical	source	../lexical/packages/lexical/src/LexicalEvents.ts	654-767	Check whether target range can update model selection under beforeinput.	Lexical applies a non-null target range to its range selection before handling insert text.	beforeinput-target-range:event-owned-selection-import
Lexical DOM range mapping	github/facebook/lexical	source	../lexical/packages/lexical/src/LexicalSelection.ts	648-680	Check model-selection mapping from StaticRange.	`applyDOMRange` resolves StaticRange endpoints into Lexical selection points and normalizes them.	beforeinput-target-range:event-owned-selection-import
Lexical target range mismatch guard	github/facebook/lexical	source	../lexical/packages/lexical/src/LexicalEvents.ts	230-266	Check live DOM selection vs target-range distinction.	Lexical treats target range mismatch from DOM selection as a separate condition, not as proof the event range is worthless.	beforeinput-target-range:event-owned-selection-import
Lexical environment feature gate	github/facebook/lexical	source	../lexical/packages/shared/src/environment.ts	30-33	Check getTargetRanges feature detection.	Lexical gates beforeinput support on `getTargetRanges` availability.	beforeinput-target-range:event-owned-selection-import
ProseMirror narrow scan	github/prosemirror/prosemirror	source	../prosemirror	rg no hit	Check if local ProseMirror source directly uses beforeinput target ranges.	No direct local hit for this narrow policy; no lead.	
Tiptap narrow scan	github/ueberdosis/tiptap	source	../tiptap	rg no hit	Check if local Tiptap source directly uses beforeinput target ranges.	No direct local hit for this narrow policy; no lead.	
Slate runtime mapping	local/slate-v2	source	.tmp/slate-v2/packages/slate-react/src/editable/runtime-before-input-events.ts	170-177	Map research to kept Slate patch.	Slate now allows explicit target-range import separately from live DOM selection policy.	beforeinput-target-range:event-owned-selection-import
Slate target-range owner guard	local/slate-v2	source	.tmp/slate-v2/packages/slate-react/src/editable/selection-reconciler.ts	941-978	Map safety guard.	Target ranges still require editor ownership and stale collapsed insert guards.	beforeinput-target-range:event-owned-selection-import
Slate contract	local/slate-v2	test	.tmp/slate-v2/packages/slate-react/test/runtime-before-input-events-contract.test.ts	185-210	Map proof command.	Contract locks target ranges importing under model-owned live selection policy.	beforeinput-target-range:event-owned-selection-import
