lead_key	repo_key	source_ref	topic	claim	evidence_grade	novelty	applicability	proofability	risk	proof_owner	next_action	status
base-tree:type-children-text:source-model	github.com/ianstormtaylor/slate	../slate-official/packages/slate/src/interfaces/element.ts:17	base-tree	Keep element type plus children and untyped text leaves; Plate already adds the missing schema compiler	A	0	3	3	0	best-api	keep-local	kept
properties:flat-schema-owned-fields:source-model	github.com/facebook/lexical	../lexical/packages/lexical/src/LexicalNode.ts:91	properties	Keep flat schema-owned fields; attrs/props/data bags add ceremony without stronger Plate ownership	A	1	3	3	1	best-api	keep-local	kept
text-marks:leaf-properties:source-model	github.com/ianstormtaylor/slate	../slate-official/packages/slate/src/interfaces/text.ts:11	text-marks	Keep text leaf properties instead of MDAST wrappers, Portable Text markDefs, or Lexical bitmasks	A	0	3	3	0	best-api	keep-local	kept
heading:one-type-level:source-model	github.com/prosemirror/prosemirror-model	../prosemirror-schema-basic/src/schema-basic.ts:39	heading	Replace six h1-h6 persisted/plugin identities with heading plus level 1-6	A	1	3	3	1	best-api	promote-plan	promoted
code:language-field:source-model	github.com/typecellos/blocknote	../BlockNote/packages/core/src/blocks/Code/block.ts:12	code	Keep editable codeBlock/codeLine but rename persisted lang to language	A	1	3	3	1	best-api	promote-plan	promoted
lists:flat-annotations:source-model	github.com/portabletext/portabletext	../portabletext-spec/README.md:98	lists	Keep flat list annotations; no nested-list donor beats Plate for its current editing model	A	1	3	2	1	best-api	keep-local	kept
media:direct-caption-intrinsic-dimensions:source-model	github.com/facebook/lexical	../lexical/packages/lexical-playground/src/nodes/ImageNode.tsx:114	media	Keep captions as editable children; initialWidth/initialHeight remain semantically suspicious	A	1	2	2	2	best-api	defer-owner-audit	deferred
table:semantic-field-names:source-model	github.com/facebook/lexical	../lexical/packages/lexical-table/src/LexicalTableCellNode.ts:43	table	Keep table-row-cell structure but replace colSizes/background/overloaded size/border size with semantic names	A	1	3	3	1	best-api	promote-plan	promoted
identity:document-version-not-node-version:source-model	github.com/facebook/lexical	../lexical/packages/lexical/src/LexicalNode.ts:91	identity	Keep optional persisted element IDs and document-level schema lineage; reject required IDs and per-node versions	A	1	3	3	0	best-api	keep-local	kept
copy-no-standard:hybrid-owner:source-model	github.com/syntax-tree/mdast	../mdast/readme.md:100	architecture	Copy no complete standard; use MDAST only for Markdown interchange and source individual semantic improvements	A	1	3	3	0	best-api	publish-verdict	promoted
slate-unist:text-value-type:proposal	github.com/ianstormtaylor/slate	https://github.com/ianstormtaylor/slate/issues/4378	standard-proposal	Slate proposed text-to-value plus typed text for UNIST compatibility; proposal remains open and unlanded	B	2	2	3	2	best-api	reject-canonical-change	rejected
slate-mdast:nested-mark-nodes:proposal	github.com/ianstormtaylor/slate	https://github.com/ianstormtaylor/slate/issues/1486	standard-proposal	Slate explicitly considered MDAST-style nested mark nodes and chose self-contained split text leaves instead	B	1	3	3	0	best-api	reaffirm-leaf-properties	kept
slate-portabletext:native-value:proposal	github.com/ianstormtaylor/slate	https://github.com/ianstormtaylor/slate/issues/3482	standard-proposal	A Slate user replaced marks with Portable Text but could not satisfy void/selection children invariants	B	1	3	3	1	best-api	reject-native-portabletext	rejected
slate-mime:fragment-content-type:proposal	github.com/ianstormtaylor/slate	https://github.com/ianstormtaylor/slate/issues/1024	interchange-proposal	Slate proposed MIME/contentType identity for cross-schema clipboard fragments; it never became a document standard	B	2	3	2	1	best-api	compare-schema-envelope	kept
block-protocol:embedding-not-ast:protocol	github.com/blockprotocol/blockprotocol	../blockprotocol/rfcs/text/0430-hook-module.md:13	block-protocol	Block Protocol standardizes block/embedder communication and deliberately delegates rich-text data to the host	A	2	2	3	0	best-api	keep-outside-ast	kept
mobiledoc:versioned-flat-document:format	github.com/bustlelabs/mobiledoc-kit	../mobiledoc-kit/MOBILEDOC.md:1	document-format	Mobiledoc is a real platform-agnostic versioned article format but its indexed arrays and flat sections trade away recursive editor structure	A	1	2	3	1	best-api	reject-canonical-adoption	rejected
vendor-asts:adf-contentful:format	github.com/contentful/rich-text	../contentful-rich-text/packages/rich-text-types/src/types.ts:1	document-format	ADF and Contentful are maintained typed JSON ASTs but are vendor schemas, not extensible cross-editor standards	A	1	2	3	1	best-api	adapter-only	kept
conversion-asts:myst-pandoc:format	github.com/jgm/pandoc	https://pandoc.org/using-the-pandoc-api.html	conversion-ast	MyST and Pandoc standardize conversion/rendering IRs, not live editor invariants	B	1	2	3	1	best-api	codec-reference	kept
annotation-collab:webannotation-peritext:model	external/w3c-inkandswitch	https://www.w3.org/TR/annotation-model/	adjacent-standard	Web Annotation standardizes annotations and Peritext concurrent marks; neither specifies a block AST	B	1	2	2	1	best-api	adjacent-reference	kept
no-universal-rich-ast:taxonomy:decision	github.com/portabletext/portabletext	docs/plite/research/2026-08-17-editor-node-model-standards/shards/002-standards-proposals.md	architecture	No maintained standard combines syntax AST, extensible rich-text editor tree, block embedding, and collaboration	A	2	3	3	0	best-api	reaffirm-hybrid	promoted
