query_key	surface	query	filters	result_count	sampled_count	new_repo_keys	new_lead_keys	next_query	scope_id	review_id	source_revision	source_fingerprint	checked_at
history	local-ledger	review-ledger lookup annotations	canonical records and decisions	1 scope	all records	none	reconciliation inputs	complete	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
local-source	local-rg	anchor annotation decoration comments exact view	owning source and tests	many	bounded decisive files	github.com/udecode/plate	all local leads	complete	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
prosemirror-source	local-source	DecorationSet map forChild SelectionBookmark	current split repositories	many	5 files	pm-state;pm-view	collection mapping	complete	annotations	2026-09-21-annotations-oss-validation	ca4c78e9b56f1b164c0b3758b59d8748f11b7534	ca4c78e9b56f1b164c0b3758b59d8748f11b7534	2026-09-21
lexical-source	local-source	MarkNode CommentsPlugin dirty node update	origin/main decisive files	many	4 files	lexical	document attachment alternative	complete	annotations	2026-09-21-annotations-oss-validation	83e8b4925c6c4f5ecb884036bdfaa2c1a0bb2349	83e8b4925c6c4f5ecb884036bdfaa2c1a0bb2349	2026-09-21
codemirror-source	local-source	RangeSet Decoration view plugin viewport	current state/view repositories	many	6 files	cm-state;cm-view	collection kernel;viewport paint	complete	annotations	2026-09-21-annotations-oss-validation	9c801279cb83011e6f92af778f4443406e8f1200	9c801279cb83011e6f92af778f4443406e8f1200	2026-09-21
monaco-source	local-source	deltaDecorations intervalTree ownerId viewport	Monaco delegated VS Code pin	many	7 files	monaco;vscode	interval kernel;multi-view	complete	annotations	2026-09-21-annotations-oss-validation	f487add297079a02eb836810185b165e50cadabc	f487add297079a02eb836810185b165e50cadabc	2026-09-21
yjs-source	local-source	RelativePosition renderer batch positions undo	origin/main current files and tests	many	6 files	yjs	CRDT semantics;batch resolution	complete	annotations	2026-09-21-annotations-oss-validation	96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64	96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64	2026-09-21
automerge-source	local-source	Cursor MoveCursor marks deletion	origin/main current files and tests	many	5 files	automerge	CRDT semantics;marks alternative	complete	annotations	2026-09-21-annotations-oss-validation	4d2a8f6bfecfb7f1e4fca126e6d2122ac526f903	4d2a8f6bfecfb7f1e4fca126e6d2122ac526f903	2026-09-21
flat-and-product-boundaries	local-source+official-docs	Quill delta positions; Tiptap Comments threads and inlineThread	bounded counterexamples	many	6 sources	quill;tiptap-comments-docs	rejection boundaries	complete	annotations	2026-09-21-annotations-oss-validation	mixed	mixed	2026-09-21
official-docs	web	; CodeMirror RangeSet; Yjs RelativePosition; Tiptap Comments	official domains only	many	15 pages	none	source corroboration	complete	annotations	2026-09-21-annotations-oss-validation	web-current-2026-09-21	official-docs-2026-09-21	2026-09-21
