source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key
working source:packages/platejs/src/features/suggestion/lib/BaseSuggestionPlugin.ts	local/plate-2	local source	/Users/zbeyens/git/plate-2/packages/platejs/src/features/suggestion/lib/BaseSuggestionPlugin.ts	1-250; 1380-1719; 1780-2117	Current mutation owner	Serialized marks; command interception; whole-node decisions	review:complete-capture:mutation-boundary
working source:packages/platejs/src/features/suggestion/lib/BaseSuggestionPlugin.spec.tsx	local/plate-2	local source	/Users/zbeyens/git/plate-2/packages/platejs/src/features/suggestion/lib/BaseSuggestionPlugin.spec.tsx	1-140	Existing overlap shape	Two insertion IDs can be represented on the same text span	review:dependent-decisions:atomicity
working source:packages/platejs/src/features/suggestion/lib/BaseSuggestionPlugin.reviews.spec.tsx	local/plate-2	local source	/Users/zbeyens/git/plate-2/packages/platejs/src/features/suggestion/lib/BaseSuggestionPlugin.reviews.spec.tsx	1-150	Current ID decision tests	Target ID decisions and history; no dependency receipt	review:dependent-decisions:atomicity
working source:packages/platejs/src/react/features/suggestion/useSuggestionReviews.ts	local/plate-2	local source	/Users/zbeyens/git/plate-2/packages/platejs/src/react/features/suggestion/useSuggestionReviews.ts	1-69	Read invalidation	Reconstruct groups after selected document changes	review:affected-change-locality:scale
working source:packages/platejs/src/react/features/suggestion/SuggestionPlugin.tsx	local/plate-2	local source	/Users/zbeyens/git/plate-2/packages/platejs/src/react/features/suggestion/SuggestionPlugin.tsx	1-8	React entrypoint	React adaptation of BaseSuggestionPlugin	review:complete-capture:mutation-boundary
working source:apps/www/src/registry/components/editor/suggestion.tsx	local/plate-2	local source	/Users/zbeyens/git/plate-2/apps/www/src/registry/components/editor/suggestion.tsx	1-205; 388-470	Real presentation adapter	Semantic review records become block locations and card descriptions	discussion:reference-change-identity:lifetime
working source:apps/www/src/registry/components/editor/discussion.tsx	local/plate-2	local source	/Users/zbeyens/git/plate-2/apps/www/src/registry/components/editor/discussion.tsx	294-364; 402-512	Real combined consumer	Comment records reference suggestion IDs; UI dispatches decisions	discussion:reference-change-identity:lifetime
working source:packages/plitejs/src/interfaces/editor.ts	local/plate-2	local source	/Users/zbeyens/git/plate-2/packages/plitejs/src/interfaces/editor.ts	578-587; 780-825; 3493-3517	Canonical contracts	Typed annotations and DocumentChange commits already exist	revision:authored-canonical-change:identity
working source:packages/plitejs/src/core/public-state.ts	local/plate-2	local source	/Users/zbeyens/git/plate-2/packages/plitejs/src/core/public-state.ts	4539-4571; 4590-4605	Mutation path	Canonical change apply bypasses semantic command interception	review:complete-capture:mutation-boundary
working source:packages/plitejs/src/core/change/document-change.ts	local/plate-2	local source	/Users/zbeyens/git/plate-2/packages/plitejs/src/core/change/document-change.ts	769-790; 974-1047; 1052-1240 symbol inspection	Existing algebra	Pairwise transform, compose, inverse, positions and codec	review:accepted-base-and-pending:projection
working source:packages/plitejs/src/history/history.ts	local/plate-2	local source	/Users/zbeyens/git/plate-2/packages/plitejs/src/history/history.ts	24-68	Undo storage contract	Inverse batches lack retained author journal semantics	revision:retention-separate-from-undo:history
