check	issue	state	relevant	classification	owner	status	reason	local_coverage	local_test	verification_command	last_checked_at	next_action	title	url	provider_updated_at	provider_checked_at	provider_labels	metadata_status
[ ]	1	OPEN	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Dependency Dashboard	https://github.com/prosekit/prosekit/issues/1	2026-09-08T19:20:29Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	42	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	The Ultimate Question of Life, the Universe, and Everything	https://github.com/prosekit/prosekit/issues/42	2023-08-27T16:43:48Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	202	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	tiptap fork ?	https://github.com/prosekit/prosekit/issues/202	2023-12-09T03:18:13Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	293	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Language selector doesn't work with Firefox	https://github.com/prosekit/prosekit/issues/293	2024-01-08T23:47:59Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	294	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Exporting extensions/utils	https://github.com/prosekit/prosekit/issues/294	2024-01-09T16:18:34Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	295	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Draggable placeholder ?	https://github.com/prosekit/prosekit/issues/295	2024-01-08T23:54:10Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	301	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Best way to watch for change, focus and blur ?	https://github.com/prosekit/prosekit/issues/301	2024-01-09T19:35:56Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	313	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Helpers and help	https://github.com/prosekit/prosekit/issues/313	2024-01-11T16:16:30Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	385	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	bump shiki to 1.0.0 in @prosekit/extensions	https://github.com/prosekit/prosekit/issues/385	2024-02-15T10:45:53Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
[ ]	390	CLOSED	unchecked	unchecked	issue-harvester	unchecked	Added by all-state metadata refresh; body, comments and source proof have not been reviewed.					Cluster and inspect the exact issue before deciding local performance or correctness relevance.	Missing enter-rule export	https://github.com/prosekit/prosekit/issues/390	2024-02-16T06:26:11Z	2026-09-09T17:59:27.205228+00:00		new-unchecked
