lead_key	repo_key	source_ref	topic	claim	evidence_grade	novelty	applicability	proof_owner	next_action	status
wpt:beforeinput-target-range-dispatch-snapshot	github/web-platform-tests/wpt	wpt-inputevents-targetranges-dispatch	beforeinput,selection,target-range	Destructive beforeinput should use the event target StaticRange captured at dispatch, not a later live DOM selection that may have moved in another listener.	A	2	3	slate-react	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:block-spanning-delete-target-range	github/web-platform-tests/wpt	wpt-inputevents-delete-list-target-ranges	beforeinput,delete,target-range,block-boundary	List and block-boundary Backspace/Delete target ranges can span rendered text nodes and element endpoints across adjacent items; Slate beforeinput should resolve the event target range before falling back to live selection.	A	2	3	slate-react	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:paste-inputevent-datatransfer-authority	github/web-platform-tests/wpt	wpt-inputevents-cut-paste	beforeinput,input,paste,clipboard,dataTransfer	Contenteditable paste carries clipboard payload through `InputEvent.dataTransfer` while `event.data` is null or textarea-only; Slate insertFromPaste beforeinput must prefer `dataTransfer` over `data`.	A	2	3	slate-react	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:delete-by-cut-drag-beforeinput-command	github/web-platform-tests/wpt	wpt-inputevents-cut-paste	beforeinput,delete,cut,drag,dataTransfer	Browser destructive data-transfer inputTypes such as `deleteByCut` and `deleteByDrag` should delete the selected fragment through the same model-owned beforeinput repair path as other destructive commands.	A	2	3	slate-react	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:exec-command-inputtype-coverage	github/web-platform-tests/wpt	wpt-inputevents-exec-command	beforeinput,input,format,history,paste,command	WPT execCommand rows map browser command inputTypes for format, paste/dataTransfer, cut/delete, and history; Slate's owned surface is command mapping and beforeinput handling, not browser `execCommand` DOM mutation.	A	1	3	slate-react/slate-browser	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:multi-target-range-editing-host-boundary	github/web-platform-tests/wpt	wpt-inputevents-editing-host-boundary-delete	beforeinput,delete,target-range,editing-host,contenteditable	Deleting across editing-host boundaries can expose multiple target ranges for disjoint editable segments; Slate must not collapse those ranges to the first segment during selection reconciliation.	A	3	3	slate-react	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:no-beforeinput-without-selection	github/web-platform-tests/wpt	wpt-no-beforeinput-when-no-selection	beforeinput,selection,no-selection,contenteditable	Browsers should not run insert/delete editing beforeinput when the focused editing host has zero native selection ranges; Slate must ignore synthetic insert/delete beforeinput with `rangeCount` 0 unless the event supplies target ranges, while still exposing app-level format beforeinput.	A	3	3	slate-react/slate-browser	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:plaintext-rich-html-paste-strips-markup	github/web-platform-tests/wpt	wpt-plaintext-only-paste	plaintext,paste,clipboard,html	contenteditable=plaintext-only paste consumes rich HTML clipboard payload as plain text: copied rich tags are not inserted into the editing host while text and selection advance over the serialized plain text.	A	2	3	slate-browser	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:plaintext-delete-boundary-parity	github/web-platform-tests/wpt	wpt-plaintext-only-delete-boundaries	plaintext,delete,target-range,boundary	WPT checks plaintext-only delete around line breaks and structural boundaries against contenteditable=true. The Slate-owned invariant is exact target-range delete resolution and no command/runtime errors, not mirroring browser HTML list/table cleanup.	A	1	3	slate-browser	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:inline-word-delete-wrapper-parity	github/web-platform-tests/wpt	wpt-editing-whitespaces-delete-word-around-span	delete,word-boundary,inline,contenteditable	Word Backspace should produce the same plain-text result whether the surrounding word is wrapped in an inline element or rendered as plain text. Slate maps this to linked inline text matching a native plain contenteditable reference under the same browser key.	A	2	3	slate-browser	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:plaintext-preserved-space-delete-target-range	github/web-platform-tests/wpt	wpt-plaintext-only-delete-part-of-white-spaces	plaintext,delete,target-range,whitespace,pre-wrap	Deleting part of repeated preserved spaces should remove exactly the browser-supplied whitespace target range and leave neighboring text/caret placement stable. Slate maps this to exact `beforeinput` target-range deletion over repeated spaces in plaintext `pre-wrap`.	A	2	3	slate-browser	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:copy-paste-before-non-editable-preserves-siblings	github/web-platform-tests/wpt	wpt-copy-paste-before-non-editable	paste,contenteditable=false,inline-void,selection	Paste into editable text immediately before a non-editable inline must preserve the non-editable node and following content; Slate maps this to read-only inline boundaries.	A	2	3	slate-browser	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:hidden-content-copy-serialization	github/web-platform-tests/wpt	wpt-copy-hidden-non-laid-out-content	copy,paste,hidden-content,clipboard	WPT protects plain-text copy serialization when selected DOM content ends near comments, hidden spans, style/meta/base tags, or inline-styled block descendants. Slate's owned analogue is model-backed copy for hidden/materialized content rather than browser DOM serialization.	A	1	3	slate-browser	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused command before reopening.	kept-existing
wpt:paste-handler-mutated-clipboard-data	github/web-platform-tests/wpt	wpt-paste-clipboard-change	paste,clipboard,app-callback,event-order	If a paste handler changes the paste payload and leaves default paste to continue, the inserted content should reflect the latest event payload. Slate maps this to app `onPaste` mutating `event.clipboardData` while returning false so Slate still owns insertion.	A	2	3	slate-react	Closed by promoted-ledger.tsv (kept); rerun the recorded focused command before reopening.	promoted-kept
wpt:expanded-selection-target-range-shrink	github/web-platform-tests/wpt	wpt-inputevents-targetranges-selection	beforeinput,expanded-selection,cross-block	Expanded contenteditable selections can produce target ranges that shrink to text boundaries or include whitespace-adjusted cross-block joins.	B	1	2	slate-browser/slate-react	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded package/browser target-range commands before reopening.	kept-existing
