lead_key	packet_id	slate_owner	test_or_benchmark	verification_command	decision
wpt:beforeinput-target-range-dispatch-snapshot	wpt-beforeinput-target-range-snapshot	slate-react	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/selection-reconciler-contract.test.tsx:480 `beforeinput uses event target range instead of later live DOM selection`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react && bun test:vitest test/selection-reconciler-contract.test.tsx -- -t "beforeinput uses event target range instead of later live DOM selection"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-react typecheck`	kept
wpt:block-spanning-delete-target-range	wpt-block-spanning-beforeinput-target-range	slate-react	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/selection-reconciler-contract.test.tsx:564 `beforeinput resolves block-spanning element target ranges before live selection fallback`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react && bun test:vitest test/selection-reconciler-contract.test.tsx -- -t "beforeinput resolves block-spanning element target ranges before live selection fallback"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-react typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`	kept
wpt:paste-inputevent-datatransfer-authority	wpt-paste-datatransfer-beforeinput	slate-react	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/editing-kernel-contract.ts:344 `beforeinput insertFromPaste prefers contenteditable dataTransfer over event data`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react && bun test:vitest test/editing-kernel-contract.test.ts -- -t "beforeinput insertFromPaste prefers contenteditable dataTransfer over event data"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-react typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`	kept
wpt:delete-by-cut-drag-beforeinput-command	wpt-delete-by-cut-drag-beforeinput-command	slate-react	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/model-input-strategy-contract.test.ts:782 `deletes the selected fragment from %s beforeinput`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react && bun test:vitest test/model-input-strategy-contract.test.ts -- -t "deletes the selected fragment from"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-react typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`	kept
wpt:exec-command-inputtype-coverage	wpt-exec-command-kept-existing	slate-react/slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/editing-kernel-contract.ts:188 `beforeinput format commands resolve through semantic command definitions`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/editing-kernel-contract.ts:224 `beforeinput and keydown commands resolve through typed definitions`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/editing-kernel-contract.ts:321 `beforeinput data transfer commands preserve the browser payload`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/editing-kernel-contract.ts:344 `beforeinput insertFromPaste prefers contenteditable dataTransfer over event data`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/editable-behavior.tsx:248 `Editable onDOMBeforeInput exposes raw native format input`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/editable-behavior.tsx:290 `Editable onBeforeInput is not replayed from native beforeinput`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/richtext.test.ts:6734 `applies native beforeinput history undo and redo`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react && bun test:vitest test/editing-kernel-contract.test.ts test/editable-behavior.test.tsx -- -t "beforeinput format commands resolve|beforeinput and keydown commands resolve|beforeinput data transfer commands preserve|beforeinput insertFromPaste prefers|Editable onDOMBeforeInput exposes raw native format input|Editable onBeforeInput is not replayed"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "applies native beforeinput history undo and redo"`	kept-existing
wpt:multi-target-range-editing-host-boundary	wpt-multi-target-range-reconciler-guard	slate-react	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/src/editable/selection-reconciler.ts:946; /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/selection-reconciler-contract.test.tsx:714 `beforeinput does not import only the first range from multiple target ranges`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react && bun test:vitest test/selection-reconciler-contract.test.tsx -- -t "beforeinput does not import only the first range from multiple target ranges"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-react typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/synced-blocks.test.ts --project=chromium --grep "(Backspace over a projected Shift\\+Arrow selection removes text across the outer and synced roots|Backspace over a projected selection from a synced body into the owner document deletes without crashing)"`	kept
wpt:no-beforeinput-without-selection	wpt-no-selection-beforeinput-guard	slate-react/slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/src/editable/runtime-before-input-events.ts:158 `shouldIgnoreDOMBeforeInputWithoutSelection`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/runtime-before-input-events-contract.test.ts:145 `beforeinput ignores browser events with no selection and no target ranges`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/richtext.test.ts:1122 `ignores synthetic beforeinput when the browser has no selection ranges`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react && bun test:vitest test/runtime-before-input-events-contract.test.ts -- -t "beforeinput ignores browser events with no selection and no target ranges"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react && bun test:vitest test/editable-behavior.test.tsx -- -t "Editable onDOMBeforeInput exposes raw native format input|Editable onBeforeInput is not replayed from native beforeinput"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun --filter ./packages/slate-react typecheck`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "(inserts text through browser input|ignores synthetic beforeinput when the browser has no selection ranges)"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/richtext.test.ts --project=firefox --project=webkit --grep "ignores synthetic beforeinput when the browser has no selection ranges"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun check`	kept
wpt:plaintext-rich-html-paste-strips-markup	wpt-plaintext-rich-html-paste	slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:532 `strips rich clipboard markup when pasting into plaintext`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "strips rich clipboard markup when pasting into plaintext"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/plaintext.test.ts --project=webkit --grep "strips rich clipboard markup when pasting into plaintext"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`	kept
wpt:plaintext-delete-boundary-parity	wpt-plaintext-delete-existing-proof	slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:1314 `applies deleteSoftLineBackward target ranges exactly`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:1393 `applies deleteWord target ranges over tab whitespace exactly`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:1535 `applies delete target ranges over multi-code-unit graphemes exactly`; /Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:1275 `supports WebKit hard-line backward delete without command errors`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "(deletes the current line backward without touching the previous block|applies deleteSoftLineBackward target ranges exactly|applies deleteWord target ranges over tab whitespace exactly|applies delete target ranges over multi-code-unit graphemes exactly)"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/plaintext.test.ts --project=webkit --grep "supports WebKit hard-line backward delete without command errors"`	kept-existing
wpt:inline-word-delete-wrapper-parity	wpt-inline-word-backspace-reference	slate-browser	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/inlines.test.ts:1578 `word Backspace around an inline link matches plain editable text`	`cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "word Backspace around an inline link matches plain editable text"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/inlines.test.ts --project=webkit --grep "word Backspace around an inline link matches plain editable text"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun run playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "(word Backspace around an inline link matches plain editable text|Backspace at an inline link end deletes one character|Backspace deletes selected inline link boundary text only)"`; `cd /Users/zbeyens/git/plate-2/.tmp/slate-v2 && bun lint:fix`	kept
