repo_key	url	host	license	stars_or_signal	last_activity	topic_tags	local_path	status	score	notes
github.com/gumtreediff/gumtree	https://github.com/GumTreeDiff/gumtree	github.com	LGPL-3.0	1334	2026-09-08T18:33:09Z	structural-matching	/Users/zbeyens/git/gumtree	focused source inspected	N/A lead scores only	ref=dc2088281765e456b3574d230881c5a25ff93481; inspected files match HEAD; Separate matching and edit-action synthesis; one-to-one node maps do not supply general span continuity.
github.com/wilfred/difftastic	https://github.com/Wilfred/difftastic	github.com	MIT	25877	2026-09-08T08:52:10Z	syntax-and-presentation	/Users/zbeyens/git/difftastic	focused source inspected	N/A lead scores only	ref=274d0a8f57291477cfbfb27bace0d82395d15c97; inspected files match HEAD; Bounded syntax graph and display ambiguity; moved-region issues remain distinct from structural matching.
github.com/benjamine/jsondiffpatch	https://github.com/benjamine/jsondiffpatch	github.com	MIT GitHub metadata; no root license file found	5339	2026-05-14T22:54:47Z	json-moves	/Users/zbeyens/git/jsondiffpatch	focused source inspected	N/A lead scores only	ref=a60db8a232f92ee4b987c14f43f77402885d1a5a; inspected files match HEAD; Object identity enables same-array move plus nested edits; index patching is not baseline validation.
github.com/slab/delta	https://github.com/slab/delta	github.com	BSD-3-Clause	1040	2024-06-17T16:41:35Z	rich-text-algebra	/Users/zbeyens/git/delta	focused source inspected	N/A lead scores only	ref=dc17ca03e1d68ee729c8cd1ff790ebf96eb0fbec; inspected files match HEAD; Rich-text attributes and atom payloads remain distinct from text sentinel alignment.
github.com/prosemirror/prosemirror-changeset	https://github.com/ProseMirror/prosemirror-changeset	github.com	MIT	114	2026-04-01T18:44:11Z	mapped-review	/Users/zbeyens/git/prosemirror-changeset	focused source inspected	N/A lead scores only	ref=e215757276357b64cf74f536552f3a5ef292fa1a; inspected files match HEAD; Step-map tracking and display simplification are useful; batching and default mark omission forbid provenance authority.
github.com/bhousel/node-diff3	https://github.com/bhousel/node-diff3	github.com	MIT (LICENSE.md and package.json; metadata NOASSERTION)	103	2026-06-03T21:17:50Z	branch-conflicts	/Users/zbeyens/git/node-diff3	focused source inspected	N/A lead scores only	ref=8226c27e074909241d72276c21215505a931665f; inspected files match HEAD; Conflict regions preserve alternatives; merged output erases clean branch attribution and deletion review rows.
github.com/trimerge/trimerge	https://github.com/trimerge/trimerge	github.com	MIT declared in package.json; no root license file found	24	2023-04-24T18:11:18Z	json-three-way	/Users/zbeyens/git/trimerge	focused source inspected	N/A lead scores only	ref=8f5002584bc892d5dbb5b813e4241323e6593eef; inspected files match HEAD; Keyed arrays separate values from order; duplicate keys reject and order conflicts require policy.
github.com/loro-dev/loro	https://github.com/loro-dev/loro	github.com	MIT	6132	2026-09-10T05:41:26Z	native-moves	/Users/zbeyens/git/loro	focused source inspected	N/A lead scores only	ref=d5da57dd2a91d735656808cbbe2a3f1c755c2441; inspected files match HEAD; Recorded frontier diffs and native movable identity; concurrent ancestor deletion and descendant movement need explicit laws.
github.com/automerge/automerge	https://github.com/automerge/automerge	github.com	MIT	6584	2026-09-10T15:33:21Z	recorded-snapshot-diff	/Users/zbeyens/git/automerge	focused source inspected	N/A lead scores only	ref=1618c976ca23fca8282c4a69ebbb0bb0c3f27ab1; inspected files match HEAD; History-bound diff differs from inferred updateText; missing history cannot mean proven equality.
github.com/assert-kth/spork	https://github.com/ASSERT-KTH/spork	github.com	MIT	72	2025-02-25T12:23:02Z	structured-merge	/Users/zbeyens/git/spork	focused source inspected	N/A lead scores only	ref=c1b35d81c44d61d883da7ca91ae0088b6b8f3f2f; inspected files match HEAD; Content and structure conflicts differ; keep all revisions until resolution.
github.com/google/diff-match-patch	https://github.com/google/diff-match-patch	github.com	Apache-2.0	8137	2024-05-22T22:13:22Z	text-cleanup-and-patch	/Users/zbeyens/git/diff-match-patch	focused source inspected	N/A lead scores only	ref=62f2e689f498f9c92dbc588c58750addec9b1654; inspected files match HEAD; Semantic cleanup and fuzzy text application are separate jobs; fuzzy success does not validate a baseline.
codeberg.org/mergiraf/mergiraf	https://codeberg.org/mergiraf/mergiraf	codeberg.org	GPL-3.0-only (Cargo.toml and LICENSE.txt)	structured merge implementation	commit 2026-09-08	three-way-structure	/Users/zbeyens/git/mergiraf	focused source inspected	N/A lead scores only	ref=b9a78df83d48a89961310dde67898dd1b355690e; inspected files match HEAD; One-to-one matchings; schema/language semantics and post-render structural validation matter.
github.com/microsoft/vscode	https://github.com/microsoft/vscode	github.com	MIT	191554	2026-09-10T18:58:35Z	moved-line-refinement	/Users/zbeyens/git/vscode	focused source inspected	N/A lead scores only	ref=df2411cf7d8f2e0cfc79109a3bc8eaab2c69165b; inspected files match HEAD; Move refinement has heuristic length and similarity gates; never adopt code-oriented thresholds as rich-text laws.
github.com/andreyvit/json-diff	https://github.com/andreyvit/json-diff	github.com	not inspected	1202	2026-08-20T20:51:23Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
github.com/ladderlife/autochrome	https://github.com/ladderlife/autochrome	github.com	not inspected	189	2026-07-16T07:14:28Z	discovery screening		screened; excluded from deep read	N/A	Metadata only; No distinct current job beyond the selected matcher/merge/native lanes; not evidence of an inferior implementation.
