source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key
pm-clipboard-webtest	github.com/prosemirror/prosemirror	source	/Users/zbeyens/git/prosemirror/view/test/webtest-clipboard.ts	10-90	Clipboard oracle sample	Tests cover node selection, text selection context, serializer/transform, and parsed context.	clipboard:rich-context-roundtrip
pm-view-selection-sync	github.com/prosemirror/prosemirror	source	/Users/zbeyens/git/prosemirror/view/test/webtest-selection.ts	64-95	Selection sync oracle sample	Tests assert DOM selection to editor selection and editor selection to DOM selection.	selection:dom-model-bidirectional-sync
pm-history-selection-rebase	github.com/prosemirror/prosemirror	source	/Users/zbeyens/git/prosemirror/history/test/test-history.ts	221-243	Undo selection oracle sample	Undo tests restore selection and rebase selection through undo.	history:undo-redo-selection-restore-rebase
lexical-history-selection	github.com/facebook/lexical	source	/Users/zbeyens/git/lexical/packages/lexical-history/src/__tests__/unit/LexicalHistory.test.tsx	437	Undo selection oracle sample	History tests keep undo-stack selection tied to the same editor.	history:undo-redo-selection-restore-rebase
lexical-clipboard-same-html-plain	github.com/facebook/lexical	source	/Users/zbeyens/git/lexical/packages/lexical-clipboard/src/clipboard.ts	103-205	Clipboard active-format oracle sample	Plain-text insertion is preferred for same HTML/plain payloads and multiline plain text is handled explicitly.	clipboard:same-html-plain-prefers-plain
lexical-clipboard-selection-update	github.com/facebook/lexical	source	/Users/zbeyens/git/lexical/packages/lexical-clipboard/src/clipboard.ts	214-275	Clipboard selection update sample	Generated node insertion updates selection format/style after insert.	clipboard:same-html-plain-prefers-plain
lexical-beforeinput-targetrange	github.com/facebook/lexical	source	/Users/zbeyens/git/lexical/packages/lexical/src/LexicalEvents.ts	740-775	Selection/browser event sample	Beforeinput can use targetRange and update selected text from DOM for tricky native sequences.	selection:dom-model-bidirectional-sync
lexical-beforeinput-history	github.com/facebook/lexical	source	/Users/zbeyens/git/lexical/packages/lexical/src/LexicalEvents.ts	914-945	History event sample	Native beforeinput historyUndo/historyRedo dispatch paths are explicit.	history:undo-redo-selection-restore-rebase
lexical-html-copy-paste	github.com/facebook/lexical	source	/Users/zbeyens/git/lexical/packages/lexical/src/__tests__/unit/HTMLCopyAndPaste.test.ts	110-165	Clipboard fixture sample	Same text/plain and text/html word-prediction payload is inserted as plain text to maintain formatting.	clipboard:same-html-plain-prefers-plain
lexical-selection-input-fixtures	github.com/facebook/lexical	source	/Users/zbeyens/git/lexical/packages/lexical-selection/src/__tests__/unit/LexicalSelection.test.tsx	1200-1245	Selection mutation fixture sample	Input sequence fixtures assert expected HTML and selection after delete/undo/redo.	selection:inverse-mutation-matrix
lexical-selection-inverse-matrix	github.com/facebook/lexical	source	/Users/zbeyens/git/lexical/packages/lexical-selection/src/__tests__/unit/LexicalSelection.test.tsx	1870-1955	Selection mutation matrix sample	Inverse selection matrix is useful for anchor/focus drift classes.	selection:inverse-mutation-matrix
tiptap-selection-decoration	github.com/ueberdosis/tiptap	source	/Users/zbeyens/git/tiptap/packages/extensions/src/selection/selection.ts	32-47	Projected selection visual oracle sample	Selection decoration hides while focused, editable, node-selected, or dragging.	selection:projected-decoration-hidden-while-focused
tiptap-link-paste	github.com/ueberdosis/tiptap	source	/Users/zbeyens/git/tiptap/packages/extension-link/src/helpers/pasteHandler.ts	15-36	Paste handler sample	Autolink paste logic is selection-gated.	clipboard:rich-context-roundtrip
slate-v2-history-existing	local-slate-v2	source	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-history/test/history-contract.ts	1378-1420	Coverage mapping	Existing Slate v2 history contracts already assert selection restore/preserve cases.	history:undo-redo-selection-restore-rebase
slate-v2-richtext-paste-existing	local-slate-v2	source	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/richtext.test.ts	5296-5340	Coverage mapping	Existing richtext tests cover structured heading copy/paste rows.	clipboard:rich-context-roundtrip
slate-v2-paste-html-existing	local-slate-v2	source	/Users/zbeyens/git/plate-2/.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts	file scan	Coverage mapping	Paste-html suite already covers many external HTML/list/table/image/code import fixtures.	clipboard:rich-context-roundtrip
