lead_key	repo_key	source_ref	topic	claim	evidence_grade	novelty	applicability	proof_owner	next_action	status	impact	proofability	risk	scope_id	review_id	source_revision	source_fingerprint	checked_at
annotation:topology:one-model-many-views	multiple; see read-log.tsv	local:comments;monaco:model;yjs:tests	topology	Use one document model with independent mounted-view selection, focus, editability, projection, annotation index and paint.	A	2	3	Task design plan annotations	Delete the mirrored comment model and prove two simultaneous mounted views.	promoted	3	3	1	annotations	2026-09-21-annotations-oss-validation	mixed	mixed	2026-09-21
annotation:ownership:four-lifetimes	multiple; see read-log.tsv	local:annotation-store;lexical:comments;automerge:marks	ownership	Keep application metadata, persistent target, exact-view index and decoration paint as four explicit lifetimes.	A	1	3	Task design plan annotations	Preserve the split while trimming unearned public capabilities.	retained	3	3	1	annotations	2026-09-21-annotations-oss-validation	mixed	mixed	2026-09-21
annotation:mapping-kernel:targeted	github.com/udecode/plate	local:anchor-state;local:annotation-store	incremental mapping	Retain central changed-NodeKey routing and candidate-ID refresh as the baseline.	A	1	3	Benchmark within Task plan	Measure local edits and structural changes at high annotation counts.	retained	3	3	1	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
annotation:mapping-kernel:batch	github.com/yjs/yjs;github.com/udecode/plate	yjs:batch;local:annotation-store	batch resolution	Benchmark an optional private native resolve-many path for full activation and projection switches while keeping scalar borrowed resolve public.	A	3	3	Benchmark within Task plan	Prototype only behind the native engine and retain only for a material matched win.	promoted-provisional	3	3	2	annotations	2026-09-21-annotations-oss-validation	96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64	96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64	2026-09-21
annotation:mapping-kernel:collection	multiple; see read-log.tsv	pm:decorations;cm:rangeset;monaco:tree	collection mapping	Use chunked or interval mapping only as a private benchmark candidate; do not replace semantic anchors by analogy.	A	2	2	Benchmark within Task plan	Compare against the current baseline and batched native resolution.	deferred	3	3	2	annotations	2026-09-21-annotations-oss-validation	mixed	mixed	2026-09-21
annotation:snapshot-kernel:benchmark	github.com/udecode/plate	local:stable-source;local:stable-tests	immutable snapshots	Keep the custom persistent byte trie private until wall-time and retained-heap comparison proves it over simpler immutable snapshots.	A	2	3	Benchmark within Task plan	Measure dense and sparse updates; delete or simplify the loser.	promoted-provisional	2	3	2	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
annotation:view:lifetime	multiple; see read-log.tsv	local:view-lifetime;cm:view	lifetime	The mounted view and headless owner must clean up their own subscriptions and resources explicitly.	A	1	3	Task design plan annotations	Prove Strict Mode, pane unmount and bulk retirement.	retained	3	3	1	annotations	2026-09-21-annotations-oss-validation	mixed	mixed	2026-09-21
annotation:deletion:policy	multiple; see read-log.tsv	local:anchor;pm:bookmark;yjs:relative;automerge:cursor	deletion	Keep nearest for durable recovery and terminal drop for locally observed transient lifetime; do not promise drop as a convergent persisted CRDT target.	A	3	3	Task design plan annotations	Prove local delete/undo/redo and document the collaboration boundary; add no exact policy without a current consumer.	promoted	3	3	2	annotations	2026-09-21-annotations-oss-validation	mixed	mixed	2026-09-21
annotation:api:minimal-reader	github.com/udecode/plate	local:annotation-store	public API	Borrowed targets expose resolve only; React readers omit destroy, release, retry, metrics and status; explicit typed readers replace the generic provider.	A	1	3	Task design plan annotations	Apply the prior public-surface cuts unchanged.	retained	3	3	1	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
annotation:performance:claim-gate	multiple; see read-log.tsv	local:anchor-state;cm:rangeset;monaco:tree;yjs:batch	performance proof	The ownership graph is selected, but no candidate may be called most performant before a matched 1/2/4-view scale run.	A	3	3	Benchmark within Task plan	Run the promoted benchmark matrix and record the selected private kernel.	promoted	3	3	1	annotations	2026-09-21-annotations-oss-validation	mixed	mixed	2026-09-21
