lead_key	packet_id	slate_owner	test_or_benchmark	verification_command	decision
huge-doc-architecture:virtualized-scroll-stability-contract	huge-doc-architecture-contract-001	slate-browser	First-party operation-family row plus existing huge-document virtualized scroll browser proof	cd .tmp/slate-v2/packages/slate-browser && bun test test/core/scenario.test.ts; cd .tmp/slate-v2 && bun run playwright playwright/integration/examples/huge-document.test.ts --project=chromium --grep "virtualized backward scroll stable|virtualized rows visually coherent|virtualized rows buffered"; cd .tmp/slate-v2 && bun --filter slate-browser typecheck	kept-existing
huge-doc-architecture:scroll-anchor-metric-honesty	huge-doc-scroll-anchor-metrics-001	slate-ar-perf	Browser trace and full wrapper emit materialization frame and scroll-delta metrics for cold and materialized selection	cd .tmp/slate-v2 && bun test ./packages/slate/test/core-benchmark-scripts-contract.ts; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized SLATE_BROWSER_TRACE_BLOCKS=200 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=2 SLATE_BROWSER_TRACE_SKIP_BUILD=1 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs; cd .tmp/slate-v2 && HUGE_DOC_FULL_SMOKE=1 HUGE_DOC_FULL_SKIP_BROWSER_BUILD=1 bun ./scripts/benchmarks/browser/react/huge-document-full.mjs	kept-metric
huge-doc-architecture:estimated-coordinate-contract	huge-doc-estimated-coordinate-contract-001	slate-dom	DOM coordinate APIs remain exact-only for virtualized unmounted ranges; DOMCoverage owns boundary-aware results	cd .tmp/slate-v2 && bun test ./packages/slate-dom/test/dom-coverage.ts; cd .tmp/slate-v2 && bun --filter ./packages/slate-dom typecheck	kept-contract
huge-doc-architecture:selection-endpoint-retention	huge-doc-selection-endpoint-retention-001	slate-react	Virtualized layout retains expanded selection endpoint top-level rows while keeping unrelated off-window siblings unmounted	cd .tmp/slate-v2/packages/slate-react && bun test:vitest test/dom-strategy-page-virtualization.test.tsx; cd .tmp/slate-v2 && bun --filter ./packages/slate-react typecheck	kept-contract
huge-doc-architecture:big-document-height-scaling	huge-doc-big-document-height-scaling-001	slate-ar-perf	100k/200k virtualized smoke proves DOM/materialization remain bounded and caps example cache above 50k blocks to reduce extreme-route heap	cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized SLATE_BROWSER_TRACE_BLOCKS=100000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SKIP_BUILD=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=20000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=20000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-stress
huge-doc:200k-click-selection-attribution	huge-doc-200k-click-selection-attribution-001	slate-react / slate-ar-perf	Browser trace splits click dispatch into mouse phases and root mousedown profiler phases; plain huge documents skip content-root owner scans and reuse resolved start ranges	cd .tmp/slate-v2 && bun test ./packages/slate/test/core-benchmark-scripts-contract.ts; cd .tmp/slate-v2/packages/slate-react && bun test:vitest test/content-root-navigation-contract.test.ts; cd .tmp/slate-v2 && bun --filter ./packages/slate-react typecheck; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-runtime
huge-doc:200k-select-all-delete-attribution	huge-doc-200k-select-all-delete-attribution-001	slate / slate-react / slate-ar-perf	Browser trace opt-in select-all/delete flow proves 200k Cmd+A/Delete/type/undo restore, and core replace_children replay is stack-safe for huge child ranges	cd .tmp/slate-v2 && bun test ./packages/slate/test/operations-contract.ts; cd .tmp/slate-v2 && bun test ./packages/slate/test/core-benchmark-scripts-contract.ts; cd .tmp/slate-v2 && bun --filter ./packages/slate typecheck; cd .tmp/slate-v2 && bun --filter ./packages/slate-react typecheck; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-correctness
huge-doc:200k-delete-history-latency-attribution	huge-doc-200k-delete-history-latency-attribution-001	slate / slate-react / slate-ar-perf	Browser trace splits 200k post-delete typing into keyboard dispatch/model wait and attributes undo-delete to full snapshot/listener/DOM path sync; same-burst insertText no-flush runtime shortcut is quarantined	cd .tmp/slate-v2 && bun test ./packages/slate/test/core-benchmark-scripts-contract.ts; cd .tmp/slate-v2 && bun --filter slate-react test:vitest -- runtime-before-input-events-contract.test.ts input-router-contract.test.tsx dom-repair-policy-contract.test.ts selection-reconciler-contract.test.tsx selection-runtime-contract.test.ts; cd .tmp/slate-v2 && bun --filter slate-react typecheck; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-measurement-quarantined-runtime-shortcut
huge-doc:200k-scoped-view-selection-projection	huge-doc-200k-undo-delete-publish-cost-research-001	slate-react / slate-ar-perf	View-selection decorations are scoped to mounted runtime ids plus selection endpoints; global full-document projection is removed from the 200k select-all hot path	cd .tmp/slate-v2 && bun --filter slate-react test:vitest -- view-selection-contract.test.ts; cd .tmp/slate-v2 && bun --filter slate-react typecheck; cd .tmp/slate-v2 && bun run playwright playwright/integration/examples/huge-document.test.ts playwright/integration/examples/synced-blocks.test.ts playwright/integration/examples/multi-root-document.test.ts --project=chromium --grep 'keeps virtualized browser select-all delete|keeps virtualized repeated Shift\\+ArrowDown|keeps downward drag selection|keeps blank-gap drag selection|renders projected Shift\\+ArrowRight selection|clears native select-all highlight|dragging from blank header editor space'; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-runtime
huge-doc:200k-live-runtime-index-reuse	huge-doc-200k-undo-delete-core-snapshot-delta-research-001	slate / slate-react / slate-ar-perf	Main-root snapshot construction seeds the live runtime-index cache so DOM path sync does not rebuild the same 200k runtime map	cd .tmp/slate-v2 && bun --filter slate typecheck; cd .tmp/slate-v2 && bun test ./packages/slate/test/operations-contract.ts; cd .tmp/slate-v2 && bun test ./packages/slate/test/core-benchmark-scripts-contract.ts; cd .tmp/slate-v2 && bun --filter slate-react typecheck; cd .tmp/slate-v2 && bun run playwright playwright/integration/examples/huge-document.test.ts playwright/integration/examples/synced-blocks.test.ts playwright/integration/examples/multi-root-document.test.ts --project=chromium --grep 'keeps virtualized browser select-all delete|keeps virtualized repeated Shift\\+ArrowDown|keeps downward drag selection|keeps blank-gap drag selection|renders projected Shift\\+ArrowRight selection|clears native select-all highlight|dragging from blank header editor space'; cd .tmp/slate-v2 && SLATE_BROWSER_TRACE_SURFACES=virtualized SLATE_BROWSER_TRACE_BLOCKS=200000 SLATE_BROWSER_TRACE_ITERATIONS=1 SLATE_BROWSER_TRACE_TYPE_OPS=1 SLATE_BROWSER_TRACE_SELECT_ALL_DELETE=1 SLATE_BROWSER_TRACE_NATIVE_TIMEOUT_MS=30000 SLATE_BROWSER_TRACE_MATERIALIZATION_TIMEOUT_MS=30000 bun ./scripts/benchmarks/browser/react/huge-document-browser-trace.mjs	kept-runtime
