source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key
wpt-inputevents-targetranges-dispatch	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/input-events/input-events-get-target-ranges-during-and-after-dispatch.tentative.html	14-61	Check whether target ranges are event snapshots or live selection reads.	beforeinput target ranges are fixed at dispatch and remain stable even if listeners move selection before Slate handles the event.	wpt:beforeinput-target-range-dispatch-snapshot
wpt-inputevents-targetranges-selection	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/input-events/input-events-get-target-ranges-non-collapsed-selection.tentative.html	34-170	Check expanded-selection delete/typing target ranges.	Expanded contenteditable selections can shrink to text edge ranges and cross-block whitespace-adjusted ranges; useful as future browser-route proof, not a package-only proof.	wpt:expanded-selection-target-range-shrink
wpt-inputevents-targetranges-helper	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/input-events/input-events-get-target-ranges.js	20-31,158-180	Check harness interpretation of cached ranges.	WPT caches target ranges during event propagation because post-propagation behavior differs across browsers; Slate should avoid late live-selection recomputation for the operation target.	wpt:beforeinput-target-range-dispatch-snapshot
slate-selection-reconciler	current-slate	source	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/src/editable/selection-reconciler.ts	837-1030	Map WPT invariant to Slate owner.	`syncSelectionForBeforeInput` already resolves event target ranges before falling back to live DOM selection; missing proof was explicit frozen-range-vs-live-selection coverage.	wpt:beforeinput-target-range-dispatch-snapshot
slate-selection-reconciler-test	current-slate	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/selection-reconciler-contract.test.tsx	480	Add Slate-native proof.	New contract proves event target range wins over later live DOM selection for destructive beforeinput.	wpt:beforeinput-target-range-dispatch-snapshot
wpt-inputevents-delete-list-target-ranges	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/input-events/input-events-get-target-ranges-deleting-in-list-items.tentative.html	72-220	Check Backspace/Delete target ranges around adjacent list item boundaries.	Target ranges across list items can span text-node endpoints and element endpoints such as `li` containers when deleting or joining adjacent items.	wpt:block-spanning-delete-target-range
wpt-inputevents-delete-dl-join-target-ranges	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/input-events/input-events-get-target-ranges-joining-dl-elements.tentative.html	70-180	Check definition-list joining target ranges.	Joining adjacent `dl` items uses ranges spanning left-item text endpoints and right-item text or element endpoints; the portable Slate invariant is exact event target-range resolution, not `dl` semantics.	wpt:block-spanning-delete-target-range
wpt-inputevents-delete-block-and-inline-target-ranges	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/input-events/input-events-get-target-ranges-backspace.tentative.html; /Users/zbeyens/git/wpt/input-events/input-events-get-target-ranges-forwarddelete.tentative.html	74-152;108-144	Check non-list block and inline-element delete target ranges.	Backspace/Delete can expose element containers in target ranges around inline element removal and block joins; Slate must not assume all destructive target-range endpoints are text nodes.	wpt:block-spanning-delete-target-range
slate-selection-reconciler-block-target-range-test	current-slate	test	/Users/zbeyens/git/plate-2/.tmp/slate-v2/packages/slate-react/test/selection-reconciler-contract.test.tsx	564	Add Slate-native proof for WPT list/join shape.	New contract proves block-spanning element target ranges are resolved before live DOM selection fallback.	wpt:block-spanning-delete-target-range
wpt-inputevents-cut-paste	github/web-platform-tests/wpt	source	/Users/zbeyens/git/wpt/input-events/input-events-cut-paste.html	71-140	Check cut/paste beforeinput/input ordering and payload authority.	Contenteditable paste fires paste, beforeinput insertFromPaste, and input insertFromPaste; beforeinput data is null while dataTransfer carries text/plain and text/html; preventDefault blocks DOM mutation but clipboard contents still update.	wpt:paste-inputevent-datatransfer-authority
