repo_key	url	host	license	stars_or_signal	last_activity	topic_tags	local_path	status	score	notes
code.haverbeke.berlin/wordgard/wordgard	https://code.haverbeke.berlin/wordgard/wordgard.git	code.haverbeke.berlin	MIT inspected	named editor or relevant runtime technique	2026-09-02T10:59:32+02:00	editing performance	/Users/zbeyens/git/wordgard	source research recorded		local HEAD b5ad0d057e2790c8cf971c85a9d2fb7e4a82da54; final HEAD unchanged; source checkout clean
github.com/prosekit/prosekit	https://github.com/prosekit/prosekit	github.com	MIT inspected	named editor or relevant runtime technique	2026-08-12T19:05:09+10:00	editing performance	/Users/zbeyens/git/prosekit	source research recorded		local HEAD 3fbfe7906c3448328e80c1c1333647d08e50907e; final HEAD unchanged; source checkout clean
github.com/zbeyens/slate	https://github.com/zbeyens/slate.git	github.com	MIT inspected	named editor or relevant runtime technique	2026-04-13T09:44:16-07:00	editing performance	/Users/zbeyens/git/slate	source research recorded		local HEAD 945a484df2497e4c448b33f417b0de2a49840032; final HEAD unchanged; untracked scratch paths retained; no clean audit cursor
github.com/facebook/lexical	https://github.com/facebook/lexical.git	github.com	MIT inspected	named editor or relevant runtime technique	2026-07-27T14:58:01Z	editing performance	/Users/zbeyens/git/lexical	source research recorded		local HEAD dd5c41b13193efa9ab1574234d8593d2c9e4f988; final HEAD unchanged; source checkout clean
github.com/prosemirror/prosemirror	https://github.com/ProseMirror/prosemirror.git	github.com	MIT inspected	named editor or relevant runtime technique	2026-04-01T20:29:24+02:00	editing performance	/Users/zbeyens/git/prosemirror	source research recorded		local HEAD c7f2f1d7bde70728dfedaa68ca8f5fc3dffa17cc; final HEAD unchanged; source checkout clean
github.com/prosemirror/prosemirror-model	https://github.com/ProseMirror/prosemirror-model.git	github.com	MIT inspected	named editor or relevant runtime technique	2026-04-01T18:11:37+02:00	editing performance	/Users/zbeyens/git/prosemirror-model	source research recorded		local HEAD 6264de069d8439131e88f8ba06973551916184e4; final HEAD unchanged; source checkout clean
github.com/prosemirror/prosemirror-state	https://github.com/ProseMirror/prosemirror-state.git	github.com	MIT inspected	named editor or relevant runtime technique	2026-04-01T18:51:57+02:00	editing performance	/Users/zbeyens/git/prosemirror-state	source research recorded		local HEAD ffad5d9450a0b93438be53a801deee1a223a81bf; final HEAD unchanged; source checkout clean
github.com/prosemirror/prosemirror-view	https://github.com/ProseMirror/prosemirror-view.git	github.com	MIT inspected	named editor or relevant runtime technique	2026-04-01T18:43:21+02:00	editing performance	/Users/zbeyens/git/prosemirror-view	source research recorded		local HEAD ca4c78e9b56f1b164c0b3758b59d8748f11b7534; final HEAD unchanged; source checkout clean
github.com/prosemirror/prosemirror-transform	https://github.com/ProseMirror/prosemirror-transform.git	github.com	MIT inspected	named editor or relevant runtime technique	2026-04-01T18:49:29+02:00	editing performance	/Users/zbeyens/git/prosemirror-transform	source research recorded		local HEAD 662b7a937bafde19b7e2a83241dbc8888e257c89; final HEAD unchanged; source checkout clean
github.com/prosemirror/prosemirror-tables	https://github.com/ProseMirror/prosemirror-tables.git	github.com	MIT inspected	named editor or relevant runtime technique	2025-12-24T14:47:32+11:00	editing performance	/Users/zbeyens/git/prosemirror-tables	source research recorded		local HEAD eb522f25959a1e4515a4ff5ce7e3a939f19c55e9; final HEAD unchanged; source checkout clean
