status	category	donorPath	destinations	note
archived-exact	changeset	.changeset/config.json	docs/transplant/slate-v2/archive/.changeset/config.json	not an active Plate source surface
archived-exact	changeset	.changeset/README.md	docs/transplant/slate-v2/archive/.changeset/README.md	not an active Plate source surface
archived-exact	changeset	.changeset/slate-browser-minor.md	docs/transplant/slate-v2/archive/.changeset/slate-browser-minor.md	not an active Plate source surface
archived-exact	changeset	.changeset/slate-dom-major.md	docs/transplant/slate-v2/archive/.changeset/slate-dom-major.md	not an active Plate source surface
archived-exact	changeset	.changeset/slate-dom-minor.md	docs/transplant/slate-v2/archive/.changeset/slate-dom-minor.md	not an active Plate source surface
archived-exact	changeset	.changeset/slate-dom-patch.md	docs/transplant/slate-v2/archive/.changeset/slate-dom-patch.md	not an active Plate source surface
archived-exact	changeset	.changeset/slate-history-major.md	docs/transplant/slate-v2/archive/.changeset/slate-history-major.md	not an active Plate source surface
archived-exact	changeset	.changeset/slate-hyperscript-major.md	docs/transplant/slate-v2/archive/.changeset/slate-hyperscript-major.md	not an active Plate source surface
archived-exact	changeset	.changeset/slate-layout-minor.md	docs/transplant/slate-v2/archive/.changeset/slate-layout-minor.md	not an active Plate source surface
archived-exact	changeset	.changeset/slate-major.md	docs/transplant/slate-v2/archive/.changeset/slate-major.md	not an active Plate source surface
archived-exact	changeset	.changeset/slate-minor.md	docs/transplant/slate-v2/archive/.changeset/slate-minor.md	not an active Plate source surface
archived-exact	changeset	.changeset/slate-patch.md	docs/transplant/slate-v2/archive/.changeset/slate-patch.md	not an active Plate source surface
archived-exact	changeset	.changeset/slate-react-major.md	docs/transplant/slate-v2/archive/.changeset/slate-react-major.md	not an active Plate source surface
archived-exact	changeset	.changeset/slate-react-minor.md	docs/transplant/slate-v2/archive/.changeset/slate-react-minor.md	not an active Plate source surface
archived-exact	changeset	.changeset/slate-react-patch.md	docs/transplant/slate-v2/archive/.changeset/slate-react-patch.md	not an active Plate source surface
archived-exact	changeset	.changeset/slate-yjs-from-scratch.md	docs/transplant/slate-v2/archive/.changeset/slate-yjs-from-scratch.md	not an active Plate source surface
archived-exact	root-config	.editorconfig	docs/transplant/slate-v2/archive/.editorconfig	not an active Plate source surface
archived-exact	root-config	.gitattributes	docs/transplant/slate-v2/archive/.gitattributes	not an active Plate source surface
archived-exact	root-config	.gitbook.yaml	docs/transplant/slate-v2/archive/.gitbook.yaml	not an active Plate source surface
archived-exact	github-config	.github/ISSUE_TEMPLATE/bug-core.md	docs/transplant/slate-v2/archive/.github/ISSUE_TEMPLATE/bug-core.md	not an active Plate source surface
archived-exact	github-config	.github/ISSUE_TEMPLATE/bug-platform.md	docs/transplant/slate-v2/archive/.github/ISSUE_TEMPLATE/bug-platform.md	not an active Plate source surface
archived-exact	github-config	.github/ISSUE_TEMPLATE/config.yml	docs/transplant/slate-v2/archive/.github/ISSUE_TEMPLATE/config.yml	not an active Plate source surface
archived-exact	github-config	.github/ISSUE_TEMPLATE/request-feature.md	docs/transplant/slate-v2/archive/.github/ISSUE_TEMPLATE/request-feature.md	not an active Plate source surface
archived-exact	github-config	.github/ISSUE_TEMPLATE/request-improvement.md	docs/transplant/slate-v2/archive/.github/ISSUE_TEMPLATE/request-improvement.md	not an active Plate source surface
archived-exact	github-config	.github/PULL_REQUEST_TEMPLATE.md	docs/transplant/slate-v2/archive/.github/PULL_REQUEST_TEMPLATE.md	not an active Plate source surface
archived-exact	github-config	.github/workflows/ci.yml	docs/transplant/slate-v2/archive/.github/workflows/ci.yml	not an active Plate source surface
archived-exact	github-config	.github/workflows/codeql.yml	docs/transplant/slate-v2/archive/.github/workflows/codeql.yml	not an active Plate source surface
archived-exact	github-config	.github/workflows/comment.yml	docs/transplant/slate-v2/archive/.github/workflows/comment.yml	not an active Plate source surface
archived-exact	github-config	.github/workflows/release.yml	docs/transplant/slate-v2/archive/.github/workflows/release.yml	not an active Plate source surface
archived-exact	root-config	.gitignore	docs/transplant/slate-v2/archive/.gitignore	not an active Plate source surface
archived-exact	root-config	.markdownlint.json	docs/transplant/slate-v2/archive/.markdownlint.json	not an active Plate source surface
archived-exact	root-config	.prettierignore	docs/transplant/slate-v2/archive/.prettierignore	not an active Plate source surface
archived-exact	root-config	.prettierrc	docs/transplant/slate-v2/archive/.prettierrc	not an active Plate source surface
archived-exact	root-other	.vscode/extensions.json	docs/transplant/slate-v2/archive/.vscode/extensions.json	not an active Plate source surface
archived-exact	root-other	.vscode/launch.json	docs/transplant/slate-v2/archive/.vscode/launch.json	not an active Plate source surface
archived-exact	root-other	.vscode/settings.json	docs/transplant/slate-v2/archive/.vscode/settings.json	not an active Plate source surface
active-research-raw	research-artifact	autoresearch.checks.sh	docs/research/raw/slate-v2/donor/autoresearch.checks.sh	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.ideas.md	docs/research/raw/slate-v2/donor/autoresearch.ideas.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.jsonl	docs/research/raw/slate-v2/donor/autoresearch.jsonl	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.md	docs/research/raw/slate-v2/donor/autoresearch.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr20/brief.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr20/brief.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr20/gate-evidence.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr20/gate-evidence.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr20/perf-evidence.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr20/perf-evidence.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr20/plan.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr20/plan.md	donor autoresearch session artifact copied under docs/research/raw
active-research-raw	research-artifact	autoresearch.research/yjs-pr20/quality-gaps.md	docs/research/raw/slate-v2/donor/autoresearch.research/yjs-pr20/quality-gaps.md	donor autoresearch session artifact copied under docs/research/raw
