source_ref	repo_key	path	lines	read_for	verdict
prosemirror-composition-overlap-tests	github/prosemirror/prosemirror-view	../prosemirror-view/test/webtest-composition.ts	238-268	Full, partial, inside, and elsewhere composition overlap behavior.	ProseMirror explicitly cancels overlapping changes and preserves non-overlap.
prosemirror-composition-viewdesc	github/prosemirror/prosemirror-view	../prosemirror-view/src/viewdesc.ts	767-826	Composition DOM protection during view-desc updates.	Active composition DOM is protected instead of casually rerendered.
prosemirror-composition-input	github/prosemirror/prosemirror-view	../prosemirror-view/src/input.ts	502-525	Composition end and clear behavior.	Composition session has explicit lifecycle and stale-node cleanup.
lexical-composition-key	github/facebook/lexical	../lexical/packages/lexical/src/LexicalUtils.ts	487-514	Composition ownership key.	Lexical marks old/new composition nodes writable when ownership changes.
lexical-transform-suppression	github/facebook/lexical	../lexical/packages/lexical/src/LexicalUpdates.ts	198-330	Transform behavior during composition.	Lexical skips transforms on the active composition node.
lexical-flush-on-key-change	github/facebook/lexical	../lexical/packages/lexical/src/LexicalUpdates.ts	965-986	Update flushing when composition ownership changes.	Composition ownership changes force synchronous flush.
vscode-composition-context	github/microsoft/vscode	../vscode/src/vs/editor/browser/controller/editContext/textArea/textAreaEditContextInput.ts	199-319	Textarea composition lifecycle.	VS Code tracks a current composition context, routes IME keydown, ignores extra compositionend, and fires typed input from composition updates.
vscode-composition-offdom-end	github/microsoft/vscode	../vscode/src/vs/editor/browser/controller/editContext/textArea/textAreaEditContextInput.ts	453-482	Missing compositionend recovery.	VS Code synthesizes composition end on blur/off-DOM and Android tap cases to avoid stranded composition state.
vscode-textarea-write-guard	github/microsoft/vscode	../vscode/src/vs/editor/browser/controller/editContext/textArea/textAreaEditContextInput.ts	639-645	Textarea write suppression.	VS Code avoids writing native textarea content while composing.
vscode-native-editcontext-composition	github/microsoft/vscode	../vscode/src/vs/editor/browser/controller/editContext/native/nativeEditContext.ts	221-235	Native EditContext composition lifecycle.	VS Code forwards composition start/end into controller and view-model state.
