lead_key	packet_id	slate_owner	test_or_benchmark	verification_command	decision	scope_id	review_id	source_revision	source_fingerprint	checked_at
rendering:explicit-omission:contract	plan-packet:rendering:explicit-omission:contract	best-api	Ordinary rendering must not silently drop document DOM; permission covers nested viewport windows	cd packages/plitejs && pnpm exec vitest run --config ../../docs/plans/artifacts/large-documents-deep/probe.config.mjs current-contract.probe.test.tsx	Planning/proof packet only; no production implementation or runtime acceptance	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
rendering:stable-active-dom:identity	test-packet:rendering:stable-active-dom:identity	plite-plan	Preserve native active descendant identity as well as host identity	cd packages/plitejs && pnpm exec vitest run --config ../../docs/plans/artifacts/large-documents-deep/probe.config.mjs current-contract.probe.test.tsx	Planning/proof packet only; no production implementation or runtime acceptance	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
coverage:committed-materialization:lifecycle	test-packet:coverage:committed-materialization:lifecycle	plite-plan	Handler acceptance cannot stand in for committed mounted DOM	cd packages/plitejs && pnpm exec vitest run --config ../../docs/plans/artifacts/large-documents-deep/probe.config.mjs current-contract.probe.test.tsx	Planning/proof packet only; no production implementation or runtime acceptance	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
coverage:mixed-copy-policies:clipboard	plan-packet:coverage:mixed-copy-policies:clipboard	best-api	Mixed model/exclude copy currently includes excluded text; specify policy composition before adoption	cd packages/plitejs && pnpm exec vitest run --config ../../docs/plans/artifacts/large-documents-deep/probe.config.mjs current-contract.probe.test.tsx	Planning/proof packet only; no production implementation or runtime acceptance	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
pagination:one-canvas:projection	plan-packet:pagination:one-canvas:projection	plite-plan	Remove the second viewport projection and keep one page canvas coordinate system	cd packages/plitejs && pnpm exec vitest run --config ../../docs/plans/artifacts/large-documents-deep/probe.config.mjs page-plan.probe.test.tsx	Planning/proof packet only; no production implementation or runtime acceptance	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
pagination:explicit-unit-window:coverage	test-packet:pagination:explicit-unit-window:coverage	plite-plan	Default/full pagination can filter table units without an explicit viewport choice	cd packages/plitejs && pnpm exec vitest run --config ../../docs/plans/artifacts/large-documents-deep/probe.config.mjs current-contract.probe.test.tsx	Planning/proof packet only; no production implementation or runtime acceptance	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
packaging:honest-virtual-dependency:artifact	plan-packet:packaging:honest-virtual-dependency:artifact	best-api	Optional TanStack peer is statically required by ordinary React import	bun docs/plans/artifacts/large-documents-deep/bundle-probe.mts; node docs/plans/artifacts/large-documents-deep/ssr-probe.mjs --without-tanstack	Planning/proof packet only; no production implementation or runtime acceptance	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
rendering:first-window:hydration	benchmark-packet:rendering:first-window:hydration	benchmark	Replace staged SSR fallback with a deliberate initial-render contract; compare full and bounded window	node docs/plans/artifacts/large-documents-deep/ssr-probe.mjs	Planning/proof packet only; no production implementation or runtime acceptance	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
native-coverage:service-proof:browser	test-packet:native-coverage:service-proof:browser	verify-plate	Native Find, print, accessibility, IME and model search need separate proof and ownership	pnpm --filter plite test:plite-browser:chromium tests/plite-browser/donor/examples/huge-document.test.ts; actual native Find/AT/print lanes additionally required by plan	Planning/proof packet only; no production implementation or runtime acceptance	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
coverage:metrics-not-capabilities:diagnostics	plan-packet:coverage:metrics-not-capabilities:diagnostics	best-api	Mount counts and nativeSurfaceComplete do not certify browser capability	cd packages/plitejs && pnpm exec vitest run --config ../../docs/plans/artifacts/large-documents-deep/probe.config.mjs current-contract.probe.test.tsx	Planning/proof packet only; no production implementation or runtime acceptance	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
coverage:delete-find-metadata:api	plan-packet:coverage:delete-find-metadata:api	best-api	Delete findPolicy; existing search owner performs search	cd packages/plitejs && pnpm exec vitest run --config ../../docs/plans/artifacts/large-documents-deep/probe.config.mjs current-contract.probe.test.tsx	Planning/proof packet only; no production implementation or runtime acceptance	large-documents	2026-09-12-large-documents-deep-contract	unknown	unknown	2026-09-11T21:53:04.055294+00:00
