check	issue	state	relevant	classification	owner	status	reason	linked_prs	linked_refs	provider_commit_refs	provider_mentioned_commit_refs	upstream_test_provenance	local_coverage	local_test	verification_command	last_checked_at	next_action	title	url	claim	concept_ids	current_source_truth	source_evidence	proof_relation	proof_evidence	changes_audit	audit_change	body_sha256	timeline_sha256	semantic_sha256	timeline_events
[x]	1	CLOSED	yes	fixed	external-framework	deferred-with-owner	Current source contains the fix, but Wordgard still owns the missing exact browser regression.		wordgard@9c9b2cfa3666b1bd33021716080cfaf2f8ae9461		9c9b2cfa3666b1bd33021716080cfaf2f8ae9461		none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Add a browser test that activates Mod-k twice and asserts one dialog panel.	Multiple instances of the "Add a link" dialog	https://code.haverbeke.berlin/wordgard/wordgard/issues/1	Repeated link-command activation created concurrent link dialogs.	WG-PRODUCT-003D1B; WG-VIEW-014A2	Fixed. The link command detects the named open panel, restores editor focus when needed, closes it, and returns before opening another dialog.	../wordgard/src/schema/link.ts:8-42	The closing commit changed only source. The current test tree has no link-dialog multiplicity regression.	../wordgard/src/schema/link.ts:8-42	no	Confirms link UI is owned jointly by the link bundle and generic dialog lifecycle; it does not change the current winner.	f07b8f512cfcf286f6a55b6444015920e9f5fc89cf125028c4ddd49352ea9b21	424abfbedec416a76e8b619cbe46d077368442c62eca4a17405d9e55de99f7fc	15439c24249d0bc4d95f9274c12da7a23d22fe3198cebc4399e3bf101c56deb7	2
[x]	2	OPEN	yes	open	external-framework	deferred-with-owner	The open browser-layout contract belongs to Wordgard; no Plate/Plite source change follows from it.					../wordgard/test/test-selection.ts:102-158	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Define list direction projection and add Firefox/Chromium browser rows.	Look into how browsers handle text direction in lists	https://code.haverbeke.berlin/wordgard/wordgard/issues/2	Direction stored on a list-item textblock does not reliably place list markers or align text in Firefox and Chrome.	WG-CMD-003B2B; WG-PRODUCT-003A2D; WG-VIEW-013D	Open. Direction remains a textblock mark and state facet; no list-wrapper projection propagates the direction contract to list marker layout.	../wordgard/src/schema/block.ts:184-258	Bidi state tests cover cursor logic, not browser list marker placement or Firefox list alignment.	../wordgard/test/test-selection.ts:102-158	yes	Downgrades Wordgard direction behavior from complete to partial at the product/DOM boundary; the data model is stronger than its list rendering contract.	70a9f241d186556931aed5b834575f06efbca818b8adcad8b0d5d658f07002cf	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	b156f637bc925b8915bf722eb1e0c4036c28721a8c64f3791a4f42ebdc4c6e2e	0
[x]	3	CLOSED	yes	fixed	external-framework	deferred-with-owner	Source fix is present; raw Firefox Android coverage remains Wordgard-owned.		wordgard@b2cbe0efb0f1afe1f2f8ca6c9794e54ef32e6e5f			../wordgard/test/webtest-dom-changes.ts:51-149	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Run select-all delete and replacement on Firefox Android with trace/video evidence.	Firefox Android issues	https://code.haverbeke.berlin/wordgard/wordgard/issues/3	Firefox Android moves the DOM selection before beforeinput, causing select-all deletion/replacement to use the wrong range and destabilize later input.	WG-VIEW-007A; WG-VIEW-009A; WG-VIEW-010B1; WG-PROOF-004C	Fixed in source. Selectionchange records are staged and interpreted during flush, with touch recency used only to label pointer selection.	../wordgard/src/editor/domobserver.ts:125-159	The observed 733-test Chrome run is both desktop-only and stale-dist; no Firefox Android or current-head raw-device regression proves this sequence.	../wordgard/test/webtest-dom-changes.ts:51-149	yes	Strengthens the raw-mobile proof gap: a source fix exists, but no applicable device proof supports an exact mobile-input claim.	9ea6549011cb5644f1f6f2dcf5ceb4751030cbf64a7eda0a290b2db2db1af3d9	e50bf350da558ced70917ebf0e404c85f26ba6c2e9e46f63839600a74281d34f	0b59fc34ce04d169a93c056dfc4ed96d2696f7e016e2f12fdbe0e634ddeb7300	2
[x]	4	CLOSED	yes	fixed	external-framework	deferred-with-owner	Maintainer-reported device success is not a retained regression artifact.		wordgard@b41e3acddbf4d3489df2ae1a810ed807b4c20d6f; wordgard@08cf145362a0..062f2476fd50e08	b41e3acddbf4d3489df2ae1a810ed807b4c20d6f	b41e3acddbf4d3489df2ae1a810ed807b4c20d6f	../wordgard/test/webtest-dom-changes.ts:51-149	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Retain a Chrome Android voice-typing trace that asserts DOM, document, and caret convergence.	Cursor mismatch on Android with Google Voice Typing	https://code.haverbeke.berlin/wordgard/wordgard/issues/4	Chrome Android voice typing emits stacked DOM deletions and insertions that made the visible caret diverge from the model selection.	WG-VIEW-006A; LOCAL-NATIVE-INPUT-RECONCILIATION; WG-VIEW-010A; WG-PROOF-004C	Fixed according to the maintainer. The current input owner maintains a DOM document plus lazy mappings and reconciles stacked native changes before mapping target ranges into state.	../wordgard/src/editor/input.ts:83-301; ../wordgard/src/editor/input.ts:812-840	Desktop DOM-change tests cover stacked mapping primitives, but no current Google Voice Typing device test exists.	../wordgard/test/webtest-dom-changes.ts:51-149	yes	Provides concrete donor evidence for canonical native-DOM reconciliation while keeping its mobile proof status partial.	4199d98c0ff187c35780180d8b983518666cf9a932e633dad98d17bb500022f6	7895353a339293b8b2b589da411675d1cff3eb56f583f00180955730a9eaecb9	e4a0ab270370a2167a3d0a74d2e9c0eca0340752feb89b07bbd766bb5ca436bf	4
[x]	5	CLOSED	yes	fixed	docs-support-release	invalid-skip	Not an editor behavior or reusable architecture invariant.		wordgard@152fcfa4a24af957e7a44e13cfa3eff8dacde632	152fcfa4a24af957e7a44e13cfa3eff8dacde632	152fcfa4a24af957e7a44e13cfa3eff8dacde632		none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	None.	leftover code from the CM6	https://code.haverbeke.berlin/wordgard/wordgard/issues/5	Two runtime error messages retained CodeMirror branding.	WG-STATE-004B; WG-VIEW-016A	Fixed. Plugin crash and duplicate-package diagnostics use Wordgard terminology.	../wordgard/src/editor/editor.ts:1090-1151; ../wordgard/src/state/state.ts:710-740	A current source search is sufficient for this non-behavioral string cleanup.	../wordgard/src/editor/editor.ts:1090-1151; ../wordgard/src/state/state.ts:710-740	no	Terminology cleanup only; no architecture or proof conclusion changes.	d1cfbed707ebefbdc4b39cf7d5cbe4abd6827cc619d214c7629c2e50d70574ac	720874671305243c115d7961bd483ece3db292b09c6d97ebc85925e5ffe1b2dc	da2c21450401abab5def46d3fce3cf1e900edbdf3b5bdd2a1c0364f3aa18fe42	3
[x]	6	CLOSED	yes	fixed	external-framework	deferred-with-owner	Source shape is corrected; packed declaration proof is blocked by the current build failure.		wordgard/timeline-orphan@499b6ca43d6b98e61b955cda8610b5767ce940d3; wordgard@e741fd9254a59bcd3565ad7f4cfc34ce1a2378bc; wordgard@1acb231df7067bf5f85e694aaf4646181441e9ab	499b6ca43d6b98e61b955cda8610b5767ce940d3; e741fd9254a59bcd3565ad7f4cfc34ce1a2378bc; 1acb231df7067bf5f85e694aaf4646181441e9ab	499b6ca43d6b98e61b955cda8610b5767ce940d3; e741fd9254a59bcd3565ad7f4cfc34ce1a2378bc; 1acb231df7067bf5f85e694aaf4646181441e9ab		none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	After #32, compile the original consumer against the packed declaration bundle.	TypeScript declaration error: Property `isTextblock` does not exist on type `Plot`	https://code.haverbeke.berlin/wordgard/wordgard/issues/6	Bundled declarations resolved Pos.Plot.node to the namespace-local position class instead of the document Plot class.	WG-META-001; WG-META-002; WG-META-002B; WG-DOC-006	Fixed in source through out-of-namespace type aliases. A fresh declaration build cannot currently prove the published surface because issue #32 breaks type checking first.	../wordgard/src/doc/pos.ts:160-263	No retained compile-only regression exists, and the frozen head cannot emit clean declarations while schema/code.ts is broken.	../wordgard/src/doc/pos.ts:160-263; ../wordgard/src/schema/code.ts:1-56	no	The namespace-emission hazard remains relevant to packaging, but #32 already owns the current build-proof downgrade.	760751a828117d973e737acdaa3367e274ee2e76a21b2872e85d18f8246ad50c	b638c1b1d6bc9f8db81c05edd9a8d000637e56a9a8651b17d2ef1031fb3d3e80	3a36812d8f0826064f70422e2e7725fe9ddeedd686f668e7df54740cc945c654	5
[x]	7	CLOSED	yes	fixed	docs-support-release	deferred-with-owner	Website source is fixed but the example has no automated cross-range deletion proof.		wordgard/website-timeline-orphan@9dac3028bc399190821b5ffee16b65396df7eae0		9dac3028bc399190821b5ffee16b65396df7eae0		none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Add an example runner row for deletion across adjacent attribution ranges.	Can't delete text across ranges in Origin Tracking example	https://code.haverbeke.berlin/wordgard/wordgard/issues/7	The Origin Tracking example mishandled deletions spanning multiple attribution ranges.	WG-APPLICATION-BLAME-001; WG-APPLICATION-BLAME-002	Fixed in the website example. BlameMap.update walks preserved and replaced gaps and merges adjacent equal-color sections.	../wordgard-website/site/examples/blame/blame.ts:14-41	The reporter manually confirmed the website fix; there is no retained automated example regression.	../wordgard-website/site/examples/blame/blame.ts:14-41	no	Confirms the attribution example concepts found by the website audit; it does not alter the core editor comparison.	4a3dd0fd4a8f5f08c7cd20f0ddecc412c7f34a7766dedca2a99c151012e8fdc4	0571c600584161c694baa5ea8844b34d04363a2418426f1c12c5a5d76c4697c8	d288d04bbcc3fc8de9c6ecc306cdef6e23cd52e0428eec90f7eaae561b360ab8	3
[x]	8	CLOSED	yes	fixed	external-framework	deferred-with-owner	The symptom disappeared, but no attributable source delta or durable iOS proof exists.					../wordgard/test/webtest-composition.ts:1-187	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Add iOS autocorrect replacement with document/caret convergence assertions.	iOS autocorrect removes the word and doesn’t replace it as expected	https://code.haverbeke.berlin/wordgard/wordgard/issues/8	iOS autocorrect deleted the misspelled word instead of inserting its replacement.	WG-VIEW-009A; LOCAL-NATIVE-INPUT-RECONCILIATION; WG-PROOF-004C	Closed after the reporter could no longer reproduce on 0.1.2. No dedicated fixing commit was identified; current native-input reconciliation is the plausible owner.	../wordgard/src/editor/input.ts:182-301; ../wordgard/src/editor/input.ts:812-840	Reporter confirmation is the only exact evidence. The test suite has composition rows but no iOS autocorrect device row.	../wordgard/test/webtest-composition.ts:1-187	yes	Prevents treating the closure as source-proven and adds another required case to the raw iOS proof dossier.	6109841677df2413170598fe8acafa9aec08b7e4653e3523edc067b6669a1113	3c59151df9f34e29ce0a96297effcf887b9252965b70f246485c8375a1ffc7fc	69cf4863c0c2793a11ac48801464939f4e1e6d4b4a3f875497014b9dd2c60668	4
[x]	9	CLOSED	yes	fixed	docs-support-release	deferred-with-owner	Implementation exists without automated example proof.						none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Exercise outer/inner edit, undo, focus transfer, and teardown in the website example runner.	Create a footnote example	https://code.haverbeke.berlin/wordgard/wordgard/issues/9	Wordgard lacked a nested-editor footnote example.	WG-META-004B; WG-INTEGRATION-NESTED-001; WG-INTEGRATION-NESTED-002A; WG-INTEGRATION-NESTED-002B	Fixed in the website. The example defines an inline Footnote plot, projects it through a tooltip-hosted inner editor, and synchronizes inner/outer transactions.	../wordgard-website/site/examples/footnote/footnote.ts:1-243	The example exists, but the website has no retained end-to-end nested-editor verification.	../wordgard-website/site/examples/footnote/footnote.ts:69-182	no	Confirms the independently source-derived nested synchronization and shared focus/history concepts; the issue does not expand or revise the union.	a06995b9a62b201dc5c8adb0fbeee25d9daf11cf12f325f1a4827ab4a914202e	39f01cbbf6a2d73c79385b52a61b87ad253ac1dcb284f04a9eaaea38e0137cc6	0afed900b0c7516037550b243bfafada150566293b4824e4135b76e0b117d11a	2
[x]	10	OPEN	yes	open	docs-support-release	deferred-with-owner	Open donor example request; no local Plate/Plite patch is justified.						none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Wordgard may add a nested code-editor example with focus/history ownership proof.	Create a CodeMirror-for-editing-code-blocks example	https://code.haverbeke.berlin/wordgard/wordgard/issues/10	Wordgard lacks a CodeMirror-backed code-block editing example.	WG-META-004B; WG-PRODUCT-003A2B; WG-INTEGRATION-NESTED-001	Open. The website bundles CodeMirror modules for its playground, but no site/examples/codemirror example integrates a nested code editor.	../wordgard-website/src/codemirror.js:1-7	Repository inventory proves the example is absent; there is no applicable runtime proof.	../wordgard-website/src/codemirror.js:1-7	no	Product/example breadth gap only; Plate already wins this layer.	39a362e05003a9e4f34727df1a3fd28f113ae378bc5db74110d676ed579fcd5e	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	60412de2749d0e16b4f68696657f81fea37df90a82902c7e8759c8242d08aa92	0
