dedupe_key	repo_key	lead_key	reason	reopen_condition
architecture:copy-mdast	github.com/syntax-tree/mdast	copy-no-standard:hybrid-owner:source-model	Syntax AST uses typed text/value and wrapper marks; it cannot directly own editable rich-product state	Only reopen if Plate becomes a Markdown-only editor
architecture:copy-prosemirror-json	github.com/prosemirror/prosemirror-model	properties:flat-schema-owned-fields:source-model	attrs/content/marks is robust but noisier than Plate flat schema-owned fields	Reopen if flat key collisions remain unsolved by schema
architecture:copy-lexical-json	github.com/facebook/lexical	identity:document-version-not-node-version:source-model	Per-node versions and numeric text format optimize Lexical internals, not human/agent JSON DX	Reopen if Plate adopts Lexical runtime nodes
architecture:copy-portable-text	github.com/portabletext/portabletext	text-marks:leaf-properties:source-model	_type/span/marks/markDefs creates reference machinery and weak structural nesting for Plate	Reopen for a Portable Text storage adapter
architecture:copy-blocknote	github.com/typecellos/blocknote	properties:flat-schema-owned-fields:source-model	props/content/children divides one node across three containers and BlockNote narrows structural custom content	Reopen for a block-only product API layer
architecture:copy-editorjs	github.com/codex-team/editor.js	copy-no-standard:hybrid-owner:source-model	Tool-owned data bags lack recursive typed inline/structural grammar	Never for canonical Plate storage
architecture:copy-quill-delta	github.com/slab/quill	copy-no-standard:hybrid-owner:source-model	Linear operations are excellent for OT but poor canonical rich-tree authoring and schema inference	Reopen only for a dedicated Delta codec/collaboration adapter
heading:mdast-depth	github.com/syntax-tree/mdast	heading:one-type-level:source-model	Depth is Markdown vocabulary; ProseMirror, BlockNote, and Slate typed examples use level	Reopen only for the external MDAST tree
architecture:make-plate-unist-native	github.com/ianstormtaylor/slate	slate-unist:text-value-type:proposal	Requires every text leaf to gain type and rename text to value; MDAST still needs mark/tree conversion and Plate already owns traversal	Reopen only if concrete unified utilities remove more machinery than migration and permanent leaf cost
architecture:make-plate-portabletext-native	github.com/ianstormtaylor/slate	slate-portabletext:native-value:proposal	Slate experiment proved native Portable Text conflicts with editor void/selection invariants	Reopen only if Plate adopts a non-text selection model and Portable Text becomes primary storage
architecture:use-block-protocol-as-ast	github.com/blockprotocol/blockprotocol	block-protocol:embedding-not-ast:protocol	Protocol standardizes component/embedder messages and explicitly delegates rich-text representation to host	Never as canonical AST; relevant only to embeddable registry components
architecture:use-mobiledoc	github.com/bustlelabs/mobiledoc-kit	mobiledoc:versioned-flat-document:format	Compact index tables hurt readability/query/migrations and flat sections restrict recursive experiences	Reopen for a legacy Mobiledoc codec
architecture:use-adf-contentful	github.com/contentful/rich-text	vendor-asts:adf-contentful:format	Vendor vocabularies are closed/product-specific and do not provide Plate extension ownership	Reopen for product import/export adapters
architecture:use-myst-pandoc	github.com/jgm/pandoc	conversion-asts:myst-pandoc:format	Conversion IRs optimize renderer coverage, not transaction-local editing or collaboration	Reopen for a universal document conversion package
architecture:use-webannotation-peritext	external/w3c-inkandswitch	annotation-collab:webannotation-peritext:model	They solve annotations/concurrent marks, not structural block grammar	Reopen for annotation serialization or collaboration internals
