check	issue	state	relevant	closureKind	disposition	cluster	matrixKey	owner	proofKind	exactTest	command	title	url	reason
[x]	3	CLOSED	yes	deferred-with-owner	defer	plate-plugin-policy	Plate-owned rich text/plugin/product policy	Deferred outside Slate-v2-only scope	Slate-v2-only ledger defer; Plate/product proof intentionally not used		N/A: deferred outside Slate-v2-only issue closure; do not inspect or patch Plate in this run.	[outline-mentions-plugin] Creates paragraph erroneously upon detecting mention	https://github.com/facebook/lexical/issues/3	Lexical #3 is a mention/combobox product-plugin behavior. User clarified this loop is Slate-v2 only, so Plate-owned rows are deferred instead of patched. Original non-Slate owner: Plate mention/combobox plugin owner. Title: [outline-mentions-plugin] Creates paragraph erroneously upon detecting mention.
[x]	7	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/packages/slate/test/text-units-contract.ts	model text-unit contract	.tmp/slate-v2/packages/slate/test/text-units-contract.ts:292 moves word selection across whitespace-padded soft line boundaries	bun test ./packages/slate/test/text-units-contract.ts --test-name-pattern "moves word selection across whitespace-padded soft line boundaries"	selection: moving word backward and forward doesn't skip space when at the end or start of a block	https://github.com/facebook/lexical/issues/7	Lexical #7 trailing-space word navigation is covered by an exact Slate text-unit contract. Forward from foo| \nbar lands after bar; backward from foo\n |bar lands before foo. Verified focused command.
[x]	8	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/packages/slate/test/transaction-contract.ts	model transaction selection contract	.tmp/slate-v2/packages/slate/test/transaction-contract.ts:1134 moves word selection across formatted middle sibling text leaves	bun test ./packages/slate/test/transaction-contract.ts --test-name-pattern "moves word selection across formatted middle sibling text leaves"	selection: moving word backward/forward on the extremities of text that has siblings is glitchy	https://github.com/facebook/lexical/issues/8	Lexical #8 formatted middle-word sibling-leaf navigation is covered by an exact Slate transaction contract. Forward from after foo-space lands after formatted bar; backward from before baz lands before formatted bar. Verified focused command.
[x]	9	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/packages/slate/test/delete-contract.ts	model text deletion contract	.tmp/slate-v2/packages/slate/test/delete-contract.ts:46 deletes forward over Unicode whitespace before the next word	bun test ./packages/slate/test/delete-contract.ts --test-name-pattern "deletes forward over Unicode whitespace before the next word"	Ensure that all forms of whitespace (en spaces, em spaces, etc) are handled by the backward/forward word delete functions	https://github.com/facebook/lexical/issues/9	Lexical #9 Unicode whitespace forward word deletion is covered by an exact Slate delete contract over plain, tab, newline, no-break, en, em, thin, and ideographic spaces. Verified focused command.
[x]	10	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/packages/slate/test/delete-contract.ts	model text deletion contract	.tmp/slate-v2/packages/slate/test/delete-contract.ts:105 deletes backward by word at the start of the next word without clearing the line	bun test ./packages/slate/test/delete-contract.ts --test-name-pattern "deletes backward by word at the start of the next word without clearing the line"	Delete word backward deletes entire line	https://github.com/facebook/lexical/issues/10	Lexical #10 backward word deletion from before the second word is covered by an exact Slate delete contract. Deleting backward from Hello |World leaves World with the cursor at start. Verified focused command.
[x]	14	CLOSED	yes	covered-by-existing-test	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/packages/slate/test/delete-contract.ts	model text deletion contract	.tmp/slate-v2/packages/slate/test/delete-contract.ts:46 deletes forward over Unicode whitespace before the next word	bun test ./packages/slate/test/delete-contract.ts --test-name-pattern "deletes forward over Unicode whitespace before the next word"	Fatal when deleting word forward before preceding tab	https://github.com/facebook/lexical/issues/14	Lexical #14 tab-specific forward word deletion fatal is covered by the Unicode whitespace delete contract, including the `Hello\tWorld` case at the end of `Hello`. Verified focused command.
[x]	15	CLOSED	no	invalid-skip	skip	docs-release-website	Skip: docs-release-website	N/A	N/A		N/A	Build broken	https://github.com/facebook/lexical/issues/15	Skipped as docs-release-website; no title/label-level portable editor invariant.
[x]	17	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/packages/slate/test/text-units-contract.ts	model grapheme movement/deletion contract	.tmp/slate-v2/packages/slate/test/text-units-contract.ts:375 deletes portable Lexical #7163 Unicode rows by Slate character units; .tmp/slate-v2/packages/slate/test/text-units-contract.ts:382 moves over portable Lexical #7163 Unicode rows by Slate character units	bun test ./packages/slate/test/text-units-contract.ts --test-name-pattern "portable Lexical #7163 Unicode rows by Slate character units"	Delete backward/forward and move backward/forward should operate over whole graphemes	https://github.com/facebook/lexical/issues/17	Lexical #17 whole-grapheme delete and movement is covered by Slate character-unit deletion plus newly added movement contracts for ZWJ emoji, skin-tone emoji, combining marks, flags, keycaps, CJK surrogate pairs, and other grapheme rows. Verified focused command.
[x]	21	CLOSED	yes	test-written	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts	browser model/native caret line-end proof	.tmp/slate-v2/playwright/integration/examples/plaintext.test.ts:297 keeps browser line-end movement within the current block	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/plaintext.test.ts --project=chromium --grep "keeps browser line-end movement within the current block"	End-of-line action should place cursor at end of line, not the beginning of the next one	https://github.com/facebook/lexical/issues/21	Lexical #21 browser line-end movement is covered by a plaintext route proof. From the start of the second block, the browser line-end hotkey moves the model and DOM caret to the end of that same block, not to the next block. Verified focused Chromium command.
[x]	27	CLOSED	yes	covered-by-existing-test	keep-portable	selection-dom-caret	DOM selection, caret, range, focus, and native movement	.tmp/slate-v2/playwright/integration/examples/placeholder.test.ts	browser placeholder/input proof	.tmp/slate-v2/playwright/integration/examples/placeholder.test.ts:242 splits after native typing from the custom placeholder empty state	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/placeholder.test.ts --project=chromium --grep "splits after native typing from the custom placeholder empty state"	Placeholder text does not disappear when single newline is entered	https://github.com/facebook/lexical/issues/27	Lexical #27 single-newline placeholder behavior is covered by an existing custom-placeholder route test: after native typing then one Enter, the editor has ['ab', ''], selection at the new empty block, and placeholder hidden. Verified focused Chromium command.
