package	file	score	line_cov_pct	uncovered_lines	source_lines	status	reasons
media	packages/media/src/lib/image/BaseImagePlugin.ts	10	91.18	3	63	candidate	runtime source, deterministic logic, plugin contract, package priority +2, medium surface
media	packages/media/src/lib/media-embed/transforms/insertMediaEmbed.ts	10	8.00	23	34	candidate	runtime source, deterministic logic, package priority +2, very low coverage
media	packages/media/src/lib/media/insertMedia.ts	10	13.64	19	39	candidate	runtime source, deterministic logic, package priority +2, very low coverage
media	packages/media/src/lib/placeholder/transforms/insertPlaceholder.ts	10	18.75	26	45	candidate	runtime source, deterministic logic, package priority +2, very low coverage
media	packages/media/src/lib/media-embed/parseIframeUrl.ts	9	21.43	11	17	candidate	runtime source, deterministic logic, package priority +2, low coverage
media	packages/media/src/lib/media-embed/parseTwitterUrl.ts	9	21.43	11	19	candidate	runtime source, deterministic logic, package priority +2, low coverage
media	packages/media/src/lib/media-embed/parseVideoUrl.ts	9	41.67	21	43	candidate	runtime source, deterministic logic, package priority +2, low coverage
media	packages/media/src/lib/placeholder/transforms/setMediaNode.ts	9	20.00	4	20	candidate	runtime source, deterministic logic, package priority +2, low coverage
media	packages/media/src/lib/image/utils/isImageUrl.ts	8	100.00	0	133	candidate	runtime source, deterministic logic, package priority +2, medium surface
media	packages/media/src/lib/media-embed/BaseMediaEmbedPlugin.ts	8	72.41	8	41	candidate	runtime source, plugin contract, package priority +2, partial coverage
media	packages/media/src/lib/image/transforms/insertImage.ts	7	100.00	0	21	candidate	runtime source, deterministic logic, package priority +2
media	packages/media/src/lib/image/transforms/insertImageFromFiles.ts	7	95.83	1	34	candidate	runtime source, deterministic logic, package priority +2
media	packages/media/src/lib/image/withImageEmbed.ts	7	95.00	1	32	candidate	runtime source, deterministic logic, package priority +2
media	packages/media/src/lib/image/withImageUpload.ts	7	90.63	3	51	candidate	runtime source, deterministic logic, package priority +2
media	packages/media/src/lib/media/parseMediaUrl.ts	7	91.67	2	47	candidate	runtime source, deterministic logic, package priority +2
media	packages/media/src/lib/BaseAudioPlugin.ts	4	100.00	0	7	candidate	runtime source, plugin contract, package priority +2, already mostly covered
media	packages/media/src/lib/BaseFilePlugin.ts	4	100.00	0	7	candidate	runtime source, plugin contract, package priority +2, already mostly covered
media	packages/media/src/lib/BaseVideoPlugin.ts	4	100.00	0	11	candidate	runtime source, plugin contract, package priority +2, already mostly covered
media	packages/media/src/lib/placeholder/BasePlaceholderPlugin.ts	4	100.00	0	39	candidate	runtime source, plugin contract, package priority +2, already mostly covered
media	packages/media/src/index.ts	0	100.00	0	6	excluded-barrel	barrel export
media	packages/media/src/lib/image/index.ts	0	100.00	0	10	excluded-barrel	barrel export
media	packages/media/src/lib/image/transforms/index.ts	0	100.00	0	7	excluded-barrel	barrel export
media	packages/media/src/lib/image/utils/index.ts	0	100.00	0	6	excluded-barrel	barrel export
media	packages/media/src/lib/index.ts	0	100.00	0	12	excluded-barrel	barrel export
