lead_key	repo_key	source_ref	topic	claim	evidence_grade	novelty	applicability	proof_owner	next_action	status
huge-doc-architecture:virtualized-scroll-stability-contract	local/slate-v2	slate-v2-scroll-tests	huge-document,virtualized,scroll	Route-local virtualized scroll proofs should be named as a first-party browser operation family.	A	2	3	slate-browser	Closed by promoted-ledger.tsv (kept-existing); rerun the recorded focused commands before reopening.	kept-existing
huge-doc-architecture:scroll-anchor-metric-honesty	github/codemirror/view	codemirror-scroll-anchor	huge-document,metrics,scroll	CodeMirror's scroll anchor measurement loop should pressure Slate benchmark artifacts to report anchor drift and settle frames.	A	3	2	slate-ar-perf	Added materialization frame and scroll-delta metrics to browser trace and full wrapper benchmark output.	kept-metric
huge-doc-architecture:selection-endpoint-retention	github/codemirror/view	codemirror-selection-viewports	huge-document,selection,virtualized	Selection endpoints outside the main viewport must be retained or explicitly projected.	A	2	3	slate-browser/slate-react	Added package contract for expanded selection endpoint top-level rows outside a layout-owned visible page window.	kept-contract
huge-doc-architecture:estimated-coordinate-contract	github/codemirror/view	codemirror-coordinate-boundary	huge-document,geometry,coords	Coordinate lookup must state precise-versus-estimated behavior when DOM is missing.	A	3	2	slate-dom/slate-react	Added slate-dom contract: exact DOM APIs return null for virtualized unmounted points/ranges while DOMCoverage returns boundary-aware results.	kept-contract
huge-doc-architecture:big-document-height-scaling	github/codemirror/view	codemirror-big-scaler	huge-document,scroll,height	Large document scroll height may need explicit scaling/anchor discipline at extreme sizes.	B	2	1	slate-ar-perf	Ran 100k/200k virtualized smoke, capped example cache above 50k blocks, kept DOM/materialization green, and routed residual 200k click latency to attribution.	kept-stress
huge-doc:200k-click-selection-attribution	local/slate-v2	browser-trace-root-mousedown	huge-document,click,selection,perf	200k virtualized click latency is a root mousedown projected-drag endpoint owner-scan tax, not selection wait or paint.	A	3	3	slate-react / slate-ar-perf	Added click mouse phase and root mousedown phase metrics, then skipped content-root owner scans for schemas without content-root specs.	kept-runtime
huge-doc:200k-select-all-delete-attribution	local/slate-v2	browser-trace-select-all-delete	huge-document,select-all,delete,history	200k virtualized select-all/delete undo failure is stack-unsafe replace_children replay, not lost history.	A	3	3	slate / slate-react / slate-ar-perf	Added compact select-all/delete phase diagnostics and made bulk child replacement stack-safe.	kept-correctness
huge-doc:200k-delete-history-latency-attribution	local/slate-v2	browser-trace-phase-events	huge-document,select-all,delete,history,typing,perf	200k post-delete typing is mostly native keyboard dispatch/deferred repair cadence, while undo-delete is full snapshot/listener/DOM path sync after restoring 200k children.	A	3	3	slate / slate-react / slate-ar-perf	Kept phase timing instrumentation, quarantined the same-burst insertText no-flush shortcut, and routed next work to publish-cost source research.	kept-measurement-quarantined-runtime-shortcut
huge-doc:200k-scoped-view-selection-projection	local/slate-v2	browser-trace-phase-events	huge-document,selection,projection,perf	200k select-all should project view-selection decorations only for mounted runtime scope plus selection endpoints, not the whole document.	A	3	3	slate-react / slate-ar-perf	Moved view-selection decoration source into EditableTextBlocks, clipped scoped output to mounted runtime ids plus endpoints, and reduced 200k select-all-to-paint from 251.7ms to 31.4ms.	kept-runtime
huge-doc:200k-live-runtime-index-reuse	local/slate-v2	browser-trace-phase-events	huge-document,history,snapshot,index,perf	200k undo-delete should not build the live runtime index again after snapshot construction already traversed the same main-root tree.	A	3	3	slate / slate-react / slate-ar-perf	Seeded the live runtime-index cache from main-root snapshot index construction and reduced 200k undo-delete-to-paint from 1825.6ms to 1524.4ms.	kept-runtime
huge-doc:200k-path-key-index-fast-path	local/slate-v2	browser-trace-phase-events	huge-document,history,snapshot,index,perf	200k snapshot index construction mostly builds zero-, one-, and two-segment path keys in huge flat documents.	B	2	3	slate / slate-ar-perf	Fast-pathed 0/1/2 segment path keys, preserving key format and reducing 200k undo-delete-to-paint from 1524.4ms to 1478.1ms.	kept-runtime
huge-doc:200k-traversal-path-append-fast-path	local/slate-v2	browser-trace-phase-events	huge-document,history,snapshot,index,perf	Explicit loops and path append helpers might reduce 200k snapshot index traversal overhead.	C	1	2	slate / slate-ar-perf	Reverted: strict 200k undo-delete regressed from 1478.1ms to 1507.7ms while snapshot-build-index improved only 727.3ms to 721.5ms.	rejected
huge-doc:core-fragment-delete-history-parity	local/slate-v2	core-huge-document-benchmark	huge-document,api,history,delete,perf	Direct full-document tx.fragment.delete should use the same structural replace_children path as browser delete and selected text replacement.	A	3	3	slate / slate-history / slate-ar-perf	Kept: 5k current-only subscribed history lane dropped from 6197.01ms to 28.11ms, 20k current-only completed at 105.02ms, and focused delete/history/browser parity proof passed.	kept-runtime
huge-doc:cached-snapshot-index-reuse	local/slate-v2	browser-trace-phase-events	huge-document,history,snapshot,index,perf	Caching a full-root replace_children snapshot index by restored operation child-array identity might remove 200k snapshot-build-index without changing public SnapshotIndex shape.	C	2	2	slate / slate-ar-perf	Reverted: snapshot-build-index disappeared, but undo-delete regressed to 1769.4ms and 1750.2ms; post-revert returned to 1524.9ms.	rejected
huge-doc:full-range-child-copy-fast-path	local/slate-v2	browser-trace-phase-events	huge-document,history,replace_children,perf	Full-range replaceChildRange could use newValues.slice() instead of concat scaffolding for huge undo restore.	C	1	2	slate / slate-ar-perf	Reverted: 200k undo-delete traces were 1493.2ms then 1525.2ms and apply-replace_children stayed around 371ms.	rejected
huge-doc:full-root-replace-cached-snapshot-live-index	local/slate-v2	browser-trace-phase-events	huge-document,history,snapshot,index,replace_children,perf	Guarded full-root replace_children history restore can reuse the cached snapshot index only if it also seeds the live runtime-index cache.	B	3	3	slate / slate-history / slate-ar-perf	Kept: focused gates passed; 200k virtualized undo-delete improved from post-revert 1524.9ms to 1425.3ms/1411.0ms, cross-strategy staged/virtualized restored with virtualized 1401.5ms.	kept-runtime
huge-doc:full-root-replace-live-index-preservation	local/slate-v2	browser-trace-phase-events	huge-document,history,snapshot,index,replace_children,perf	Preserving the already-built live runtime index beside the full-root replace_children snapshot index should remove snapshot-to-live-index conversion from 200k history restore.	A	3	3	slate / slate-history / slate-ar-perf	Kept: focused gates passed; fresh 200k virtualized undo-delete improved to 736.3ms, cross-strategy staged/virtualized restored with 931.8ms/748.4ms.	kept-runtime
huge-doc:cached-full-root-restore-dirty-path-fast-path	local/slate-v2	browser-trace-phase-events	huge-document,history,dirty-paths,replace_children,perf	Cached full-root restore operations can dirty only the root path because the restored child array is a known snapshot, avoiding huge precise descendant dirty-path expansion.	A	3	3	slate / slate-history / slate-ar-perf	Kept: focused gates passed; fresh 200k virtualized undo-delete improved to 442.3ms, cross-strategy staged/virtualized restored with 633.6ms/416.7ms and apply-replace_children fell to 0.1ms.	kept-runtime
huge-doc:full-root-replace-snapshot-children-cache	local/slate-v2	browser-trace-phase-events	huge-document,history,snapshot,replace_children,perf	Caching immutable EditorSnapshot.children beside guarded full-root replace_children caches should remove the last large snapshot child clone from 200k history restore.	A	3	3	slate / slate-history / slate-ar-perf	Kept: focused gates passed; fresh 200k virtualized undo-delete improved to 268.9ms, cross-strategy staged/virtualized restored with 460.7ms/254.7ms.	kept-runtime
huge-doc:expanded-view-selection-history-repair-skip	local/slate-v2	browser-trace-phase-events	huge-document,history,projection,selection,perf	History restore of an expanded Slate view selection should not pay DOM caret repair because projected selection owns rendering.	A	3	3	slate-react / slate-ar-perf	Kept: focused contracts and typecheck passed; 200k staged/virtualized restored with 460.1ms/280.5ms and virtualized rerun restored at 244ms with selector/notify around 1ms.	kept-runtime
