source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key
a60db8a232f92ee4b987c14f43f77402885d1a5a:packages/jsondiffpatch/src/filters/arrays.ts	github.com/benjamine/jsondiffpatch	local source matched to HEAD	/Users/zbeyens/git/jsondiffpatch/packages/jsondiffpatch/src/filters/arrays.ts	1,105;190,290	Challenge current comparison contract	Object identity enables same-array move plus nested edits; index patching is not baseline validation.	diff:exact-baseline:atomic-import
a60db8a232f92ee4b987c14f43f77402885d1a5a:packages/jsondiffpatch/src/filters/lcs.ts	github.com/benjamine/jsondiffpatch	local source matched to HEAD	/Users/zbeyens/git/jsondiffpatch/packages/jsondiffpatch/src/filters/lcs.ts	1,115	Challenge current comparison contract	Object identity enables same-array move plus nested edits; index patching is not baseline validation.	diff:exact-baseline:atomic-import
e215757276357b64cf74f536552f3a5ef292fa1a:src/changeset.ts	github.com/prosemirror/prosemirror-changeset	local source matched to HEAD	/Users/zbeyens/git/prosemirror-changeset/src/changeset.ts	1,90;135,165	Challenge current comparison contract	Step-map tracking and display simplification are useful; batching and default mark omission forbid provenance authority.	diff:history-is-not-presentation:provenance
e215757276357b64cf74f536552f3a5ef292fa1a:src/simplify.ts	github.com/prosemirror/prosemirror-changeset	local source matched to HEAD	/Users/zbeyens/git/prosemirror-changeset/src/simplify.ts	1,120	Challenge current comparison contract	Step-map tracking and display simplification are useful; batching and default mark omission forbid provenance authority.	diff:history-is-not-presentation:provenance
dc17ca03e1d68ee729c8cd1ff790ebf96eb0fbec:src/Delta.ts	github.com/slab/delta	local source matched to HEAD	/Users/zbeyens/git/delta/src/Delta.ts	330,440	Challenge current comparison contract	Rich-text attributes and atom payloads remain distinct from text sentinel alignment.	diff:exact-payload:rendered-alternatives
8226c27e074909241d72276c21215505a931665f:src/diff3.mjs	github.com/bhousel/node-diff3	local source matched to HEAD	/Users/zbeyens/git/node-diff3/src/diff3.mjs	330,475	Challenge current comparison contract	Conflict regions preserve alternatives; merged output erases clean branch attribution and deletion review rows.	diff:three-way-review:branch-contributions
dc2088281765e456b3574d230881c5a25ff93481:core/src/main/java/com/github/gumtreediff/matchers/MappingStore.java	github.com/gumtreediff/gumtree	local source matched to HEAD	/Users/zbeyens/git/gumtree/core/src/main/java/com/github/gumtreediff/matchers/MappingStore.java	30,105	Challenge current comparison contract	Separate matching and edit-action synthesis; one-to-one node maps do not supply general span continuity.	diff:content-continuity:composite-effects
dc2088281765e456b3574d230881c5a25ff93481:core/src/main/java/com/github/gumtreediff/actions/ChawatheScriptGenerator.java	github.com/gumtreediff/gumtree	local source matched to HEAD	/Users/zbeyens/git/gumtree/core/src/main/java/com/github/gumtreediff/actions/ChawatheScriptGenerator.java	70,165	Challenge current comparison contract	Separate matching and edit-action synthesis; one-to-one node maps do not supply general span continuity.	diff:content-continuity:composite-effects
dc2088281765e456b3574d230881c5a25ff93481:core/src/main/java/com/github/gumtreediff/matchers/heuristic/gt/GreedyBottomUpMatcher.java	github.com/gumtreediff/gumtree	local source matched to HEAD	/Users/zbeyens/git/gumtree/core/src/main/java/com/github/gumtreediff/matchers/heuristic/gt/GreedyBottomUpMatcher.java	40,125	Challenge current comparison contract	Separate matching and edit-action synthesis; one-to-one node maps do not supply general span continuity.	diff:content-continuity:composite-effects
b9a78df83d48a89961310dde67898dd1b355690e:src/matching.rs	codeberg.org/mergiraf/mergiraf	local source matched to HEAD	/Users/zbeyens/git/mergiraf/src/matching.rs	1,28;82,100	Challenge current comparison contract	One-to-one matchings; schema/language semantics and post-render structural validation matter.	diff:schema-semantics:logical-structure
