repo_key	url	host	license	stars_or_signal	last_activity	topic_tags	local_path	status	score	notes
github.com/yjs/yjs	https://github.com/yjs/yjs	github.com	MIT (LICENSE read); GitHub metadata reported Other	22774	2026-09-07T15:45:45Z	authored-changes	/tmp/plate-authored-research/yjs	focused deep source read; not an exhaustive audit	N/A lead scores only	ref=96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64
github.com/yjs/y-prosemirror	https://github.com/yjs/y-prosemirror	github.com	MIT License	466	2026-09-08T14:45:49Z	authored-changes	/tmp/plate-authored-research/y-prosemirror	focused deep source read; not an exhaustive audit	N/A lead scores only	ref=20f32ad96cb7f117913bde2469dd29b610bd43b1
github.com/yjs/yhub	https://github.com/yjs/yhub	github.com	GNU Affero General Public License v3.0	300	2026-08-31T22:01:03Z	authored-changes	/Users/zbeyens/git/yhub	focused deep source read; not an exhaustive audit	N/A lead scores only	ref=ca33cf4b3d5efee023a6544cc3d7c66b87f28a61
github.com/prosemirror/prosemirror-changeset	https://github.com/ProseMirror/prosemirror-changeset	github.com	MIT License	114	2026-04-01T18:44:11Z	authored-changes	/Users/zbeyens/git/prosemirror-changeset	focused deep source read; not an exhaustive audit	N/A lead scores only	ref=e215757276357b64cf74f536552f3a5ef292fa1a
github.com/handlewithcarecollective/prosemirror-suggest-changes	https://github.com/handlewithcarecollective/prosemirror-suggest-changes	github.com	MIT License	62	2026-08-04T21:02:06Z	authored-changes	/Users/zbeyens/git/prosemirror-suggest-changes	focused deep source read; not an exhaustive audit	N/A lead scores only	ref=653fba70ba29ef6ea6af3ad8d60244a58df7281b
github.com/atypon-opensource/manuscripts-track-changes-plugin	https://github.com/Atypon-OpenSource/manuscripts-track-changes-plugin	github.com	Apache-2.0 source headers; no root license found	13	2026-08-02T11:56:18Z	authored-changes	/Users/zbeyens/git/manuscripts-track-changes-plugin	focused deep source read; not an exhaustive audit	N/A lead scores only	ref=62f4d19dda4c2d41afa5d9fdecea840fb6bfb0be
github.com/automerge/automerge	https://github.com/automerge/automerge	github.com	MIT License	6582	2026-09-10T13:01:59Z	authored-changes	/Users/zbeyens/git/automerge	focused deep source read; not an exhaustive audit	N/A lead scores only	ref=1618c976ca23fca8282c4a69ebbb0bb0c3f27ab1
github.com/loro-dev/loro	https://github.com/loro-dev/loro	github.com	MIT License	6131	2026-09-10T05:41:26Z	authored-changes	/Users/zbeyens/git/loro	focused deep source read; not an exhaustive audit	N/A lead scores only	ref=d5da57dd2a91d735656808cbbe2a3f1c755c2441
github.com/superdoc/docx-editor	https://github.com/superdoc/docx-editor	github.com	GNU Affero General Public License v3.0	1031	2026-09-10T06:20:13Z	authored-changes	/Users/zbeyens/git/docx-editor	focused deep source read; not an exhaustive audit	N/A lead scores only	ref=cabf6fae68167efa98eeec13ec11bdb0461fb674
github.com/ckeditor/ckeditor5	https://github.com/ckeditor/ckeditor5	github.com	Other	10492	2026-09-10T09:14:43Z	authored-changes	/Users/zbeyens/git/ckeditor5	bounded core or official-docs screening	N/A lead scores only	ref=14e73cc31b869ce483bd8449f40b9102ac7746da
github.com/ueberdosis/tiptap	https://github.com/ueberdosis/tiptap	github.com	MIT License	38337	2026-09-08T07:43:23Z	authored-changes	/Users/zbeyens/git/tiptap	bounded core or official-docs screening	N/A lead scores only	ref=91c51be53c4655ef07e29ec489471524debfa0ca
github.com/facebook/lexical	https://github.com/facebook/lexical	github.com	MIT License	23843	2026-09-10T02:39:19Z	authored-changes	/Users/zbeyens/git/lexical	bounded core or official-docs screening	N/A lead scores only	ref=dd5c41b13193efa9ab1574234d8593d2c9e4f988
github.com/slab/quill	https://github.com/slab/quill	github.com	"BSD 3-Clause ""New"" or ""Revised"" License"	47336	2025-07-25T06:09:23Z	authored-changes	/Users/zbeyens/git/quill	bounded core or official-docs screening	N/A lead scores only	ref=539cbffd0a13b18e9c65eb84dd35e6596e403158
github.com/fiduswriter/fiduswriter	https://github.com/fiduswriter/fiduswriter	github.com	GNU Affero General Public License v3.0	565	2026-09-10T08:52:22Z	authored-changes		metadata screened only	N/A lead scores only	ref=not cloned
developers.google.com/workspace/docs	https://developers.google.com/workspace/docs/api/how-tos/suggestions	developers.google.com	proprietary; public docs	primary behavior target	retrieved 2026-09-10	Google Docs behavior		docs read	N/A	No proprietary storage claim
