source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key	scope_id	review_id	source_revision	source_fingerprint	checked_at
mode-host	local/plate-2	source	packages/plitejs/src/react/components/editable-text-blocks.tsx	1450-1620;2010-2185;2375-2460	Mode/host transition and generic wrappers	Mode component changes host; no composing-root input to viewport plan	rendering:stable-active-dom:identity	large-documents	2026-09-12-large-documents-deep-contract	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	a36ad96a433c444aaa6d874e3ad0a164767be8b2cac13c0e47ceab71588a22ae	2026-09-11T21:53:04.055294+00:00
group-keys	local/plate-2	source	packages/plitejs/src/react/components/editable-root-groups.ts	340-405	Retained child identity	Group key changes with viewport endpoints	rendering:stable-active-dom:identity	large-documents	2026-09-12-large-documents-deep-contract	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	8933a70333b16ec5699d65ecd5d19ad376e31a98c77040c0688afbaad323ca21	2026-09-11T21:53:04.055294+00:00
mode-default	local/plate-2	source	packages/plitejs/src/react/components/editable-dom-strategy-helpers.ts	1-130	Default and thresholds	Auto enables partial DOM at 1000; virtual numeric inputs clamp	rendering:explicit-omission:contract	large-documents	2026-09-12-large-documents-deep-contract	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	0b0439a16c235afe78eb95cdc0d5ec83ece00ad8cd56a130535de2c0d5d9a2be	2026-09-11T21:53:04.055294+00:00
virtual-plan	local/plate-2	source	packages/plitejs/src/react/dom-strategy/use-virtualized-root-plan.ts	1-118;185-321;340-714	Selection/size/page ownership	Supplied page window still passes through maps/TanStack/full extent reduction	pagination:one-canvas:projection	large-documents	2026-09-12-large-documents-deep-contract	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	8d38858ff619515e7558250dab82670318e78d0db4775799a741c95aa7e1b5fa	2026-09-11T21:53:04.055294+00:00
page-runtime	local/plate-2	source	packages/plitejs/src/pagination/react.tsx	1-150;200-335;345-530;620-1050	Page geometry and viewport permissions	Unit filtering can activate without virtual mode; pagination already owns spatial projection	pagination:explicit-unit-window:coverage	large-documents	2026-09-12-large-documents-deep-contract	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	23b55ba009b88522b37ca6ebe5648a1ce7b89882f26b3242a1b00df433817991	2026-09-11T21:53:04.055294+00:00
page-mount-plan	local/plate-2	source	packages/plitejs/src/pagination/page-mount-plan.ts	1-230	Canonical existing mount owner	Visible selection scans items; composing helper only used by tests	pagination:one-canvas:projection	large-documents	2026-09-12-large-documents-deep-contract	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	45236c35def3e7278e2adeea9fc9fbbfa949970611fe0f010198a3951003e97c	2026-09-11T21:53:04.055294+00:00
page-renderer	local/plate-2	source	apps/www/src/app/(app)/examples/plite/_examples/pagination.tsx	1063-1375;1890-1910;2040-2085	Actual layout/metrics consumer	Canvas coordinates translated back from generic virtual rows; filtered units omit children	pagination:one-canvas:projection	large-documents	2026-09-12-large-documents-deep-contract	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	f9f80fac092f8711699139c442fe07be2370814fb9af1770e874a496542a8582	2026-09-11T21:53:04.055294+00:00
clipboard-runtime	local/plate-2	source	packages/plitejs/src/dom/plugin/dom-clipboard-runtime.ts	335-570	Mixed copy policy algebra	Any model boundary chooses whole model slice; exclude not subtracted	coverage:mixed-copy-policies:clipboard	large-documents	2026-09-12-large-documents-deep-contract	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	a269613b5b8bd1535d0639d3052f24d254be047274be2c06d1805211e56dcc92	2026-09-11T21:53:04.055294+00:00
coverage-owner	local/plate-2	source	packages/plitejs/src/dom/plugin/dom-coverage.ts	38-110;550-585;materialize registration/source census	Root-local behavior and policy types	Coverage is view-local and materialization acceptance is distinct from mounted DOM	coverage:committed-materialization:lifecycle	large-documents	2026-09-12-large-documents-deep-contract	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	ebd6b6beb74367e1529aa3df6b6e5f7d017388f265f4ccc14eb258d277e80c28	2026-09-11T21:53:04.055294+00:00
boundary-component	local/plate-2	source	packages/plitejs/src/react/components/dom-coverage-boundary.tsx	1-195	Registration phase and callback semantics	Layout effects register view-local boundary and handler	coverage:committed-materialization:lifecycle	large-documents	2026-09-12-large-documents-deep-contract	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	5fdcfa7110bb2832323101877ceb07e7836276c00338a46e885f75c89a119f34	2026-09-11T21:53:04.055294+00:00
root-runtime	local/plate-2	source	packages/plitejs/src/dom/plugin/dom-root-runtime.ts	135-186	Multiple view routing	Use focused root, or sole mounted root; ambiguous unmounted focus returns null	rendering:stable-active-dom:identity	large-documents	2026-09-12-large-documents-deep-contract	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	6dca56d542d45d8e6d16b1c4743b75be682ba2a9ace1a7bcc01f2736745dc844	2026-09-11T21:53:04.055294+00:00
react-root-state	local/plate-2	source	packages/plitejs/src/react/editable/runtime-root-state.ts	1-105	Runtime lifetime	One memoized runtime per editor; committed effect updates strategy	rendering:stable-active-dom:identity	large-documents	2026-09-12-large-documents-deep-contract	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	e5399ae99a82519bbf77de6d5ab2e362c7675c4e81a13803c8f1035d16425c1f	2026-09-11T21:53:04.055294+00:00
metrics-truth	local/plate-2	source	packages/plitejs/src/react/components/editable.tsx	108-130;metrics source census	Public native completeness	External text overrides completeness; boundary count does not change completeness	coverage:metrics-not-capabilities:diagnostics	large-documents	2026-09-12-large-documents-deep-contract	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	81e92717f44cd2bd665a428a4f1673bcdb1ac1bddc392ee8f47d7cc8abab17d6	2026-09-11T21:53:04.055294+00:00
