source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key
react-compiler-1.0	react.dev	official announcement	https://react.dev/blog/2025/10/07/react-compiler-1	2025-10-07	current compiler contract	Memoization can improve React work; production author reports are not local gains. Effects must not depend on incidental cache identity.	compiler:snapshot-reactivity:compiler-purity
vscode-buffer-post	github.com/microsoft/vscode	official engineering post	https://code.visualstudio.com/blogs/2018/03/23/text-buffer-reimplementation	2018-03-23	large-text technique	Subtree aggregates and buffer line starts avoid large line arrays; hot read allocation and boundary costs can erase edit wins.	text:read-amplification:allocation
cm-system-guide	github.com/codemirror/view	official documentation	https://codemirror.net/docs/guide/	Viewport; Update Cycle	virtualization contract	Visible ranges bound DOM work; geometry outside rendered content is unavailable; reads and writes use separate phases.	virtualization:visible-range-work:native-coverage
slate-performance-guide	github.com/ianstormtaylor/slate	official documentation	https://docs.slatejs.org/walkthroughs/09-performance	Reduce Renders; Enable Chunking; Optimizing DOM Painting	fair Slate baseline	Chunking and content visibility are different strategies; the registered full-DOM comparison omitted required root chunking.	rendering:chunk-on-baseline:comparability
prosekit-local-use-editor	github.com/prosekit/prosekit	source	../prosekit/packages/react/src/hooks/use-editor.ts	1-59	React Compiler observability	useEditor update mode returns a stable mutable editor and explicitly cannot provide compiler-reactive reads; derived values are the required alternative.	compiler:snapshot-reactivity:compiler-purity
wordgard-local-keymap	code.haverbeke.berlin/wordgard/wordgard	source	../wordgard/src/editor/keymap.ts	97-110;185-193	preflight failure cause	Earlier Mod-Arrow word bindings collide with later Mac Cmd-Arrow line bindings; exact native oracles fail in both directions.	input:keymap-precedence:platform-navigation
react-official-selector	github.com/facebook/react	source	../react/packages/use-sync-external-store/src/useSyncExternalStoreWithSelector.js	1-135	Concurrent selector state	Memo state is local to one hook instance; selection commits after render	E06
zustand-selector	github.com/pmndrs/zustand	source	../zustand/src/traditional.ts	20-58	Canonical selector reuse	Delegates equality selection to official external-store adapter	E06
jotai-atom-observation	github.com/pmndrs/jotai	source	../jotai/src/react/useAtomValue.ts	110-185	Dependency-local subscription	Value/store/atom equality and explicit subscription; no case for second editor truth	E11
prosekit-derived-value	github.com/prosekit/prosekit	source	../prosekit/packages/react/src/hooks/use-editor-derived-value.ts	1-80	Observable Compiler value	Dirty derived snapshot differs from stable mutable editor hook	E06
plite-selector-owner	local/plate-2	source	packages/plitejs/src/react/hooks/use-generic-selector.tsx	1-165	Current concurrent selector law	Committed selector/equality and version snapshots explain semantic no-memo boundary	E06
plite-node-selector	local/plate-2	source	packages/plitejs/src/react/hooks/use-node-selector.tsx	1-310	Real node reader	Current keyed event source and already-synced text skip are controls	E01 E02 E06
virtual-root-plan	local/plate-2	source	packages/plitejs/src/react/dom-strategy/use-virtualized-root-plan.ts	1-718	Virtualization ownership	Hidden node-key arrays copied but boundary consumer uses only endpoints	E19 E23
virtual-page-plan	local/plate-2	source	packages/plitejs/src/pagination/page-mount-plan.ts	1-216	Visibility and retention	Full item filter; ordering/overlap law needed before indexed lookup	E20
codemirror-view-state	github.com/codemirror/view	source	../codemirror-view/src/viewstate.ts	1-210; viewport/printing sites	Bounded viewport mechanisms	Height model, extra selection viewports, long-line gaps and print policy differ	E22
code-drawing-demand	local/plate-2	source	apps/www/src/registry/components/editor/code-drawing.tsx	1-250	Check hidden work against real consumers	Effect ignores view, but Export still needs image in code view; demand experiment must preserve export	E05
compiler-runtime-owners	local/plate-2	source	react-compiler-diagnostic-dispositions.json	322 event rows	Every diagnostic disposition	Toolchain limitations and semantic lifetime boundaries remain separate	E06 E15 E23
sanity-current-oxc	sanity.io	official documentation	https://www.sanity.io/docs/help/react-compiler	229-394	Current Compiler pipeline lead	Experimental Oxc, custom JSX and TS-lint coverage constraints; no local runtime gain claim	E15
react-current-debugging	react.dev	official documentation	https://react.dev/learn/react-compiler/debugging	19-81	Correctness versus compile coverage	Skips and memoization-dependent runtime behavior need different responses	E06
decoration-owner-cost	local/plate-2	source and benchmark	packages/plitejs/src/react/decoration-source.ts	554-1405	Current owner scale failure	Deterministic benefits remain while mount/update budgets fail in large sources	E26
