lead_key	repo_key	source_ref	topic	claim	evidence_grade	novelty	applicability	proof_owner	next_action	status	impact	proofability	risk	score	scope_id	review_id	source_revision	source_fingerprint	checked_at
docx-content-authority	plate;superdoc	plate:packages/platejs/src/docx/import/lib/importDocx.ts	documents conversion law	An unverified native sidecar silently replaces edited Word content; remove competing authority.	A	3	3	Task design plan documents	DOCX-AUTHORITY	promoted	3	3	1	11	documents	2026-09-14-documents-oss-fidelity-review	multiple; see source-manifest.json and read-log.tsv	0731b322041bff25868290522c56f6554fbe368e256653a6a46f18a8dd63837e	2026-09-14
docx-single-snapshot	plate	plate:packages/platejs/src/docx/export/lib/authoredDocx.ts	documents conversion law	All exported Word/native parts must derive from one captured document.	A	3	3	Task design plan documents	DOCX-AUTHORITY	promoted	3	3	0	12	documents	2026-09-14-documents-oss-fidelity-review	multiple; see source-manifest.json and read-log.tsv	0731b322041bff25868290522c56f6554fbe368e256653a6a46f18a8dd63837e	2026-09-14
single-format-owner	plate;docx	shards/plate-audit.md	documents conversion law	Remove duplicate literal review schema interpretation and use canonical before/after properties.	A	2	3	Task design plan documents	DOCX-CONVERSION	promoted	3	3	1	10	documents	2026-09-14-documents-oss-fidelity-review	multiple; see source-manifest.json and read-log.tsv	0731b322041bff25868290522c56f6554fbe368e256653a6a46f18a8dd63837e	2026-09-14
semantic-projection	mammoth;html-to-docx;pandoc	source-manifest.json	documents conversion law	Semantic conversion intentionally discards information; warnings do not certify fidelity.	A	2	3	Task design plan documents	DOCX-CONVERSION	promoted	3	3	1	10	documents	2026-09-14-documents-oss-fidelity-review	multiple; see source-manifest.json and read-log.tsv	0731b322041bff25868290522c56f6554fbe368e256653a6a46f18a8dd63837e	2026-09-14
direct-ooxml	docx;plate	docx:src/file/paragraph/run/comment-run.ts	documents conversion law	Direct OOXML can encode comment ranges and revision metadata; compare against configured HTML before selecting implementation.	A	2	3	Task design plan documents	DOCX-CONVERSION	promoted	3	2	2	8	documents	2026-09-14-documents-oss-fidelity-review	multiple; see source-manifest.json and read-log.tsv	0731b322041bff25868290522c56f6554fbe368e256653a6a46f18a8dd63837e	2026-09-14
explicit-projections	pandoc;superdoc;plate	shards/pandoc-preview.md	documents conversion law	Name requested review projection and diagnose unsupported or lossy conversion in one file-result contract.	A	2	3	Task design plan documents	DOCX-CONVERSION	promoted	3	3	1	10	documents	2026-09-14-documents-oss-fidelity-review	multiple; see source-manifest.json and read-log.tsv	0731b322041bff25868290522c56f6554fbe368e256653a6a46f18a8dd63837e	2026-09-14
paste-evidence-before-cleanup	ckeditor;plate	shards/ckeditor-superdoc.md	documents conversion law	Preserve supported images/list identity before cleanup; assert normalized fragment and final inserted state separately.	A	2	3	Task design plan documents / Verify Plate	DOCX-PASTE	promoted	3	3	1	10	documents	2026-09-14-documents-oss-fidelity-review	multiple; see source-manifest.json and read-log.tsv	0731b322041bff25868290522c56f6554fbe368e256653a6a46f18a8dd63837e	2026-09-14
docx-complete-operation-scale	plate	plate:packages/platejs/src/docx/import/lib/importDocx.ts	documents conversion law	Measure entire tracked-document conversion against revision count before accepting a replacement runtime.	A	2	3	Benchmark within Task documents	DOCX-SCALE	promoted	3	3	1	10	documents	2026-09-14-documents-oss-fidelity-review	multiple; see source-manifest.json and read-log.tsv	0731b322041bff25868290522c56f6554fbe368e256653a6a46f18a8dd63837e	2026-09-14
retention-is-not-editing	docx-preview;pandoc;docx	shards/pandoc-preview.md	documents conversion law	ZIP retention, template patching, preview and editor export are different jobs.	A	1	3	Task design plan documents	DOCX-BOUNDARIES	no-code decision	3	2	1	8	documents	2026-09-14-documents-oss-fidelity-review	multiple; see source-manifest.json and read-log.tsv	0731b322041bff25868290522c56f6554fbe368e256653a6a46f18a8dd63837e	2026-09-14
package-authority	superdoc	shards/ckeditor-superdoc.md	documents conversion law	Current v2 OOXML authority is a public integration claim; proprietary engine internals cannot serve as inspected OSS evidence.	A	2	2	Research only if actual implementation evidence becomes available	none	deferred	3	1	2	6	documents	2026-09-14-documents-oss-fidelity-review	multiple; see source-manifest.json and read-log.tsv	0731b322041bff25868290522c56f6554fbe368e256653a6a46f18a8dd63837e	2026-09-14
