repo_key	url	host	license	stars_or_signal	last_activity	topic_tags	local_path	status	score	notes	source_revision	source_fingerprint	checked_at
github.com/udecode/plate	https://github.com/udecode/plate	github.com	MIT	Owning implementation and tests	2026-09-21	annotation;anchor;decoration;multi-view	/Users/zbeyens/git/plate-2	inspected-working-tree	not-scored	Current Plite/Plate source; product code unchanged by this research.	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
github.com/prosemirror/prosemirror-state	https://github.com/ProseMirror/prosemirror-state	github.com	MIT	Primary implementation and tests	2026-04-01	bookmark;plugin-state;mapping	/Users/zbeyens/git/prosemirror-state	inspected-current-local	not-scored	Local HEAD matched observed upstream ref.	ffad5d9450a0b93438be53a801deee1a223a81bf	ffad5d9450a0b93438be53a801deee1a223a81bf	2026-09-21
github.com/prosemirror/prosemirror-view	https://github.com/ProseMirror/prosemirror-view	github.com	MIT	Primary implementation and tests	2026-04-01	decoration;persistent-tree;projection	/Users/zbeyens/git/prosemirror-view	inspected-current-local	not-scored	Local HEAD matched observed upstream ref.	ca4c78e9b56f1b164c0b3758b59d8748f11b7534	ca4c78e9b56f1b164c0b3758b59d8748f11b7534	2026-09-21
github.com/facebook/lexical	https://github.com/facebook/lexical	github.com	MIT	Primary implementation and playground consumer	2026-09-18	comments;marks;dirty-nodes	/Users/zbeyens/git/lexical	inspected-tracking-ref	not-scored	Decision-critical files read with git show origin/main because the checkout diverges.	83e8b4925c6c4f5ecb884036bdfaa2c1a0bb2349	83e8b4925c6c4f5ecb884036bdfaa2c1a0bb2349	2026-09-21
github.com/ckeditor/ckeditor5	https://github.com/ckeditor/ckeditor5	github.com	GPL-2.0-or-later OR commercial	Primary model/view marker implementation	2026-09-21	live-range;marker;mapper;renderer	/Users/zbeyens/git/ckeditor5	inspected-tracking-ref	not-scored	Decision-critical files read with git show origin/master; commercial Comments source absent.	88b9d8b04d1322a4ec62aae26d341eefa3d0da09	88b9d8b04d1322a4ec62aae26d341eefa3d0da09	2026-09-21
github.com/codemirror/state	https://github.com/codemirror/state	github.com	MIT	Primary RangeSet implementation	2026-04-15	range-set;persistent-tree;mapping	/Users/zbeyens/git/codemirror-state	inspected-current-local	not-scored	Fresh clone for this research; official docs corroborated behavior.	9c801279cb83011e6f92af778f4443406e8f1200	9c801279cb83011e6f92af778f4443406e8f1200	2026-09-21
github.com/codemirror/view	https://github.com/codemirror/view	github.com	MIT	Primary view decoration implementation	2026-04-15	decoration;viewport;view-lifetime	/Users/zbeyens/git/codemirror-view	inspected-current-local	not-scored	Local HEAD matched observed upstream ref.	fbff59ba004d80d8c914f64c42586387b08706ac	fbff59ba004d80d8c914f64c42586387b08706ac	2026-09-21
github.com/microsoft/monaco-editor	https://github.com/microsoft/monaco-editor	github.com	MIT	Public model-decoration API	2026-08-27	decoration;multi-editor;owner-id	/Users/zbeyens/git/monaco-editor	inspected-tracking-ref	not-scored	Fresh Monaco delegates the editor core to a pinned VS Code object.	d620ca0c03d24a51c05ae4dca8a9d5923a4aeb9c	d620ca0c03d24a51c05ae4dca8a9d5923a4aeb9c	2026-09-21
github.com/microsoft/vscode	https://github.com/microsoft/vscode	github.com	MIT	Monaco editor-core implementation at delegated pin	2026-06-25	interval-tree;viewport;decoration	/Users/zbeyens/git/vscode	inspected-pinned-object	not-scored	Decision-critical Monaco interval and view source inspected at the delegated commit.	f487add297079a02eb836810185b165e50cadabc	f487add297079a02eb836810185b165e50cadabc	2026-09-21
github.com/yjs/yjs	https://github.com/yjs/yjs	github.com	MIT	Primary CRDT position implementation and tests	2026-09-07	relative-position;batch-resolution;renderer	/Users/zbeyens/git/yjs	inspected-tracking-ref	not-scored	Current tracking ref inspected because RelativePosition, renderer and batch helpers changed after local HEAD.	96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64	96c96e1fcb1ef6ce866d5264b3f97f7f77b11f64	2026-09-21
github.com/automerge/automerge	https://github.com/automerge/automerge	github.com	MIT	Primary CRDT cursor and mark implementation	2026-09-16	cursor;mark;collaboration	/Users/zbeyens/git/automerge	inspected-tracking-ref	not-scored	Current tracking ref inspected; relevant semantics unchanged by the small local lag.	4d2a8f6bfecfb7f1e4fca126e6d2122ac526f903	4d2a8f6bfecfb7f1e4fca126e6d2122ac526f903	2026-09-21
github.com/slab/quill	https://github.com/slab/quill	github.com	BSD-3-Clause	Flat Delta position baseline	2025-07-25	delta;selection;history	/Users/zbeyens/git/quill	inspected-local	not-scored	Sampled as a rejection boundary, not as a tree annotation candidate.	539cbffd0a13b18e9c65eb84dd35e6596e403158	539cbffd0a13b18e9c65eb84dd35e6596e403158	2026-09-21
tiptap-comments-docs	https://tiptap.dev/docs/comments/getting-started/overview	tiptap.dev	Proprietary extension; docs reference only	Current product documentation	2026-09-21	comments;thread;inline-mark		official-docs-only	not-scored	Private implementation supplies product-shape evidence only; no source or performance claim.	web-current-2026-09-21	https://tiptap.dev/docs/comments/getting-started/overview	2026-09-21
