source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key	scope_id	review_id	source_revision	source_fingerprint	checked_at
local:anchor-state	github.com/udecode/plate	source	packages/plitejs/src/core/anchor-state.ts	124-136,259-320,1044-1135,1254-1346	Central retained-anchor routing and metrics.	One central listener index already limits ordinary work to changed node keys and affected anchors.	annotation:mapping-kernel:targeted	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
local:anchor	github.com/udecode/plate	source	packages/plitejs/src/core/anchor.ts	354-505,1378-1696	Deletion, authored binding, history and release semantics.	Keep scalar public resolution and settle terminal local drop versus recoverable nearest.	annotation:deletion:policy	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
local:annotation-store	github.com/udecode/plate	source	packages/plitejs/src/annotations/store.ts	24-31,137-183,227-446	Exact-view mapping, candidate refresh and public surface.	Per-view node-key index is justified; borrowed target needs resolve only.	annotation:ownership:four-lifetimes	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
local:stable-source	github.com/udecode/plate	source	packages/plitejs/src/internal/view/stable-id-mapped-source.ts	100-295,596-760	Immutable snapshot and keyed-output kernel.	The private trie earns measurement, not a public abstraction or an unmeasured rewrite.	annotation:snapshot-kernel:benchmark	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
local:stable-tests	github.com/udecode/plate	test	packages/plitejs/test/react/stable-id-mapped-source.test.ts	116-200	Current complexity evidence.	10k bounded-copy tests are useful but do not establish wall-time or retained-heap superiority.	annotation:snapshot-kernel:benchmark	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
local:comments	github.com/udecode/plate	source	packages/platejs/src/features/comments/BaseCommentsPlugin.ts	760-850	Current Comments target policy and per-view consumers.	Comments uses nearest and external records; terminal drop is not its durable-target policy.	annotation:deletion:policy	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
local:view-lifetime	github.com/udecode/plate	source	packages/plitejs/src/core/editor-view-lifetime.ts	1-29	Mounted-view cleanup owner.	Explicit per-view cleanup is the correct ownership boundary.	annotation:view:lifetime	annotations	2026-09-21-annotations-oss-validation	working-tree@b812e914ea86041cd131beee6c7a183c1e1024ca	d27e9e326048b7c293a087a4225445625e2e99ba2b825c170f4db1855d98a6c4	2026-09-21
pm:decorations	github.com/prosemirror/prosemirror-view	source	src/decoration.ts	265-452,568-653	Persistent mapped decoration collection.	Reuse untouched child structure and project by child, but do not merge semantic target with paint.	annotation:mapping-kernel:collection	annotations	2026-09-21-annotations-oss-validation	ca4c78e9b56f1b164c0b3758b59d8748f11b7534	ca4c78e9b56f1b164c0b3758b59d8748f11b7534	2026-09-21
pm:bookmark	github.com/prosemirror/prosemirror-state	source	src/selection.ts	195-203,309-318	Bookmark mapping and resolution.	Mapping and later resolution can remain separate; nearest fallback is an explicit resolver decision.	annotation:deletion:policy	annotations	2026-09-21-annotations-oss-validation	ffad5d9450a0b93438be53a801deee1a223a81bf	ffad5d9450a0b93438be53a801deee1a223a81bf	2026-09-21
lexical:mark	github.com/facebook/lexical	source	packages/lexical-mark/src/MarkNode.ts	33-167	Document-resident attachment identity.	Useful split from thread records, but document marks are the wrong default owner for Plate Comments targets.	annotation:ownership:four-lifetimes	annotations	2026-09-21-annotations-oss-validation	83e8b4925c6c4f5ecb884036bdfaa2c1a0bb2349	83e8b4925c6c4f5ecb884036bdfaa2c1a0bb2349	2026-09-21
lexical:comments	github.com/facebook/lexical	source	packages/lexical-playground/src/plugins/CommentPlugin/index.tsx	730-905	Playground thread store, mark cleanup and active-ID indexing.	External metadata is sound; document mutation listeners and async cleanup are not a cleaner reusable engine.	annotation:ownership:four-lifetimes	annotations	2026-09-21-annotations-oss-validation	83e8b4925c6c4f5ecb884036bdfaa2c1a0bb2349	83e8b4925c6c4f5ecb884036bdfaa2c1a0bb2349	2026-09-21
lexical:updates	github.com/facebook/lexical	source	packages/lexical/src/LexicalUpdates.ts	294-399	Dirty-node transform scheduling.	Dirty ownership supports targeted invalidation instead of whole-source rescans.	annotation:mapping-kernel:targeted	annotations	2026-09-21-annotations-oss-validation	83e8b4925c6c4f5ecb884036bdfaa2c1a0bb2349	83e8b4925c6c4f5ecb884036bdfaa2c1a0bb2349	2026-09-21
cm:rangeset	github.com/codemirror/state	source	src/rangeset.ts	1-36,95-159,182-319,338-356	Chunked immutable mapping and shared comparison.	A strong private kernel candidate; nonempty deletion semantics do not replace anchors.	annotation:mapping-kernel:collection	annotations	2026-09-21-annotations-oss-validation	9c801279cb83011e6f92af778f4443406e8f1200	9c801279cb83011e6f92af778f4443406e8f1200	2026-09-21
cm:decoration	github.com/codemirror/view	source	src/decoration.ts	166-257	RangeSet-backed paint.	Paint benefits from collection mapping, but semantic identity remains separate.	annotation:paint:view-local	annotations	2026-09-21-annotations-oss-validation	fbff59ba004d80d8c914f64c42586387b08706ac	fbff59ba004d80d8c914f64c42586387b08706ac	2026-09-21
