source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key
prosemirror-view-domchange	prosemirror/prosemirror-view	source	/Users/zbeyens/git/prosemirror-view/test/webtest-domchange.ts	1-220	DOM import oracle shape	Mutates text nodes, paragraphs, nested markup, and selection directly, flushes observer, asserts document and selection.	dom-diff-import:direct-dom-mutation-browser-oracle
codemirror-view-domchange	codemirror/view	source	/Users/zbeyens/git/codemirror-view/test/webtest-domchange.ts	1-220	DOM import oracle shape	Tests direct text/contentDOM mutations, ambiguous backspace, large insertions, prefix/suffix replacement, CRLF, DOM node preservation, widgets.	dom-diff-import:direct-dom-mutation-browser-oracle
codemirror-view-composition	codemirror/view	source	/Users/zbeyens/git/codemirror-view/test/webtest-composition.ts	1-220	Composition oracle shape	Simulates compositionstart/update/end through DOM text mutations and preserves selection/decorations/widgets around composition.	dom-diff-import:direct-dom-mutation-browser-oracle
lexical-test-recorder	facebook/lexical	source	/Users/zbeyens/git/lexical/packages/lexical-playground/src/plugins/TestRecorderPlugin/index.tsx	1-220	Replay/recorder shape	Records click/press/type/selectAll/snapshot steps and emits test code with HTML and selection assertions.	replay-recorder:browser-step-selection-snapshot
lexical-safari-ime-delete	facebook/lexical	source	/Users/zbeyens/git/lexical/packages/lexical-playground/__tests__/regression/8153-safari-ime-delete-selection.spec.mjs	1-120	IME regression pressure	WebKit-only compositionend-before-keydown then Cmd+A or Shift+Arrow delete regression.	ime-policy:safari-compositionend-delete-selection
lexical-fast-typing-undo	facebook/lexical	source	/Users/zbeyens/git/lexical/packages/lexical-playground/__tests__/regression/1055-fast-typing-undo.spec.mjs	1-80	Undo regression pressure	Typing after undo must create a new undo stack entry and undo back to empty.	replay-recorder:browser-step-selection-snapshot
lexical-html-copy-paste	facebook/lexical	source	/Users/zbeyens/git/lexical/packages/lexical-playground/__tests__/e2e/CopyAndPaste/html/HTMLCopyAndPaste.spec.mjs	1-220	Clipboard oracle shape	HTML paste tests assert normalized text, code block BR conversion, HR insertion, selection, and innerText preservation.	clipboard-html:structured-html-paste-selection
slate-generated-stress	slate-v2-local	source	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	1-1329	Current Slate coverage	Generated stress covers replayable action sequences, paste, undo, selection, IME, voids, tables, overlays, huge-document cut, and now direct DOM text mutation import.	replay-recorder:browser-step-selection-snapshot
slate-browser-replay	slate-v2-local	source	.tmp/slate-v2/packages/slate-browser/src/playwright/index.ts	2600-2765	Current Slate coverage	Slate has replay serialization and replayability classification for browser stress steps.	replay-recorder:browser-step-selection-snapshot
slate-dom-repair	slate-v2-local	source	.tmp/slate-v2/packages/slate-react/test/dom-repair-policy-contract.test.ts	1-280	Current Slate coverage	Unit-level DOM repair policy existed before P117, but this packet added route-level direct DOM-mutation import stress.	dom-diff-import:direct-dom-mutation-browser-oracle
slate-webkit-compositionend-delete	slate-v2-local	source	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts	2182,2236	Current Slate coverage	Exact WebKit compositionend delete rows cover select-all Backspace and Shift+ArrowUp Backspace after compositionend.	ime-policy:safari-compositionend-delete-selection
