source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key	scope_id	review_id	source_revision	source_fingerprint	checked_at
plate:docx-import-contract	plate	local-source	/Users/zbeyens/git/plate-2/packages/platejs/src/docx/import/lib/importDocx.ts	1248-1313	Recheck the adopted import authority before proposing retained source.	Successful import returns one complete document with comments and diagnostics; package bytes are not retained after conversion.	docx:explicit-retained-source-artifact:architecture	documents	2026-09-15-documents-retained-source-reassessment	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	85909f8b8b5da7f180d1a1b3317609c6892cdbf7b88331da114547058ff617ef	2026-09-15
plate:docx-export-contract	plate	local-source	/Users/zbeyens/git/plate-2/packages/platejs/src/docx/export/lib/exportToDocx.tsx	277-346	Recheck export capture, projection and result ownership.	Export captures one editor snapshot, requires a projection and generates a new DOCX package with structured diagnostics.	docx:source-bound-preservation-modes:api	documents	2026-09-15-documents-retained-source-reassessment	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	7ee24bae70f0d937d35dfc36c4da3f0c4b7f719ca4aedc8ca6e38753fd146e4a	2026-09-15
plate:docx-package-limits	plate	local-source	/Users/zbeyens/git/plate-2/packages/platejs/src/docx/import/lib/docxPackage.ts	1-280	Verify the existing package admission law retained source must reuse.	Plate already bounds input bytes, entries, expanded bytes, compression ratio and XML work before semantic import.	docx:bounded-package-admission:security	documents	2026-09-15-documents-retained-source-reassessment	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	5c2897c786dc31effcf863e0aef5d0e545e4f4e2eb1ebd3b336d3351f20eb2f6	2026-09-15
plate:docx-public-docs	plate	local-source	/Users/zbeyens/git/plate-2/content/docs/(plugins)/(serializing)/docx.mdx	69-259	Compare the documented workflow and fidelity claims with package-preserving engines.	The public docs expose Word import and export and candidly list omitted package-level content.	docx:explicit-retained-source-artifact:architecture	documents	2026-09-15-documents-retained-source-reassessment	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	50f2384bdb0758d9da4e8c38412b04b4ccb717e65fc9445afd7e8ba88ad7997f	2026-09-15
plate:docx-roundtrip-consumer	plate	local-source	/Users/zbeyens/git/plate-2/apps/www/src/__tests__/package-integration/docx.roundtrip.slow.tsx	34-131	Inspect the first-party import/export roundtrip as an existing user job.	First-party package integration imports one document and exports it again through the public semantic API.	docx:explicit-retained-source-artifact:architecture	documents	2026-09-15-documents-retained-source-reassessment	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	85b5515d331de80f6d860e51fdb7d2481a83e8aedd6c4b69e04fa1766c6932a4	2026-09-15
plate:docx-import-toolbar	plate	local-source	/Users/zbeyens/git/plate-2/apps/www/src/registry/components/editor/import-toolbar-button.tsx	45-75	Confirm first-party UI makes Word import part of the same editor workflow.	Import Word replaces the complete model value and discards source-package identity.	docx:explicit-retained-source-artifact:architecture	documents	2026-09-15-documents-retained-source-reassessment	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	235c5df11948dc7c1fac38729df7d1a46b1020ac89e9b7e8b666254b4253c8e5	2026-09-15
plate:docx-export-toolbar	plate	local-source	/Users/zbeyens/git/plate-2/apps/www/src/registry/components/editor/export-toolbar-button.tsx	142-181	Confirm first-party UI makes Word export available after editing.	Export Word serializes the current model as a fresh package and reports diagnostics.	docx:explicit-retained-source-artifact:architecture	documents	2026-09-15-documents-retained-source-reassessment	5a899edcbea2c31f1bd34dc575c9dd3860c577d0	b221e77429498396d859f91d6d5cba47514e7d3b01c78e004be1860f5dc9276b	2026-09-15
opendoc:docx-adapter	casualoffice/opendoc	local-source	/Users/zbeyens/git/opendoc/crates/casual-doc-io/src/docx.rs	1-210	Inspect the strongest detached import/export source-ownership contract.	Import can retain an opaque source envelope; export distinguishes semantic, preserve-when-safe and exact-if-unchanged modes and diagnoses mismatches.	docx:explicit-retained-source-artifact:architecture	documents	2026-09-15-documents-retained-source-reassessment	7a408cf034f3efdc1ed2101c640ce296a6ba4d5b	71d61e30188fea188e0ff3a83e2a315219a4fc344259b914578efa65f6570838	2026-09-15
opendoc:package-limits	casualoffice/opendoc	local-source	/Users/zbeyens/git/opendoc/crates/casual-doc-package/src/limits.rs	1-133	Compare admission limits before durable source retention.	Host-configurable entry, expanded-byte and compression bounds support retention only after package admission.	docx:bounded-package-admission:security	documents	2026-09-15-documents-retained-source-reassessment	7a408cf034f3efdc1ed2101c640ce296a6ba4d5b	6aa8ad91ad5465f98157e979ab4c0d46a4690637ea2868d63128bfa1781ebd21	2026-09-15
opendoc:fidelity-architecture	casualoffice/opendoc	local-source	/Users/zbeyens/git/opendoc/docs/34-OOXML-FIDELITY-ARCHITECTURE.md	1-260	Read the source-envelope architecture and its claimed boundaries.	The design separates semantic truth, source preservation and compatibility reporting instead of putting opaque package bytes in the document model.	docx:source-bound-preservation-modes:api	documents	2026-09-15-documents-retained-source-reassessment	7a408cf034f3efdc1ed2101c640ce296a6ba4d5b	abcf7d99d4ddbe185273fb6f066b9ed53becbb3e05836ec86f1f32044bc27770	2026-09-15
scriptor:passthrough-corpus	truespar/scriptor	local-source	/Users/zbeyens/git/scriptor/docs/passthrough.md	1-257	Read whole-part and inside-part fidelity measurements and limits.	Whole-part passthrough still leaves broad document.xml loss through model regeneration; source retention alone is insufficient.	docx:provenance-driven-invalidation:architecture	documents	2026-09-15-documents-retained-source-reassessment	46559bbb1eac15b18335cd19249120393fddd853	01c669bc5008947d4c776688da300f60b9a2c9987048b92cb00239b9f701ddb2	2026-09-15
scriptor:source-lifecycle	truespar/scriptor	local-source	/Users/zbeyens/git/scriptor/crates/scriptor-crdt/src/doc/lifecycle.rs	120-141	Inspect whether source parts survive CRDT persistence.	CRDT snapshots exclude source parts and callers must explicitly reattach them after reconstruction.	docx:explicit-retained-source-artifact:architecture	documents	2026-09-15-documents-retained-source-reassessment	46559bbb1eac15b18335cd19249120393fddd853	9fdb200a3eec6c7ebce958c03c7572ba6551b06ff8e9b59b8c299683491a3a50	2026-09-15
scriptor:docx-import	truespar/scriptor	local-source	/Users/zbeyens/git/scriptor/crates/scriptor-crdt/src/doc/import.rs	162-235;390-406	Inspect how imported source XML and parts enter the model lifecycle.	Import records raw source facts and attaches source parts outside the semantic snapshot.	docx:provenance-driven-invalidation:architecture	documents	2026-09-15-documents-retained-source-reassessment	46559bbb1eac15b18335cd19249120393fddd853	dada6559782027f3a9e05a71ba3c4825bebab2cdc576be1dacd5bbf7fdfc4578	2026-09-15
scriptor:docx-save	truespar/scriptor	local-source	/Users/zbeyens/git/scriptor/crates/scriptor-crdt/src/doc/save.rs	26-113	Inspect package overlay and owned-part rewriting.	Save clones retained source parts, then rewrites model-owned parts and relationships; inside-part fidelity depends on explicit raw or typed ownership.	docx:provenance-driven-invalidation:architecture	documents	2026-09-15-documents-retained-source-reassessment	46559bbb1eac15b18335cd19249120393fddd853	da9e216ef0458848bbe2f1f097655d6380a6065dd0d9d01feebd1330563d7a4a	2026-09-15
scriptor:export-proof	truespar/scriptor	local-source	/Users/zbeyens/git/scriptor/crates/scriptor-crdt/src/tests/export.rs	274-305	Inspect focused preservation assertions.	Tests exercise source-parts attachment and output preservation, but external suites were not replayed here.	docx:package-and-semantic-fidelity-oracles:proof	documents	2026-09-15-documents-retained-source-reassessment	46559bbb1eac15b18335cd19249120393fddd853	135eb48e6bfcf6901bee1bf6b5d95269d32b62fb052771943060a2579f745e38	2026-09-15
folio:full-repack	stella/folio	local-source	/Users/zbeyens/git/folio/packages/core/src/docx/rezip.ts	899-1285	Inspect full-package rewrite and retained archive ownership.	Full save begins from the original ZIP and rewrites modeled parts, relationships and resources.	docx:source-bound-preservation-modes:api	documents	2026-09-15-documents-retained-source-reassessment	b931cd379bf8eed3a0a3ee31128ee0a72ecce18a	6510f0b85f304331caf6280827e8933c94f0b0f444e954fdcc919e9aa936767d	2026-09-15
folio:selective-save	stella/folio	local-source	/Users/zbeyens/git/folio/packages/core/src/docx/selectiveSave.ts	294-490	Inspect edit-aware patching and fallback conditions.	Selective save patches only explained paragraph edits and falls back on structural, relationship, resource, model or comment uncertainty.	docx:provenance-driven-invalidation:architecture	documents	2026-09-15-documents-retained-source-reassessment	b931cd379bf8eed3a0a3ee31128ee0a72ecce18a	cfe42be776ed2448a274df2bd329e1d4b1bef5c1bc2fd3e13b77a68de20c6468	2026-09-15
folio:compatibility	stella/folio	local-source	/Users/zbeyens/git/folio/packages/core/src/docx/compatibility.ts	13-124	Compare compatibility reporting with Plate diagnostics.	Folio names feature-specific preservation outcomes; Plate should extend its existing diagnostic owner rather than add a second report type.	docx:structured-compatibility-report:api	documents	2026-09-15-documents-retained-source-reassessment	b931cd379bf8eed3a0a3ee31128ee0a72ecce18a	5073c119c266e5b7643939410d525be9999fbede5136792b77564a25aa7385ab	2026-09-15
folio:corpus-edit-proof	stella/folio	local-source	/Users/zbeyens/git/folio/packages/core/src/docx/__tests__/corpusEditRoundtrip.test.ts	48-229;309-339	Inspect package-part and semantic roundtrip oracles.	Corpus tests require unrelated package entries to remain byte-identical while checking edited output.	docx:package-and-semantic-fidelity-oracles:proof	documents	2026-09-15-documents-retained-source-reassessment	b931cd379bf8eed3a0a3ee31128ee0a72ecce18a	dd437ed34f6f7b4ded4109539242d2ec86829687a7969a1bbd0f267446b2bb9d	2026-09-15
eigenpal:architecture	eigenpal/docx-editor	local-source	/Users/zbeyens/git/eigenpal-docx-editor/docs/site/content/core/architecture.mdx	7-75	Inspect the strongest DOCX-native canonical-model alternative.	A typed and generic OOXML package tree is canonical and ProseMirror is a projection, which is coherent for a DOCX-native product.	docx:canonical-ooxml-tree-replacement:architecture	documents	2026-09-15-documents-retained-source-reassessment	84c46227d4ce4c4098a04dbccc4516578f2ab72d	a616fe732d0b37cd31263987b0f30cf9f20cdf8d624f7155d55f7d371ffbaac3	2026-09-15
eigenpal:editor-contract	eigenpal/docx-editor	local-source	/Users/zbeyens/git/eigenpal-docx-editor/packages/core/src/contracts/editor.ts	313-347	Inspect the public load/save owner.	The native editor owns package load and save directly rather than exposing detached general rich-text conversion.	docx:second-session-facade:api	documents	2026-09-15-documents-retained-source-reassessment	84c46227d4ce4c4098a04dbccc4516578f2ab72d	13928defb19ccf567ef7184914f7bba713e5cd1087ad1531461a965776808c15	2026-09-15
