repo_key	url	host	license	stars_or_signal	last_activity	topic_tags	local_path	status	score	notes	scope_id	review_id	source_revision	source_fingerprint	checked_at
casualoffice/opendoc	https://github.com/CasualOffice/opendoc	github.com	Apache-2.0	7 stars; active Rust DOCX/ODT engine	2026-09-15T00:11:30Z	docx;retention;limits;compatibility	/Users/zbeyens/git/opendoc	bounded strongest-source inspection	9	Implements explicit source envelopes, semantic/preserve/exact export modes, retained opaque parts and bounded package admission; low adoption limits maturity claims.	documents	2026-09-15-documents-retained-source-reassessment	7a408cf034f3efdc1ed2101c640ce296a6ba4d5b	4a9f7e23220ab38d2a29b18f993d62f11521501b	2026-09-15
truespar/scriptor	https://github.com/truespar/scriptor	github.com	MIT OR Apache-2.0	1 star; active Rust CRDT DOCX editor	2026-09-10T19:48:35Z	docx;crdt;passthrough;corpus	/Users/zbeyens/git/scriptor	bounded strongest-source inspection	8	Retains source parts and raw run spans, exposes reattachment after CRDT persistence, and candidly measures remaining document.xml loss; low adoption and self-reported corpus results limit maturity claims.	documents	2026-09-15-documents-retained-source-reassessment	46559bbb1eac15b18335cd19249120393fddd853	79fa31aaacb893ce497a9f1f952ca91f145e9635	2026-09-15
stella/folio	https://github.com/stella/folio	github.com	Apache-2.0	21 stars; active ProseMirror DOCX editor	2026-09-14T14:03:53Z	docx;prosemirror;selective-save;package-fidelity	/Users/zbeyens/git/folio	bounded strongest-source inspection	9	Preserves the source package, selectively patches changed paragraphs, falls back on explicit guards, and verifies unrelated parts byte-for-byte; issue history shows the continuing cost of invalidation and provenance.	documents	2026-09-15-documents-retained-source-reassessment	b931cd379bf8eed3a0a3ee31128ee0a72ecce18a	ecaa32226a1b31a9eded5e9e5c426a32510c3155	2026-09-15
eigenpal/docx-editor	https://github.com/eigenpal/docx-editor	github.com	Apache-2.0 core; proprietary editor-api and pro	360 stars; active DOCX-native editor	2026-09-15T01:45:24Z	docx;ooxml-tree;prosemirror;transactions	/Users/zbeyens/git/eigenpal-docx-editor	bounded strongest-source inspection	9	Uses a canonical typed/generic OOXML package tree and maps ProseMirror edits back to minimal tree operations; this is strong native-editor evidence but the wrong canonical model for Plate.	documents	2026-09-15-documents-retained-source-reassessment	84c46227d4ce4c4098a04dbccc4516578f2ab72d	bc473f5e668c9ecd74fc09be8d1dc63c06649868	2026-09-15
kklimuk/docx-cli	https://github.com/kklimuk/docx-cli	github.com	MIT	205 stars; agent-facing DOCX CLI	2026-09-04T23:13:45Z	docx;ooxml-ast;surgical-edit;package-session	/Users/zbeyens/git/docx-cli	bounded strongest-source inspection	7	Keeps a generic OPC package inside a document facade and rewrites owned XML parts; useful surgical-edit evidence but Bun/JSZip ingress does not demonstrate Plate's package limits.	documents	2026-09-15-documents-retained-source-reassessment	e528738ed22d1294be7938d7614525b4a585fa56	60b4083d037c645c963cbc52a03a6dbf587ffd62	2026-09-15
ansonlai/docx-redline-js	https://github.com/AnsonLai/docx-redline-js	github.com	MIT	14 stars; agent redline engine	2026-09-15T03:22:36Z	docx;transactions;revision-token;package-fidelity	/Users/zbeyens/git/docx-redline-js	bounded strongest-source inspection	7	Clones package entries, validates generated deltas, rolls back atomic failures and inventories allowed part changes; its custom ZIP reader lacks expanded-size limits.	documents	2026-09-15-documents-retained-source-reassessment	616b7f515c44a417f3700b84847ad6be21aeea74	67886ef5921c512bde1de90ba6a94ceba20df6ca	2026-09-15
dotnet/open-xml-sdk	https://github.com/dotnet/Open-XML-SDK	github.com	MIT	4603 stars; mature OOXML SDK	2026-09-14T19:50:11Z	ooxml;sdk;unknown-elements;package	/Users/zbeyens/git/Open-XML-SDK	bounded strongest-source inspection	8	Mature evidence that unknown elements and source package parts belong below semantic editors; its optional per-part character ceiling is not a complete browser ZIP policy.	documents	2026-09-15-documents-retained-source-reassessment	431ab05cf160248cc3885a4a766026d4f8243792	5ba79532bc9171ef759cf3155130aabaa8938de7	2026-09-15
python-openxml/python-docx	https://github.com/python-openxml/python-docx	github.com	MIT	5718 stars; mature DOCX library	2026-08-01T14:59:42Z	docx;opc;generic-parts;surgical-edit	/Users/zbeyens/git/python-docx	bounded strongest-source inspection	7	Loads every reachable OPC part through a generic fallback and writes the same part graph, supporting package-level preservation as substrate rather than a rich-text conversion contract.	documents	2026-09-15-documents-retained-source-reassessment	e45454602b53e8e572b179ccf1c91093ec9f4ed7	23a8d30c586aaf5bfcd6886c1a4c4f158435fe31	2026-09-15
casualoffice/docs	https://github.com/CasualOffice/docs	github.com	NOASSERTION	40 stars; same project family	2026-08-04	docx;documentation		screened duplicate family	3	Same CasualOffice architecture family; no independent implementation evidence added after OpenDoc deep read.	documents	2026-09-15-documents-retained-source-reassessment	metadata@2026-09-15	not-captured	2026-09-15
casualoffice/core	https://github.com/CasualOffice/core	github.com	Apache-2.0	0 stars; same project family	2026-05-24	docx;core		screened duplicate family	2	Sibling project metadata only; OpenDoc contained the current decisive implementation.	documents	2026-09-15-documents-retained-source-reassessment	metadata@2026-09-15	not-captured	2026-09-15
securityronin/docx-mcp	https://github.com/SecurityRonin/docx-mcp	github.com	MIT	50 stars; MCP wrapper	not captured	docx;mcp;automation		screened wrapper	3	Potential consumer evidence, but no independent package/model architecture was needed after the underlying SDK and native engines were read.	documents	2026-09-15-documents-retained-source-reassessment	metadata@2026-09-15	not-captured	2026-09-15
onlyoffice/documentserver	https://github.com/ONLYOFFICE/DocumentServer	github.com	AGPL-3.0	6906 stars; full office suite	not captured	docx;office-suite		screened out of bounded scope	5	Mature product signal, but a full office server cannot answer the Plate conversion API boundary without a much larger audit.	documents	2026-09-15-documents-retained-source-reassessment	metadata@2026-09-15	not-captured	2026-09-15
onlyoffice/sdkjs	https://github.com/ONLYOFFICE/sdkjs	github.com	AGPL-3.0	352 stars; full editor SDK	not captured	docx;office-suite;editor		screened out of bounded scope	5	Same full-suite ownership as DocumentServer; no incremental evidence for a Plate-specific retained-source contract.	documents	2026-09-15-documents-retained-source-reassessment	metadata@2026-09-15	not-captured	2026-09-15
plutext/docx4j	https://github.com/plutext/docx4j	github.com	Apache-2.0	2382 stars; mature Java OOXML SDK	not captured	docx;ooxml;sdk		screened mature comparator	6	Would repeat the package/typed-OOXML substrate role already established by Open XML SDK and python-docx; stop rule prevented redundant deep read.	documents	2026-09-15-documents-retained-source-reassessment	metadata@2026-09-15	not-captured	2026-09-15
